,start_time_step,route,fleet_size,charge_cap,batt_cap,d_spec,SOC_init
0,9.0,"(67, 51, 50, 49, 48, 47, 46, 45)",1.0,110.0,88.16,23.2,0.9
1,11.0,"(67, 51, 50, 49, 48, 47, 46, 45)",2.0,110.0,88.16,23.2,0.9
2,12.0,"(67, 51, 50, 49, 48, 47, 46, 45)",1.0,110.0,88.16,23.2,0.9
3,13.0,"(67, 51, 50, 49, 48, 47, 46, 45)",1.0,110.0,88.16,23.2,0.9
4,14.0,"(67, 51, 50, 49, 48, 47, 46, 45)",1.0,110.0,88.16,23.2,0.9
5,15.0,"(67, 51, 50, 49, 48, 47, 46, 45)",7.0,110.0,88.16,23.2,0.9
6,16.0,"(67, 51, 50, 49, 48, 47, 46, 45)",8.0,103.0,107.94,25.7,0.9
7,17.0,"(67, 51, 50, 49, 48, 47, 46, 45)",13.0,64.0,110.6,28.0,0.9
8,18.0,"(67, 51, 50, 49, 48, 47, 46, 45)",13.0,110.0,88.16,23.2,0.9
9,19.0,"(67, 51, 50, 49, 48, 47, 46, 45)",20.0,103.0,108.0,27.0,0.9
10,20.0,"(67, 51, 50, 49, 48, 47, 46, 45)",42.0,64.0,110.6,28.0,0.9
11,21.0,"(67, 51, 50, 49, 48, 47, 46, 45)",57.0,110.0,88.16,23.2,0.9
12,22.0,"(67, 51, 50, 49, 48, 47, 46, 45)",90.0,103.0,107.94,25.7,0.9
13,23.0,"(67, 51, 50, 49, 48, 47, 46, 45)",134.0,110.0,88.16,23.2,0.9
14,24.0,"(67, 51, 50, 49, 48, 47, 46, 45)",236.0,103.0,108.0,27.0,0.9
15,25.0,"(67, 51, 50, 49, 48, 47, 46, 45)",291.0,110.0,88.16,23.2,0.9
16,26.0,"(67, 51, 50, 49, 48, 47, 46, 45)",446.0,110.0,88.16,23.2,0.9
17,27.0,"(67, 51, 50, 49, 48, 47, 46, 45)",511.0,64.0,110.6,28.0,0.9
18,28.0,"(67, 51, 50, 49, 48, 47, 46, 45)",661.0,110.0,88.16,23.2,0.9
19,29.0,"(67, 51, 50, 49, 48, 47, 46, 45)",657.0,103.0,107.94,25.7,0.9
20,30.0,"(67, 51, 50, 49, 48, 47, 46, 45)",651.0,110.0,88.16,23.2,0.9
21,31.0,"(67, 51, 50, 49, 48, 47, 46, 45)",734.0,110.0,88.16,23.2,0.9
22,32.0,"(67, 51, 50, 49, 48, 47, 46, 45)",694.0,103.0,107.94,25.7,0.9
23,33.0,"(67, 51, 50, 49, 48, 47, 46, 45)",741.0,108.0,103.095,23.7,0.9
24,34.0,"(67, 51, 50, 49, 48, 47, 46, 45)",678.0,110.0,88.16,23.2,0.9
25,35.0,"(67, 51, 50, 49, 48, 47, 46, 45)",612.0,110.0,88.16,23.2,0.9
26,36.0,"(67, 51, 50, 49, 48, 47, 46, 45)",618.0,110.0,88.16,23.2,0.9
27,37.0,"(67, 51, 50, 49, 48, 47, 46, 45)",541.0,64.0,110.6,28.0,0.9
28,38.0,"(67, 51, 50, 49, 48, 47, 46, 45)",568.0,110.0,88.16,23.2,0.9
29,39.0,"(67, 51, 50, 49, 48, 47, 46, 45)",535.0,110.0,88.16,23.2,0.9
30,40.0,"(67, 51, 50, 49, 48, 47, 46, 45)",561.0,103.0,107.94,25.7,0.9
31,41.0,"(67, 51, 50, 49, 48, 47, 46, 45)",547.0,103.0,107.94,25.7,0.9
32,42.0,"(67, 51, 50, 49, 48, 47, 46, 45)",532.0,64.0,110.6,28.0,0.9
33,43.0,"(67, 51, 50, 49, 48, 47, 46, 45)",532.0,110.0,88.16,23.2,0.9
34,44.0,"(67, 51, 50, 49, 48, 47, 46, 45)",498.0,110.0,88.16,23.2,0.9
35,45.0,"(67, 51, 50, 49, 48, 47, 46, 45)",499.0,110.0,88.16,23.2,0.9
36,46.0,"(67, 51, 50, 49, 48, 47, 46, 45)",491.0,110.0,88.16,23.2,0.9
37,47.0,"(67, 51, 50, 49, 48, 47, 46, 45)",485.0,103.0,107.94,25.7,0.9
38,48.0,"(67, 51, 50, 49, 48, 47, 46, 45)",399.0,110.0,88.16,23.2,0.9
39,49.0,"(67, 51, 50, 49, 48, 47, 46, 45)",420.0,110.0,88.16,23.2,0.9
40,50.0,"(67, 51, 50, 49, 48, 47, 46, 45)",378.0,110.0,88.16,23.2,0.9
41,51.0,"(67, 51, 50, 49, 48, 47, 46, 45)",379.0,110.0,88.16,23.2,0.9
42,52.0,"(67, 51, 50, 49, 48, 47, 46, 45)",363.0,110.0,88.16,23.2,0.9
43,53.0,"(67, 51, 50, 49, 48, 47, 46, 45)",403.0,110.0,88.16,23.2,0.9
44,54.0,"(67, 51, 50, 49, 48, 47, 46, 45)",386.0,110.0,88.16,23.2,0.9
45,55.0,"(67, 51, 50, 49, 48, 47, 46, 45)",407.0,103.0,108.0,27.0,0.9
46,56.0,"(67, 51, 50, 49, 48, 47, 46, 45)",363.0,64.0,110.6,28.0,0.9
47,57.0,"(67, 51, 50, 49, 48, 47, 46, 45)",388.0,110.0,88.16,23.2,0.9
48,58.0,"(67, 51, 50, 49, 48, 47, 46, 45)",397.0,103.0,108.0,27.0,0.9
49,59.0,"(67, 51, 50, 49, 48, 47, 46, 45)",424.0,110.0,88.16,23.2,0.9
50,60.0,"(67, 51, 50, 49, 48, 47, 46, 45)",418.0,64.0,110.6,28.0,0.9
