,start_time_step,route,fleet_size,charge_cap,batt_cap,d_spec,SOC_init,fleet_id
0,11.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",1.0,85.0,81.2,0.23199999999999998,0.9,0
1,15.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",4.0,114.0,82.08,0.28800000000000003,0.9,1
2,16.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",1.0,114.0,82.08,0.28800000000000003,0.9,2
3,17.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",1.0,103.0,107.94,0.257,0.9,3
4,18.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",3.0,77.0,88.8,0.24,0.9,4
5,19.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",13.0,110.0,88.16,0.23199999999999998,0.9,5
6,20.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",14.0,41.0,68.2,0.22,0.9,6
7,21.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",19.0,85.0,81.2,0.23199999999999998,0.9,7
8,22.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",31.0,110.0,88.16,0.23199999999999998,0.9,8
9,23.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",46.0,64.0,110.6,0.28,0.9,9
10,24.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",45.0,85.0,81.2,0.23199999999999998,0.9,10
11,25.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",79.0,103.0,108.0,0.27,0.9,11
12,26.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",93.0,110.0,88.16,0.23199999999999998,0.9,12
13,27.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",110.0,103.0,107.94,0.257,0.9,13
14,28.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",159.0,110.0,88.16,0.23199999999999998,0.9,14
15,29.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",147.0,103.0,107.94,0.257,0.9,15
16,30.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",154.0,41.0,68.2,0.22,0.9,16
17,31.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",173.0,110.0,88.16,0.23199999999999998,0.9,17
18,32.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",169.0,41.0,68.2,0.22,0.9,18
19,33.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",163.0,77.0,88.8,0.24,0.9,19
20,34.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",178.0,110.0,88.16,0.23199999999999998,0.9,20
21,35.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",156.0,114.0,82.08,0.28800000000000003,0.9,21
22,36.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",131.0,77.0,88.8,0.24,0.9,22
23,37.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",134.0,78.0,64.125,0.225,0.9,23
24,38.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",125.0,103.0,107.94,0.257,0.9,24
25,39.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",124.0,110.0,88.16,0.23199999999999998,0.9,25
26,40.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",128.0,41.0,68.2,0.22,0.9,26
27,41.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",138.0,41.0,68.2,0.22,0.9,27
28,42.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",139.0,103.0,107.94,0.257,0.9,28
29,43.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",126.0,77.0,88.8,0.24,0.9,29
30,44.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",119.0,85.0,81.2,0.23199999999999998,0.9,30
31,45.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",104.0,103.0,107.94,0.257,0.9,31
32,46.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",133.0,114.0,82.08,0.28800000000000003,0.9,32
33,47.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",106.0,103.0,107.94,0.257,0.9,33
34,48.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",94.0,110.0,88.16,0.23199999999999998,0.9,34
35,49.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",100.0,41.0,68.2,0.22,0.9,35
36,50.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",97.0,77.0,88.8,0.24,0.9,36
37,51.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",95.0,110.0,88.16,0.23199999999999998,0.9,37
38,52.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",103.0,64.0,110.6,0.28,0.9,38
39,53.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",91.0,85.0,81.2,0.23199999999999998,0.9,39
40,54.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",92.0,110.0,88.16,0.23199999999999998,0.9,40
41,55.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",108.0,85.0,81.2,0.23199999999999998,0.9,41
42,56.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",93.0,103.0,108.0,0.27,0.9,42
43,57.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",86.0,41.0,68.2,0.22,0.9,43
44,58.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",112.0,103.0,107.94,0.257,0.9,44
45,59.0,"(73, 74, 61, 62, 63, 60, 58, 57, 31, 32, 33, 30, 29, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",82.0,41.0,68.2,0.22,0.9,45
