start_timestep,route,fleet_size,charge_cap,batt_cap,d_spec,SOC_init,fleet_id
11,"(29, 30, 28, 15)",2.0,103.0,107.94,0.26,1.0,0
14,"(29, 30, 28, 15)",1.0,47.0,54.05,0.23,0.9,1
15,"(29, 30, 28, 15)",6.0,47.0,54.05,0.23,0.9,2
16,"(29, 30, 28, 15)",9.0,41.0,68.2,0.22,1.0,3
17,"(29, 30, 28, 15)",6.0,41.0,68.2,0.22,1.0,4
18,"(29, 30, 28, 15)",13.0,110.0,88.16,0.23,1.0,5
19,"(29, 30, 28, 15)",32.0,77.0,88.8,0.24,1.0,6
20,"(29, 30, 28, 15)",32.0,103.0,107.94,0.26,1.0,7
21,"(29, 30, 28, 15)",41.0,34.0,42.5,0.25,0.9,8
22,"(29, 30, 28, 15)",55.0,110.0,88.16,0.23,1.0,9
23,"(29, 30, 28, 15)",82.0,47.0,54.05,0.23,0.9,10
24,"(29, 30, 28, 15)",104.0,41.0,68.2,0.22,1.0,11
25,"(29, 30, 28, 15)",116.0,114.0,82.08,0.29,1.0,12
26,"(29, 30, 28, 15)",131.0,41.0,68.2,0.22,1.0,13
27,"(29, 30, 28, 15)",144.0,30.0,45.72,0.22,0.9,14
28,"(29, 30, 28, 15)",147.0,39.0,45.03,0.24,0.9,15
29,"(29, 30, 28, 15)",154.0,34.0,42.5,0.25,0.9,16
30,"(29, 30, 28, 15)",159.0,47.0,54.05,0.23,0.9,17
31,"(29, 30, 28, 15)",145.0,77.0,88.8,0.24,1.0,18
32,"(29, 30, 28, 15)",133.0,47.0,54.05,0.23,0.9,19
33,"(29, 30, 28, 15)",117.0,110.0,88.16,0.23,1.0,20
34,"(29, 30, 28, 15)",111.0,77.0,88.8,0.24,1.0,21
35,"(29, 30, 28, 15)",116.0,64.0,110.6,0.28,1.0,22
36,"(29, 30, 28, 15)",125.0,67.0,53.11,0.23,0.9,23
37,"(29, 30, 28, 15)",114.0,67.0,53.11,0.23,0.9,24
38,"(29, 30, 28, 15)",117.0,110.0,88.16,0.23,1.0,25
39,"(29, 30, 28, 15)",112.0,114.0,82.08,0.29,1.0,26
40,"(29, 30, 28, 15)",129.0,34.0,42.5,0.25,0.9,27
41,"(29, 30, 28, 15)",91.0,114.0,82.08,0.29,1.0,28
42,"(29, 30, 28, 15)",99.0,64.0,110.6,0.28,1.0,29
43,"(29, 30, 28, 15)",99.0,110.0,88.16,0.23,1.0,30
44,"(29, 30, 28, 15)",95.0,114.0,82.08,0.29,1.0,31
45,"(29, 30, 28, 15)",90.0,85.0,81.2,0.23,1.0,32
46,"(29, 30, 28, 15)",89.0,110.0,88.16,0.23,1.0,33
47,"(29, 30, 28, 15)",74.0,103.0,108.0,0.27,1.0,34
48,"(29, 30, 28, 15)",80.0,77.0,88.8,0.24,1.0,35
49,"(29, 30, 28, 15)",74.0,85.0,81.2,0.23,1.0,36
50,"(29, 30, 28, 15)",80.0,78.0,64.12,0.23,1.0,37
51,"(29, 30, 28, 15)",85.0,110.0,88.16,0.23,1.0,38
52,"(29, 30, 28, 15)",86.0,110.0,88.16,0.23,1.0,39
53,"(29, 30, 28, 15)",82.0,77.0,88.8,0.24,1.0,40
54,"(29, 30, 28, 15)",67.0,110.0,88.16,0.23,1.0,41
55,"(29, 30, 28, 15)",101.0,47.0,54.05,0.23,0.9,42
56,"(29, 30, 28, 15)",94.0,77.0,88.8,0.24,1.0,43
57,"(29, 30, 28, 15)",88.0,41.0,68.2,0.22,1.0,44
58,"(29, 30, 28, 15)",88.0,110.0,88.16,0.23,1.0,45
59,"(29, 30, 28, 15)",96.0,110.0,88.16,0.23,1.0,46
60,"(29, 30, 28, 15)",81.0,110.0,88.16,0.23,1.0,47
61,"(29, 30, 28, 15)",84.0,85.0,81.2,0.23,1.0,48
62,"(29, 30, 28, 15)",100.0,41.0,68.2,0.22,1.0,49
63,"(29, 30, 28, 15)",104.0,108.0,103.09,0.24,1.0,50
64,"(29, 30, 28, 15)",107.0,36.0,5.47,0.02,1.0,51
65,"(29, 30, 28, 15)",88.0,110.0,88.16,0.23,1.0,52
66,"(29, 30, 28, 15)",83.0,114.0,82.08,0.29,1.0,53
67,"(29, 30, 28, 15)",95.0,110.0,88.16,0.23,1.0,54
68,"(29, 30, 28, 15)",84.0,114.0,82.08,0.29,1.0,55
69,"(29, 30, 28, 15)",77.0,47.0,54.05,0.23,0.9,56
70,"(29, 30, 28, 15)",79.0,36.0,5.47,0.02,1.0,57
71,"(29, 30, 28, 15)",83.0,47.0,54.05,0.23,0.9,58
72,"(29, 30, 28, 15)",81.0,103.0,108.0,0.27,1.0,59
73,"(29, 30, 28, 15)",63.0,78.0,64.12,0.23,1.0,60
74,"(29, 30, 28, 15)",55.0,78.0,64.12,0.23,1.0,61
75,"(29, 30, 28, 15)",53.0,103.0,108.0,0.27,1.0,62
76,"(29, 30, 28, 15)",45.0,67.0,53.11,0.23,0.9,63
77,"(29, 30, 28, 15)",45.0,77.0,88.8,0.24,1.0,64
78,"(29, 30, 28, 15)",35.0,103.0,108.0,0.27,1.0,65
79,"(29, 30, 28, 15)",32.0,77.0,88.8,0.24,1.0,66
80,"(29, 30, 28, 15)",32.0,39.0,45.03,0.24,0.9,67
81,"(29, 30, 28, 15)",19.0,103.0,107.94,0.26,1.0,68
82,"(29, 30, 28, 15)",10.0,110.0,88.16,0.23,1.0,69
83,"(29, 30, 28, 15)",13.0,77.0,88.8,0.24,1.0,70
84,"(29, 30, 28, 15)",11.0,67.0,53.11,0.23,0.9,71
85,"(29, 30, 28, 15)",7.0,108.0,103.09,0.24,1.0,72
86,"(29, 30, 28, 15)",6.0,64.0,110.6,0.28,1.0,73
87,"(29, 30, 28, 15)",5.0,110.0,88.16,0.23,1.0,74
88,"(29, 30, 28, 15)",9.0,47.0,54.05,0.23,0.9,75
89,"(29, 30, 28, 15)",6.0,47.0,54.05,0.23,0.9,76
90,"(29, 30, 28, 15)",4.0,41.0,68.2,0.22,1.0,77
91,"(29, 30, 28, 15)",3.0,41.0,68.2,0.22,1.0,78
92,"(29, 30, 28, 15)",1.0,85.0,81.2,0.23,1.0,79
16,"(29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5)",2.0,41.0,68.2,0.22,1.0,80
17,"(29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5)",4.0,40.0,51.98,0.23,0.9,81
18,"(29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5)",5.0,110.0,88.16,0.23,1.0,82
19,"(29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5)",9.0,110.0,88.16,0.23,1.0,83
20,"(29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5)",8.0,114.0,82.08,0.29,1.0,84
21,"(29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5)",16.0,110.0,88.16,0.23,1.0,85
22,"(29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5)",13.0,85.0,81.2,0.23,1.0,86
23,"(29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5)",26.0,114.0,82.08,0.29,1.0,87
24,"(29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5)",26.0,114.0,82.08,0.29,1.0,88
25,"(29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5)",35.0,110.0,88.16,0.23,1.0,89
26,"(29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5)",38.0,85.0,81.2,0.23,1.0,90
27,"(29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5)",34.0,64.0,110.6,0.28,1.0,91
28,"(29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5)",44.0,110.0,88.16,0.23,1.0,92
29,"(29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5)",56.0,110.0,88.16,0.23,1.0,93
30,"(29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5)",38.0,77.0,88.8,0.24,1.0,94
31,"(29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5)",34.0,41.0,68.2,0.22,1.0,95
32,"(29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5)",27.0,110.0,88.16,0.23,1.0,96
