,fleet_id,charge_cap,batt_cap,d_spec,incoming,all_arrived,arrival_SOC
0,0,250.0,100.0,0.15,34523.0,True,0.334
1,1,250.0,100.0,0.15,775.0,True,0.36993491424658026
2,2,250.0,100.0,0.15,3436.0,True,0.3279756000819534
3,3,250.0,100.0,0.15,4.0,True,0.3980981463556467
4,4,250.0,100.0,0.15,3.0,True,0.3789776325050099
5,5,250.0,100.0,0.15,413.0,True,0.3669287958093185
6,6,250.0,100.0,0.15,2733.0,True,0.30175408157631006
7,7,250.0,100.0,0.15,58.0,True,0.3638719001253652
8,8,250.0,100.0,0.15,5.0,True,0.36046949855584076
9,9,250.0,100.0,0.15,33.0,True,0.3939713210453576
10,10,250.0,100.0,0.15,1.0,True,0.3975053963090919
11,11,250.0,100.0,0.15,1681.0,True,0.3979758667756223
12,12,250.0,100.0,0.15,1.0,True,0.39887847171647517
13,13,250.0,100.0,0.15,669.0,True,0.3182660379304114
14,14,250.0,100.0,0.15,7.0,True,0.2375
15,15,250.0,100.0,0.15,56.0,True,0.3747670907618153
16,16,250.0,100.0,0.15,684.0,True,0.3182831748133642
17,17,250.0,100.0,0.15,1662.0,True,0.3407014018998618
18,18,250.0,100.0,0.15,872.0,True,0.3657957798411331
19,19,250.0,100.0,0.15,25.0,True,0.08822286172346026
20,20,250.0,100.0,0.15,349.0,True,0.3385141575307827
21,21,250.0,100.0,0.15,270.0,True,0.34899495195606495
22,22,250.0,100.0,0.15,1563.0,True,0.35584087221253513
23,23,250.0,100.0,0.15,6.0,True,0.39910852472056296
24,24,250.0,100.0,0.15,2.0,True,0.3987483484627035
25,25,250.0,100.0,0.15,47.0,True,0.3893150718054109
26,26,250.0,100.0,0.15,6716.0,True,0.3241251451337624
27,27,250.0,100.0,0.15,182.0,True,0.3303295053381732
28,28,250.0,100.0,0.15,1.0,True,0.39534729500971205
29,29,250.0,100.0,0.15,62.0,True,0.34911927832935663
30,30,250.0,100.0,0.15,51.0,True,0.3990320231910645
31,31,250.0,100.0,0.15,2.0,True,0.3995924914846399
32,32,250.0,100.0,0.15,144.0,True,0.3867175908610441
33,33,250.0,100.0,0.15,84.0,True,0.3983300710904662
34,34,250.0,100.0,0.15,3291.0,True,0.3165100219537319
35,35,250.0,100.0,0.15,8.0,True,0.39792923167860816
36,36,250.0,100.0,0.15,11.0,True,0.37078883176557176
37,37,250.0,100.0,0.15,557.0,True,0.34751392272840403
38,38,250.0,100.0,0.15,563.0,True,0.37640590954085795
39,39,250.0,100.0,0.15,736.0,True,0.32051182450958493
40,40,250.0,100.0,0.15,292.0,True,0.3760851176773976
41,41,250.0,100.0,0.15,17.0,True,0.38825556145342266
42,42,250.0,100.0,0.15,9393.0,True,0.36147551528089
43,43,250.0,100.0,0.15,5961.0,True,0.34181924450753687
44,44,250.0,100.0,0.15,835.0,True,0.39896299831259147
45,45,250.0,100.0,0.15,8750.0,True,0.36956482198271706
46,46,250.0,100.0,0.15,51.0,True,0.36860983164522837
47,47,250.0,100.0,0.15,190.0,True,0.3443120016020406
48,48,250.0,100.0,0.15,1.0,True,0.3994350224504214
49,49,250.0,100.0,0.15,3.0,True,0.3662061471697819
50,50,250.0,100.0,0.15,1647.0,True,0.3966864548336959
51,51,250.0,100.0,0.15,65.0,True,0.3696756942910133
52,52,250.0,100.0,0.15,353.0,True,0.3159113951601706
53,53,250.0,100.0,0.15,376.0,True,0.39719741948597304
54,54,250.0,100.0,0.15,5821.0,True,0.31775230627313045
55,55,250.0,100.0,0.15,747.0,True,0.3629178505936858
56,56,250.0,100.0,0.15,139.0,True,0.35053437535121124
57,57,250.0,100.0,0.15,3896.0,True,0.34225449361668586
58,58,250.0,100.0,0.15,25.0,True,0.32680767050125553
59,59,250.0,100.0,0.15,12.0,True,0.3994746870274435
60,60,250.0,100.0,0.15,4353.0,True,0.2568452591287448
61,61,250.0,100.0,0.15,302.0,True,0.3693831382853319
62,62,250.0,100.0,0.15,32.0,True,0.39929403799035634
63,63,250.0,100.0,0.15,2552.0,True,0.2853837687966324
64,64,250.0,100.0,0.15,149.0,True,0.39853907554336293
65,65,250.0,100.0,0.15,48.0,True,0.3984057401206503
66,66,250.0,100.0,0.15,1.0,True,0.32836786477424745
67,67,250.0,100.0,0.15,536.0,True,0.39958207742907664
68,68,250.0,100.0,0.15,2.0,True,0.3879307612301906
69,69,250.0,100.0,0.15,4.0,True,0.3885356419688318
70,70,250.0,100.0,0.15,193.0,True,0.3986946099721874
71,71,250.0,100.0,0.15,1233.0,True,0.37983065277812456
72,72,250.0,100.0,0.15,2.0,True,0.38131292014530127
73,73,250.0,100.0,0.15,7.0,True,0.3996387679008771
74,74,250.0,100.0,0.15,5.0,True,0.3988848205662815
75,75,250.0,100.0,0.15,6.0,True,0.3967572010032403
76,76,250.0,100.0,0.15,271.0,True,0.3198790690895308
77,77,250.0,100.0,0.15,637.0,True,0.3459195573649327
78,78,250.0,100.0,0.15,484.0,True,0.3807115330247698
79,79,250.0,100.0,0.15,4155.0,True,0.2823747942657141
80,80,250.0,100.0,0.15,1.0,True,0.3984155083582476
81,81,250.0,100.0,0.15,130.0,True,0.397622069457826
82,82,250.0,100.0,0.15,27.0,True,0.3995472422607019
83,83,250.0,100.0,0.15,1.0,True,0.3968983955600651
84,84,250.0,100.0,0.15,1616.0,True,0.31306872478878467
85,85,250.0,100.0,0.15,25.0,True,0.3817549942476713
86,86,250.0,100.0,0.15,429.0,True,0.3855311942301297
