,fleet_id,charge_cap,batt_cap,d_spec,incoming,all_arrived,arrival_SOC
0,0,250.0,100.0,0.15,2906.0,True,0.29198390827391585
1,1,250.0,100.0,0.15,1815.0,True,0.2876704919288581
2,2,250.0,100.0,0.15,3.0,True,0.37207331830882656
3,3,250.0,100.0,0.15,52.0,True,0.3660715065310234
4,4,250.0,100.0,0.15,23.0,True,0.37131906087814703
5,5,250.0,100.0,0.15,19.0,True,0.34293033503162157
6,6,250.0,100.0,0.15,1.0,True,0.39816089735319404
7,7,250.0,100.0,0.15,122.0,True,0.3167043125785874
8,8,250.0,100.0,0.15,491.0,True,0.3979398287135466
9,9,250.0,100.0,0.15,870.0,True,0.3979842478838475
10,10,250.0,100.0,0.15,611.0,True,0.36600252299903563
11,11,250.0,100.0,0.15,3047.0,True,0.30204471416689904
12,12,250.0,100.0,0.15,24185.0,True,0.334
13,13,250.0,100.0,0.15,8.0,True,0.35711973035691685
14,14,250.0,100.0,0.15,2.0,True,0.3824311648214158
15,15,250.0,100.0,0.15,62.0,True,0.3983084516056843
16,16,250.0,100.0,0.15,4070.0,True,0.3178801669400551
17,17,250.0,100.0,0.15,54.0,True,0.3992879024676269
18,18,250.0,100.0,0.15,135.0,True,0.3882398469796956
19,19,250.0,100.0,0.15,51.0,True,0.3543384121289699
20,20,250.0,100.0,0.15,2748.0,True,0.3746543704167434
21,21,250.0,100.0,0.15,1.0,True,0.3981038421893058
22,22,250.0,100.0,0.15,2311.0,True,0.323292820468187
23,23,250.0,100.0,0.15,4700.0,True,0.32792528534562215
24,24,250.0,100.0,0.15,17.0,True,0.39746774434508636
25,25,250.0,100.0,0.15,1.0,True,0.3988675091211663
26,26,250.0,100.0,0.15,2722.0,True,0.35114655944339423
27,27,250.0,100.0,0.15,1174.0,True,0.398815075075365
28,28,250.0,100.0,0.15,2412.0,True,0.3401967747470176
29,29,250.0,100.0,0.15,1783.0,True,0.32215890140494857
30,30,250.0,100.0,0.15,4.0,True,0.3624312540884503
31,31,250.0,100.0,0.15,1.0,True,0.3995630517022682
32,32,250.0,100.0,0.15,24.0,True,0.3985472689417435
33,33,250.0,100.0,0.15,18.0,True,0.3806255067165281
34,34,250.0,100.0,0.15,505.0,True,0.38547619781311204
35,35,250.0,100.0,0.15,133.0,True,0.36371660275267076
36,36,250.0,100.0,0.15,179.0,True,0.38416167502465587
37,37,250.0,100.0,0.15,579.0,True,0.32064243497214545
38,38,250.0,100.0,0.15,107.0,True,0.3930595619751098
39,39,250.0,100.0,0.15,15.0,True,0.3994722620426478
40,40,250.0,100.0,0.15,1913.0,True,0.30220524555795913
41,41,250.0,100.0,0.15,524.0,True,0.3848051019844856
42,42,250.0,100.0,0.15,11.0,True,0.3815746883969815
43,43,250.0,100.0,0.15,479.0,True,0.3187224135193093
44,44,250.0,100.0,0.15,660.0,True,0.39904133887700655
45,45,250.0,100.0,0.15,90.0,True,0.38246567781513857
46,46,250.0,100.0,0.15,1018.0,True,0.34778470272847545
47,47,250.0,100.0,0.15,2.0,True,0.3992289575358054
48,48,250.0,100.0,0.15,466.0,True,0.3188216701524586
49,49,250.0,100.0,0.15,12.0,True,0.3954340865675049
50,50,250.0,100.0,0.15,279.0,True,0.38483049783937145
51,51,250.0,100.0,0.15,18.0,True,0.3806286346875995
52,52,250.0,100.0,0.15,38.0,True,0.3983022916691185
53,53,250.0,100.0,0.15,2.0,True,0.39376415770585455
54,54,250.0,100.0,0.15,18.0,True,0.3624464931281675
55,55,250.0,100.0,0.15,13.0,True,0.3981305437229818
56,56,250.0,100.0,0.15,282.0,True,0.3253067773297972
57,57,250.0,100.0,0.15,4.0,True,0.39750360307252514
58,58,250.0,100.0,0.15,95.0,True,0.3617659626795692
59,59,250.0,100.0,0.15,244.0,True,0.3987121303169766
60,60,250.0,100.0,0.15,1093.0,True,0.37486285456326024
61,61,250.0,100.0,0.15,1165.0,True,0.3549130213371132
62,62,250.0,100.0,0.15,6.0,True,0.38265567042231097
63,63,250.0,100.0,0.15,3.0,True,0.396198575980479
64,64,250.0,100.0,0.15,542.0,True,0.3724281316543378
65,65,250.0,100.0,0.15,6121.0,True,0.38439585420190586
66,66,250.0,100.0,0.15,12.0,True,0.38314472442975234
67,67,250.0,100.0,0.15,518.0,True,0.3230752846107876
68,68,250.0,100.0,0.15,89.0,True,0.3814252401970509
69,69,250.0,100.0,0.15,339.0,True,0.38090790011388065
70,70,250.0,100.0,0.15,139.0,True,0.3282757616667677
71,71,250.0,100.0,0.15,39.0,True,0.3988942640540987
72,72,250.0,100.0,0.15,1159.0,True,0.3663676454204257
73,73,250.0,100.0,0.15,32.0,True,0.36607242837781157
74,74,250.0,100.0,0.15,1153.0,True,0.3988272832336404
75,75,250.0,100.0,0.15,23.0,True,0.3722204782686454
76,76,250.0,100.0,0.15,100.0,True,0.39758981796957904
77,77,250.0,100.0,0.15,27.0,True,0.3665688616376203
78,78,250.0,100.0,0.15,94.0,True,0.3992630882442282
79,79,250.0,100.0,0.15,79.0,True,0.39890037042984844
80,80,250.0,100.0,0.15,63.0,True,0.38135644169529076
81,81,250.0,100.0,0.15,2.0,True,0.3793918461780023
82,82,250.0,100.0,0.15,83.0,True,0.3992126933176701
83,83,250.0,100.0,0.15,1.0,True,0.3990187332939796
84,84,250.0,100.0,0.15,621.0,True,0.3908460130188993
85,85,250.0,100.0,0.15,92.0,True,0.39925540652107383
86,86,250.0,100.0,0.15,3.0,True,0.37977921377734797
87,87,250.0,100.0,0.15,162.0,True,0.39882534511000756
88,88,250.0,100.0,0.15,864.0,True,0.38274769766493916
89,89,250.0,100.0,0.15,5.0,True,0.3823179075852963
90,90,250.0,100.0,0.15,155.0,True,0.3803379069580949
91,91,250.0,100.0,0.15,52.0,True,0.3829967843170524
92,92,250.0,100.0,0.15,1.0,True,0.3978838680797977
93,93,250.0,100.0,0.15,262.0,True,0.3870941139987622
94,94,250.0,100.0,0.15,562.0,True,0.3738443753762743
95,95,250.0,100.0,0.15,509.0,True,0.3516151508772466
96,96,250.0,100.0,0.15,441.0,True,0.36832326916815694
97,97,250.0,100.0,0.15,3.0,True,0.39796539190680824
98,98,250.0,100.0,0.15,96.0,True,0.3499605262374117
99,99,250.0,100.0,0.15,12.0,True,0.3789391328245899
