ID,segment_id,pois_type,type_ID,dir,dist_along_segment,demand_0,demand_1,tc_0,tc_1
0,0,link,,2,0,0,4423.92123143818,13243.0239038645,13297.6122081885
1,0,ra,1,2,239.715824101164,31.774775427221,778.229201493555,13269.4415749127,13325.3354050155
2,0,ra,0,2,24427.462160298,5371.86342144895,5081.21497045179,24132.5354848012,21758.5358999714
3,0,ra,2,1,68504.6013106114,,2065.98540498995,,5594.60627343411
4,0,ra,3,0,79329.1374904099,7187.4483251383,,4553.08388931748,
5,0,ra,4,2,104473.71241617,1038.66179081139,1304.31325878059,4645.32330643337,3250.21629633357
6,0,ra,5,2,133409.21035476,2076.95503589247,5882.07122922472,9562.72950758806,10252.6387138836
7,0,ra,6,2,173065.413799776,4957.10120865155,5334.63043226301,19234.6634945469,19185.7496759204
8,0,ra,7,1,176940.22069629,,31.9071906889248,,21229.4573799075
9,0,link,0,2,194059.964946131,5210.17855174236,0,25638.9023938735,24966.8284778033
10,1,link,0,2,0,0,39.7761865009555,21021.6267553003,20613.6429193829
11,1,ra,8,2,8218.21591932416,1715.72731424055,560.601129127312,20128.7100274165,19731.2335709437
12,1,ra,9,0,16747.0640478161,1426.84265640488,,15021.9786197919,
13,1,ra,10,2,16911.7407621753,24.7111120586864,166.617803239278,14994.1517039878,14635.1185026755
14,1,ra,14,2,27721.2649615329,1386.75954291372,1328.82942575134,11846.3351177034,11280.4815277366
15,1,ra,13,1,29194.6309655969,,1420.24853693026,,11337.2619320883
16,1,ra,12,0,29478.4736802298,208.504810997731,,11885.5265358471,
17,1,ra,15,0,33381.7233696118,465.471180470787,,11960.1701828351,
18,1,ra,16,2,34103.2604930604,86.3301716488441,1682.33811006803,11970.3853891252,11490.5499374468
19,1,link,,2,34449.3464575004,41.4313703808343,0,11974.8809399587,11498.0723448604
20,2,link,0,2,0,0,2037.30449092795,33758.8137930879,35170.355159487
21,2,ra,11,1,2598.41164546074,,0.177994253383828,,34398.2821383792
22,2,ra,17,0,19826.0309188716,5629.75346622784,,24285.974119979,
23,2,ra,18,1,19924.5544753991,,4128.06929715106,,24186.0911430872
24,2,ra,19,0,24376.283905319,1107.94961707917,,24395.8043620461,
25,2,ra,20,0,38424.0480859037,3193.59583085962,,18382.7449604955,
26,2,ra,21,1,38987.6806255175,,4453.99249618843,,18491.6133654888
27,2,ra,22,2,60686.5331745626,4162.99183164668,4874.69413357421,18323.8494067353,18736.650107374
28,2,ra,23,2,60687.5223097686,0.17407320896991,905.496788987664,18323.1127403572,18735.7901862022
29,2,link,,2,74788.4585560346,2066.87595360883,0,12393.9415716933,11537.6585916693
30,3,link,,2,0,0,276.638796,14880,12964
31,3,ra,24,0,291.139117483826,43.31568,,14880,
32,3,ra,25,1,391.789662717657,,50.78647,,12964
33,3,link,1,2,2525.71464164925,332.50104,0,14880,12964
34,4,link,1,2,0,0,2541.48042300009,30037.3419745759,29723.9666528939
35,4,ra,29,1,27421.918402147,,941.130780889781,,19741.1962074672
36,4,ra,28,0,27456.2755376563,6913.40781708113,,20188.7740020659,
37,4,ra,31,2,57952.4364496481,5459.80728965386,4876.81098103772,16011.0814154375,8230.96530600257
38,4,ra,30,2,57975.5602403068,3.69851459408978,2093.48316022234,16010.6884723873,8211.74794223987
39,4,ra,35,2,78476.4553474238,2596.38509090262,2128.43636679799,10925.6060783794,10412.2997032973
40,4,ra,40,0,96645.2667353262,1976.66074396654,,10876.9999980846,
41,4,ra,41,1,99246.7072366671,,1817.26058482465,,10239.998724531
42,4,ra,42,2,124531.184689634,2242.94471998322,1.89913499969935,7293.1561007636,8056.29252266439
43,4,ra,45,2,160563.715389321,4949.37419030477,5016.02126752447,14928.9998128104,14570.9999693037
44,4,ra,49,2,167022.616706975,964.25344768502,6807.14166940911,14929.6109247903,14571.6387461722
45,4,link,2,2,182066.45484822,2580.11657231137,0,18661.9898553614,18473.9893933767
46,5,link,1,2,0,0,3843.82209257494,33913.4453688065,34880.3372535974
47,5,ra,26,1,10624.4240384357,,3895.94746693039,,36003.5240013336
48,5,ra,27,0,12028.5386871855,4178.14177110393,,32653.8009159093,
49,5,ra,32,2,39273.393575652,5870.83645283758,3281.36809300557,16315.8916479239,16811.7763303403
50,5,ra,36,1,47330.3638647794,,1275.7622080105,,15728.3542233459
51,5,ra,39,0,54808.4650706048,2402.71193975453,,16181.0369578104,
52,5,ra,43,1,67696.5829264334,,6550.91638851091,,15425.0541977474
53,5,ra,44,0,67916.7177403682,2188.52376611744,,16743.9409701348,
54,5,ra,50,1,86150.6446371155,,3865.03208223887,,23926.8657512302
55,5,ra,51,0,86198.2118888899,3863.2104401925,,23976.5917239922,
56,5,link,4,2,102115.051061861,3849.65902876729,0,24204.9992554563,24090.9994830172
57,6,link,,2,0,0,3280.58897165935,9370.08985369332,8223.43897374644
58,6,ra,34,0,1229.56192943354,115.627916160566,,9440.70012643683,
59,6,ra,33,0,4398.31801694572,302.822447135245,,9685.7540713875,
60,6,ra,38,1,19100.037855584,,3267.26796433001,,13533.1360897293
61,6,ra,37,0,19123.3135023805,1803.67381185194,,14150.2103751211,
62,6,ra,48,2,42213.9465999939,3421.90944344568,2046.28920010067,15986.2762154003,14986.6080249759
63,6,link,3,2,60876.2242421798,3553.90060489654,0,22912.2538280909,20940.1291549725
64,7,link,,2,0,0,2312.63273856917,5668.99952865367,6150.7293044389
65,7,ra,46,2,6667.95544755655,439.374363225034,4.53735239569832,8281.7922636936,8468.64769738014
66,7,ra,47,2,6721.47492677825,4.43822753361236,464.569865424279,8309.64474409952,8493.35719891922
67,7,link,2,2,25294.5418793567,2176.3869746183,0,14962.6751347339,16516.5895529509
68,8,link,2,2,0,0,571.535173252439,7482.84754160049,7299.52204304231
69,8,ra,52,2,9055.82449812222,530.547783523534,560.940871775252,4168.18387658208,5040.02249054627
70,8,link,,2,21173.6853058851,557.603815055505,0,5120.67365793185,4588.2170166362
71,9,link,2,2,0,0,3261.48259711826,16104.8835451968,15713.5395909732
72,9,ra,55,2,15445.3717833973,2708.00089398014,2617.4856277939,18116.8086480647,18576.2472296169
73,9,link,7,2,33157.1268468838,3142.32996782434,0,15291.9117888883,16309.9424754144
74,10,link,3,2,0,0,43.8140689321546,16070.5474552074,15536.1221087315
75,10,ra,53,2,14793.4065314786,1960.6175793948,1899.36079238704,10386.9656808517,10095.3263905633
76,10,link,4,2,15227.5355211014,45.079640330005,0,10382.5344994114,10091.0844962853
77,11,link,3,2,0,0,1269.82131381751,24599.8231829302,23820.2309599925
78,11,ra,54,2,6967.48714814497,1701.63127736504,1686.77695184995,24295.4347117739,24519.5584605232
79,11,ra,56,1,14053.3882390507,,1685.09443322027,,22284.9266194441
80,11,link,5,2,19878.6900646546,2910.89526178855,0,21285.3584845686,21634.466675239
81,12,link,4,2,0,0,1562.32443000799,26537.1834811746,26594.4888508882
82,12,ra,58,0,13722.6357161214,3364.25769729557,,22288.895823896,
83,12,ra,57,1,13775.3691799331,,3393.5923031971,,22492.6689728353
84,12,link,5,2,20725.0958331826,1559.84087923299,0,22273.0392762582,22478.0379158823
85,13,link,4,2,0,0,1205.38349046939,13119.3784455626,12868.232099063
86,13,ra,59,2,36309.8952864744,3777.52597161839,3106.32452215234,7033.00411775856,6941.00222971478
87,13,ra,63,1,54986.8926639146,,661.497609325267,,7362.49465739319
88,13,ra,62,0,55258.2918559062,1395.608479293,,7963.31449008736,
89,13,ra,70,2,85720.8848871018,3389.00409366516,3290.29460045869,10623.7234191176,10291.861951
90,13,ra,71,1,92148.0377185692,,1325.87027770041,,10312.6666929756
91,13,ra,75,0,106351.198252807,2225.2267853651,,10865.4133062023,
92,13,ra,80,2,121274.128299309,1587.86020641778,3643.54569493654,10924.7717317326,10844.5418398223
93,13,link,8,2,132616.969219855,1199.97066882623,0,10049.6549230906,10277.1830442788
94,14,link,5,2,0,0,936.342520757964,47019.266876753,47478.5557709937
95,14,ra,61,0,4629.48262057162,2174.78874504217,,46935.1899031602,
96,14,ra,60,1,4633.73189838993,,2204.32457448694,,47664.7520038718
97,14,link,6,2,6596.60038925666,922.919420502059,0,46900.6207445268,47741.070427501
98,15,link,6,2,0,0,1884.85015181653,44538.3019109056,30669.189430141
99,15,ra,64,1,25738.7432238461,,6515.56424199958,,16721.3274524539
100,15,ra,65,0,25740.9022185623,7891.47329091754,,16271.068415411,
101,15,link,,2,48631.178555929,1825.01257049708,0,5379.56194516866,5618.53003976779
102,16,link,6,2,0,0,2800.89558131599,40135.9531021025,39604.6136277
103,16,ra,66,1,12316.8385533337,,4194.66206610603,,29014.9759926702
104,16,ra,67,0,12575.9466885105,4585.78782260726,,29278.0080852545,
105,16,ra,72,0,25449.0803158335,3642.99524799985,,28145.026567285,
106,16,ra,74,1,32933.7519739179,,3150.32793358614,,25731.8558288299
107,16,ra,76,0,49497.4689014342,6370.06870476076,,25418.7221777421,
108,16,ra,77,1,49565.5184208006,,3629.48335037293,,25469.3693020146
109,16,ra,82,1,67595.9687520987,,4731.07688196937,,26935.5497477119
110,16,ra,83,0,68666.0746432526,5057.1026374567,,27462.4751098044,
111,16,ra,86,1,81021.8926734055,,4196.37690745412,,27163.1527528195
112,16,ra,89,0,92123.379066016,6653.92810326968,,29187.9984476255,
113,16,ra,90,1,92203.5095301381,,5601.68477510965,,28376.9986665812
114,16,ra,94,2,106046.116569043,4299.63877333859,4455.60094546251,35553.8279012094,35570.375545886
115,16,link,12,2,113917.810760995,2799.48715587504,0,35564.9999847632,35582.9999827824
116,17,link,,2,0,,,,
117,17,link,7,2,109.92504458051,,,,
118,18,link,7,2,0,0,1262.35088868617,13587.9999999988,13361.999999999
119,18,ra,68,0,12318.1380453438,1673.78287195478,,13587.9186189986,
120,18,ra,69,1,12346.3056788137,,3620.13302138755,,13361.9322654755
121,18,ra,73,2,27186.3293839123,1773.46409345857,1325.59988299293,10354.0731302489,10779.0724834505
122,18,ra,81,2,76811.9776614867,5132.59342206241,5274.53359652543,8263.2955761644,8761.43343928411
123,18,ra,84,0,91803.7907317536,1219.94777274037,,7912.19781312535,
124,18,ra,85,1,91872.4611970398,,1785.78492380043,,8875.83878859374
125,18,ra,92,2,121334.732705969,3104.7402940347,1649.71214317376,22515.082655355,24777.8545246136
126,18,link,11,2,126075.531741563,1125.0783643968,0,24816.3642256391,28281.6385415947
127,19,link,7,2,0,0,1832.522339,9830,10058
128,19,link,,2,18219.577121931,1790.981765,0,9830,10058
129,20,link,,2,0,0,1585.94680206363,9701.00019990513,9780.00014483867
130,20,ra,78,0,22308.8999344534,2201.81082897895,,10133.9989103389,
131,20,ra,79,1,22364.4498639692,,2214.67932713437,,10094.128472639
132,20,link,8,2,37253.2284842051,1594.24397947735,0,10983.9900500203,10978.9896407967
133,21,link,8,2,0,0,371.58433599978,11074,10575.0000000001
134,21,ra,87,2,29246.6421925882,3329.21173105459,3213.37606165029,11776.9999999694,11511.9999999592
135,21,link,10,2,32474.4736101551,380.138005999835,0,11776.9999999999,11511.9999999999
136,22,link,8,2,0,0,2541.60361777734,9293.63667702267,8795.71312529847
137,22,link,9,2,25496.1440920557,2598.64030591273,0,11229.4921808602,11322.2677405789
138,23,link,,2,0,,,,
139,23,link,9,2,348.030958115187,,,,
140,24,link,9,2,0,0,310.22506737586,12922.6073175015,12863.5008273562
141,24,ra,88,0,7001.12487688288,904.521486357201,,12911.6129537198,
142,24,ra,91,1,10447.761196687,,2112.95769776524,,12797.6950404071
143,24,ra,97,0,30840.5691895132,2755.77301226508,,9570.73893282761,
144,24,ra,98,1,30857.3340619152,,2231.33572547577,,9946.42620888775
145,24,ra,108,2,55766.1486133563,2168.3895853448,2333.59706515938,7870.70573058493,8017.00042102256
146,24,ra,114,2,76000.7341358558,2111.30760238217,1342.50934968506,14163.5504368669,14130.4702613849
147,24,link,15,2,78175.474803374,310.87767950128,0,14383.3123439625,14355.3590062621
148,25,link,9,2,0,0,3162.57397865205,9036.99752648209,9407.99701819386
149,25,link,10,2,35248.1726115327,3137.60809841466,0,9665.34291491844,9341.38499511366
150,26,link,10,2,0,0,5432.50664953123,19727.656489473,20071.4338264756
151,26,link,11,2,24120.7762535988,5527.09879983652,0,31319.7944712375,29919.2331704152
152,27,link,11,2,0,0,4475.01586176286,33632.3321209786,34814.6264312158
153,27,ra,99,0,15398.2814879574,4959.0509597815,,29715.9548515929,
154,27,ra,100,1,15788.2300471589,,4427.60002896918,,27462.2259431798
155,27,ra,107,2,32030.5850885025,4077.761723511,4443.75802559327,18775.2599855575,21027.7407865833
156,27,ra,111,0,51994.455333056,3332.68370370798,,14923.34787731,
157,27,ra,110,1,52217.7859827402,,3656.83050998601,,16064.7865328213
158,27,ra,113,2,80453.8359529617,4151.77442489818,4030.58755325613,13396.479626617,14719.2530666468
159,27,ra,115,0,99290.1862589441,2741.86480754644,,16210.1141141057,
160,27,ra,116,2,107271.26953268,1294.98984691301,5082.1264386879,16266.7915147338,17910.9981527642
161,27,link,15,2,128894.513137464,3972.00678523747,0,18725.9999999336,21167.9999999121
162,28,link,11,2,0,0,2390.70224064613,31725.312247826,30266.9665035713
163,28,ra,93,0,3445.55910715547,1072.78335284043,,30439.2241679383,
164,28,ra,95,0,21968.3457181098,3967.26574657,,18498.9087746208,
165,28,ra,96,1,22264.116411145,,4813.95264377551,,17419.1863324911
166,28,link,,2,40879.2796779836,2682.96218463007,0,8425.39921826346,7619.58399845296
167,29,link,,2,0,,,,
168,29,link,13,2,9651.7629414009,,,,
169,30,link,12,2,0,0,1373.0223382835,15334.6891591729,15838.3185536149
170,30,ra,101,0,1882.30501330568,288.700229956651,,15342.1685357064,
171,30,ra,102,1,15325.3757236118,,2426.9547057033,,15008.3801891543
172,30,ra,103,0,15632.2115214018,2123.5391790608,,14615.1043928834,
173,30,link,13,2,27311.5905726122,1268.11665537119,0,9143.1385769236,9791.2515956492
174,31,link,12,2,0,0,584.87883138558,30941.9007084376,30269.3610660116
175,31,ra,106,1,10173.7794302971,,3637.7163502508,,29780.0349085717
176,31,ra,105,0,10175.4293545811,3119.85205801169,,30402.9541425937,
177,31,ra,109,2,22337.1483709023,3762.41918739273,3054.15127581902,31525.7279110326,30877.2063387446
178,31,link,14,2,24222.213413882,595.148026243029,0,31611.057809806,31155.203608001
179,32,link,13,2,0,0,4986.62400523132,12223,11811
180,32,ra,104,2,2270.21285318104,277.486546000003,268.133322000003,12223.0000000006,11811.0000000006
181,32,link,16,2,35413.5690178666,5106.43524839964,0,17897,17575
182,33,link,14,2,0,0,2901.96451332052,13297.3329457903,12194.0589824168
183,33,link,,2,22213.6117866395,3014.56661334824,0,13761.9854531938,13671.9537317711
184,34,link,14,2,0,0,4807.99244961434,40289.5340857765,1.44764249220084
185,34,ra,112,2,14615.9886216738,4738.49168603675,1141.10218742198,20069.2583308031,20015.4210906865
186,34,ra,120,0,26934.1491638682,2388.18736449935,,19233.9789959859,
187,34,link,20,2,38220.8594846279,2247.13462765847,0,20473.5804606555,22375.3526832055
188,35,link,,2,0,0,2412.0267595,6766,6871
189,35,link,16,2,35104.4629542217,2375.167087,0,6766,6871
190,36,link,15,2,0,0,1263.515121,31158,32434
191,36,ra,121,0,5978.40628225615,1862.749872,,31158,
192,36,ra,122,1,6884.76410576914,,2232.999815,,32434
193,36,link,17,2,10780.4149902554,1496.20716,0,31158,32434
194,37,link,16,2,0,0,3075.32200703344,31014.1744637331,30266.4696524814
195,37,ra,117,0,1531.60155183027,476.264669971773,,31188.9181978021,
196,37,link,18,2,9891.28354449013,2677.02300367325,0,32882.2900340846,31927.2350429103
197,38,link,17,2,0,0,8581.89596317837,36437.7364219997,37543.1719868184
198,38,ra,118,1,5385.57294187173,,3563.20063608103,,38288.3848812199
199,38,ra,119,0,7097.78606046679,2619.00122524035,,38355.5663129252,
200,38,ra,123,1,14257.7141698898,,2031.11145511135,,41712.9401712972
201,38,ra,124,0,14300.5054996462,2848.88985060576,,40728.8663078391,
202,38,link,22,2,31585.4341675124,8230.02197998083,0,51540.438437961,54356.0044199386
203,39,link,17,2,0,0,1988.33296352279,12328.3002896388,13233.9785641744
204,39,link,24,2,17071.729881247,1897.36879079567,0,10591.5844792127,10937.8684644395
205,40,link,18,2,0,0,1674.79594495223,12821.1458632264,13111.6925446215
206,40,link,26,2,13785.5992106443,1671.62669728314,0,11334.7070106569,11053.1875047108
207,41,link,18,2,0,0,8031.94834387227,32409.6776559215,32690.3867246198
208,41,ra,126,1,1570.62189366782,,515.744798385718,,33015.8306660751
209,41,ra,125,0,1588.99980042748,517.979810454405,,32828.8089278736,
210,41,link,25,2,19664.6825171201,8019.3953752296,0,52411.8634929897,55305.9798681123
211,42,link,,2,0,0,292.1437675,34358,29965
212,42,link,21,2,974.993087217836,334.973321,0,34358,29965
213,43,link,20,2,0,0,256.538715958994,75767.4489434685,74431.0496926782
214,43,ra,127,2,10005.6920912667,7361.67405319568,7333.87665456454,71622.8655725805,72287.7551845456
215,43,link,22,2,10360.6755425037,254.135111440735,0,71573.2272359724,72262.0856383634
216,44,link,20,2,0,0,3498.6544,74263,79696
217,44,link,21,2,4390.04714603225,3260.1457,0,74263,79696
218,45,link,20,2,0,0,1778.43165752251,32348.664026557,29848.0959987489
219,45,ra,129,2,9849.37897275001,3144.57563370826,2874.82592325038,31496.7732925594,28306.9873375132
220,45,link,27,2,16227.5537304541,2008.7677610147,0,31619.7156039958,27646.1210271018
221,46,link,21,2,0,0,6279.26064472807,58092.1447118619,63964.2185997014
222,46,link,23,2,9404.55520736285,5678.0443937591,0,62497.919354533,69374.7867918066
223,47,link,22,2,0,0,1763.21916642734,18952.692150841,19626.6033870088
224,47,ra,128,2,19815.1127809066,3663.38542984375,3772.25256559018,17399.4597199651,17763.1651099318
225,47,link,28,2,29618.3313222541,1675.65153554322,0,16961.1414488018,18100.9785342384
226,48,link,24,2,0,0,2252.38793848172,7856.99996682075,8152.9999675681
227,48,link,,2,34790.8303429051,2203.40390841478,0,5180.36917753558,5048.58045847682
228,49,link,,2,0,,,,
229,49,link,23,2,735.115339951881,,,,
230,50,link,23,2,0,0,2077.52908786604,89420.7692084569,77867.5216262231
231,50,link,25,2,2660.51340881896,2379.09007339684,0,89424.5683491475,78308.5737186267
232,51,link,23,2,0,0,2606.49863917702,33685.4721908872,34318.9562206295
233,51,ra,130,0,2344.99727996629,783.162954686691,,33100.9959033154,
234,51,link,27,2,7784.58868214326,1762.79400434887,0,31754.4889250316,32671.746731296
235,52,link,24,2,0,,,,
236,52,link,,2,776.1827292677,,,,
237,53,link,24,2,0,0,1301.2096815,13216,13407
238,53,link,28,2,9705.48649135397,1282.672272,0,13216,13407
239,54,link,25,2,0,0,914.669079332492,33602.5555376766,30188.1875459756
240,54,ra,131,2,14118.0595783865,3714.28097177565,3471.13703056457,17029.2127372484,16733.2288213693
241,54,link,26,2,19751.6727385701,929.571492526024,0,16371.3543459377,16113.4201115072
242,55,link,26,2,0,0,3651.95402706089,17306.4999689679,18304.6999670414
243,55,ra,132,2,10714.2329169781,1850.01487529755,1956.70130344057,16687.9002306099,17647.7698554999
244,55,link,,2,47911.3668726574,3382.27393180499,0,4116.00014201232,4899.00013679464
245,56,link,27,2,0,0,2367.02370971695,34432.267085203,33121.2501995819
246,56,ra,134,1,14670.9425066938,,1429.46120190489,,28345.0537807391
247,56,ra,133,0,14715.488271793,4635.2223561875,,28758.648000424,
248,56,ra,135,2,20490.1826432686,1468.70673835056,4503.63132603329,24072.8864014428,22933.2176808434
249,56,link,29,2,31051.5111500156,2510.31569035993,0,23422.054813021,21815.2717507646
250,57,link,28,2,0,0,664.304917,10785,10823
251,57,link,,2,6137.90628624439,661.972515,0,10785,10823
252,58,link,28,2,0,,,,
253,58,link,,2,3692.22000988478,,,,
254,59,link,29,2,0,0,64.1922987606669,21836.3114479028,19927.3309749078
255,59,ra,137,0,25939.71611319,4281.44265472418,,11226.9471972143,
256,59,ra,138,1,26235.4919576393,,3768.95103150065,,8142.41876965786
257,59,link,,2,27032.7504548799,121.795390046012,0,11064.8956674036,7965.27205345848
258,60,link,29,2,0,0,589.761879951074,7325.99983936264,7878.99979939057
259,60,ra,136,2,10738.6315701673,781.773481624616,839.92960557699,6712.48148642337,7112.81706613109
260,60,link,,2,22135.2935483001,588.144298822839,0,4967.00050429217,4933.00062977733
