ID,segment_id,pois_type,type_ID,dir,dist_along_segment,ID,demand_0,tc_0,demand_1,tc_1
0,0.0,link,,2,0.0,0,0.0,0.0,0.0,0.0
1,0.0,ra,1.0,2,239.7158,1,0.0,0.0,0.0,0.0
2,0.0,ra,0.0,2,24427.4622,2,0.0,0.0,0.0,0.0
3,0.0,ra,2.0,1,68504.6013,3,0.0,0.0,0.0,0.0
4,0.0,ra,3.0,0,79329.1375,4,0.0,0.0,0.0,0.0
5,0.0,ra,4.0,2,104473.7124,5,0.0,0.0,0.0,0.0
6,0.0,ra,5.0,2,133409.2104,6,0.0,0.0,0.0,0.0
7,0.0,ra,6.0,2,173065.4138,7,0.0,0.0,0.0,0.0
8,0.0,ra,7.0,1,176940.2207,8,0.0,0.0,0.0,0.0
9,0.0,link,0.0,2,194059.9649,9,0.0,0.0,0.0,0.0
10,1.0,link,0.0,2,0.0,10,0.0,0.0,0.0,0.0
11,1.0,ra,8.0,2,8218.2159,11,0.0,0.0,0.0,0.0
12,1.0,ra,9.0,0,16747.064,12,0.0,0.0,0.0,0.0
13,1.0,ra,10.0,2,16911.7408,13,0.0,0.0,0.0,0.0
14,1.0,ra,14.0,2,27721.265,14,0.0,0.0,0.0,0.0
15,1.0,ra,13.0,1,29194.631,15,0.0,0.0,0.0,0.0
16,1.0,ra,12.0,0,29478.4737,16,0.0,0.0,0.0,0.0
17,1.0,ra,15.0,0,33381.7234,17,0.0,0.0,0.0,0.0
18,1.0,ra,16.0,2,34103.2605,18,0.0,0.0,0.0,0.0
19,1.0,link,,2,34449.3465,19,0.0,0.0,0.0,0.0
20,2.0,link,0.0,2,0.0,20,0.0,0.0,0.0,0.0
21,2.0,ra,11.0,1,2598.4116,21,0.0,0.0,0.0,0.0
22,2.0,ra,17.0,0,19826.0309,22,0.0,0.0,0.0,0.0
23,2.0,ra,18.0,1,19924.5545,23,0.0,0.0,0.0,0.0
24,2.0,ra,19.0,0,24376.2839,24,0.0,0.0,0.0,0.0
25,2.0,ra,20.0,0,38424.0481,25,0.0,0.0,0.0,0.0
26,2.0,ra,21.0,1,38987.6806,26,0.0,0.0,0.0,0.0
27,2.0,ra,22.0,2,60686.5332,27,0.0,0.0,0.0,0.0
28,2.0,ra,23.0,2,60687.5223,28,0.0,0.0,0.0,0.0
29,2.0,link,,2,74788.4586,29,0.0,0.0,0.0,0.0
30,3.0,od,0.0,2,0.0,30,0.0,0.0,0.0,0.0
31,3.0,link,,2,0.0,31,0.0,0.0,6.237292024,1592.0
32,3.0,ra,24.0,0,291.1391,32,4.713542029,1619.0,0.0,0.0
33,3.0,ra,25.0,1,391.7897,33,0.0,0.0,33.972084408,1592.0
34,3.0,link,1.0,2,2525.7146,34,36.177777345,1619.0,0.0,1592.0
35,4.0,link,1.0,2,0.0,35,0.0,7623.0,2032.2383726240002,7411.0
36,4.0,ra,29.0,1,27421.9184,36,0.0,0.0,1323.0462107940004,7411.0
37,4.0,ra,28.0,0,27456.2755,37,2092.991881365,7623.0,0.0,0.0
38,4.0,od,2.0,2,45274.3838,38,1358.2743957090004,7623.0,835.8640079179997,6593.0
39,4.0,ra,31.0,2,57952.4364,39,864.7699678459999,6821.0,1.52455213400008,6593.0
40,4.0,ra,30.0,2,57975.5602,40,1.5772743980000827,6821.0,1351.6240139430001,6593.0
41,4.0,ra,35.0,2,78476.4553,41,1398.3660547710003,6821.0,1369.3827077670003,6593.0
42,4.0,ra,40.0,0,96645.2667,42,1239.2946255939996,6821.0,0.0,0.0
43,4.0,ra,41.0,1,99246.7072,43,0.0,0.0,230.1176744689999,6593.0
44,4.0,od,3.0,2,102737.0405,44,415.5198908980007,6821.0,1383.7102152579996,6349.0
45,4.0,ra,42.0,2,124531.1847,45,1430.5676252879998,6564.0,868.9719606679996,6349.0
46,4.0,od,4.0,2,138217.9379,46,898.3984800479996,6564.0,490.17434506000063,6289.0
47,4.0,od,5.0,2,146012.0919,47,506.93177616000065,6504.0,355.20512963499976,2441.0
48,4.0,ra,45.0,2,160563.7154,48,391.29315591499966,2689.0,157.66178073300065,2441.0
49,4.0,ra,49.0,2,167022.6167,49,173.6798559570007,2689.0,367.2200880209999,2441.0
50,4.0,link,2.0,2,182066.4548,50,404.5288065089999,2689.0,0.0,2441.0
51,5.0,link,1.0,2,0.0,51,0.0,9030.0,739.5924904500001,9215.0
52,5.0,od,7.0,2,8025.963,52,724.7444589,9030.0,250.07588664000014,9624.0
53,5.0,ra,26.0,1,10624.424,53,0.0,0.0,2757.1768343040003,9624.0
54,5.0,ra,27.0,0,12028.5387,54,377.643017295,9435.0,0.0,0.0
55,5.0,ra,32.0,2,39273.3936,55,2570.552059815001,9435.0,775.4028216719995,9624.0
56,5.0,ra,36.0,1,47330.3639,56,0.0,0.0,1960.04491656,9624.0
57,5.0,ra,39.0,0,54808.4651,57,1465.7339960250001,9435.0,0.0,0.0
58,5.0,ra,43.0,1,67696.5829,58,0.0,0.0,1433.9072076480015,9624.0
59,5.0,ra,44.0,0,67916.7177,59,1236.7636328099993,9435.0,0.0,0.0
60,5.0,od,8.0,2,82595.8681,60,1384.9778402400016,9435.0,347.23056851999934,9768.0
61,5.0,ra,50.0,1,86150.6446,61,0.0,0.0,1559.40322692,9768.0
62,5.0,ra,51.0,0,86198.2119,62,345.03248916399883,9578.0,0.0,0.0
63,5.0,link,4.0,2,102115.0511,63,1524.5148585760005,9578.0,0.0,9768.0
64,6.0,od,10.0,2,0.0,64,0.0,0.0,0.0,0.0
65,6.0,link,,2,0.0,65,0.0,0.0,211.819420311,1109.0
66,6.0,ra,34.0,0,1229.5619,66,14.041596898,1142.0,0.0,0.0
67,6.0,ra,33.0,0,4398.318,67,36.18719466200001,1142.0,0.0,0.0
68,6.0,ra,38.0,1,19100.0379,68,0.0,0.0,41.748353796000025,1109.0
69,6.0,ra,37.0,0,19123.3135,69,168.15944861000003,1142.0,0.0,0.0
70,6.0,od,11.0,2,22864.5423,70,42.72483289600001,1142.0,267.9892495550001,1385.0
71,6.0,ra,48.0,2,42213.9466,71,274.76154106000007,1420.0,258.47254475999995,1385.0
72,6.0,link,3.0,2,60876.2242,72,265.00434191999994,1420.0,0.0,1385.0
73,7.0,od,13.0,2,0.0,73,0.0,0.0,0.0,0.0
74,7.0,link,,2,0.0,74,0.0,0.0,67.87978597200001,1018.0
75,7.0,ra,46.0,2,6667.9554,75,62.612101206000006,939.0,0.5448285100000035,1018.0
76,7.0,ra,47.0,2,6721.4749,76,0.5025481050000031,939.0,189.07382206000003,1018.0
77,7.0,link,2.0,2,25294.5419,77,174.40109913,939.0,0.0,1018.0
78,8.0,link,2.0,2,0.0,78,0.0,1671.0,136.01848399000002,1502.0
79,8.0,ra,52.0,2,9055.8245,79,151.32282739500002,1671.0,0.0,0.0
80,8.0,od,14.0,2,21173.6853,80,202.48945396800002,1671.0,0.0,0.0
81,8.0,link,,2,21173.6853,81,0.0,3173.0,0.0,0.0
82,9.0,link,2.0,2,0.0,82,0.0,0.0,0.0,0.0
83,9.0,ra,55.0,2,15445.3718,83,0.0,0.0,0.0,0.0
84,9.0,od,27.0,2,33157.1268,84,0.0,0.0,0.0,0.0
85,9.0,link,7.0,2,33157.1268,85,0.0,0.0,0.0,0.0
86,10.0,link,3.0,2,0.0,86,0.0,1387.0,199.71098775000002,1350.0
87,10.0,ra,53.0,2,14793.4065,87,205.18454815500002,1387.0,5.860741500000011,1350.0
88,10.0,link,4.0,2,15227.5355,88,6.021369230000012,1387.0,0.0,1350.0
89,11.0,link,3.0,2,0.0,89,0.0,33.0,2.4386204850000004,35.0
90,11.0,ra,54.0,2,6967.4871,90,2.299270743,33.0,2.480065385,35.0
91,11.0,ra,56.0,1,14053.3882,91,0.0,0.0,2.0388556650000003,35.0
92,11.0,link,5.0,2,19878.6901,92,4.26069699,33.0,0.0,35.0
93,12.0,link,4.0,2,0.0,93,0.0,1218.0,165.44218409200002,1201.0
94,12.0,ra,58.0,0,13722.6357,94,167.14170282600003,1218.0,0.0,0.0
95,12.0,ra,57.0,1,13775.3692,95,0.0,0.0,83.466216466,1201.0
96,12.0,link,5.0,2,20725.0958,96,85.28996401799998,1218.0,0.0,1201.0
97,13.0,link,4.0,2,0.0,97,0.0,9307.0,1845.6792132870003,9477.0
98,13.0,od,17.0,2,19475.3531,98,1812.571113017,9307.0,1610.22396143,9565.0
99,13.0,ra,59.0,2,36309.8953,99,1593.38941923,9465.0,1786.4548013100002,9565.0
100,13.0,ra,63.0,1,54986.8927,100,0.0,0.0,1297.2330002400004,9565.0
101,13.0,ra,62.0,0,55258.2919,101,1793.4657381900001,9465.0,0.0,0.0
102,13.0,od,18.0,2,68549.1823,102,1257.9827763600006,9465.0,1535.6653635180003,8943.0
103,13.0,ra,70.0,2,85720.8849,103,1510.9381117740004,8799.0,574.7802749039997,8943.0
104,13.0,ra,71.0,1,92148.0377,104,0.0,0.0,2604.746282358,8943.0
105,13.0,ra,75.0,0,106351.1983,105,1815.261276066,8799.0,0.0,0.0
106,13.0,ra,80.0,2,121274.1283,106,1313.0686106999995,8799.0,1014.3902616869997,8943.0
107,13.0,link,8.0,2,132616.9692,107,998.0565707909998,8799.0,0.0,8943.0
108,14.0,link,5.0,2,0.0,108,0.0,1251.0,57.272926284,1236.0
109,14.0,ra,61.0,0,4629.4826,109,57.91482732600001,1251.0,0.0,0.0
110,14.0,ra,60.0,1,4633.7319,110,0.0,0.0,24.261054660000006,1236.0
111,14.0,link,6.0,2,6596.6004,111,24.608643678000004,1251.0,0.0,1236.0
112,15.0,link,6.0,2,0.0,112,0.0,2277.0,181.308655641,2287.0
113,15.0,od,21.0,2,7927.7943,113,180.51587621099998,2277.0,153.53037951800002,862.0
114,15.0,ra,64.0,1,25738.7432,114,0.0,0.0,169.976574924,862.0
115,15.0,ra,65.0,0,25740.9022,115,151.94581038700005,853.0,0.0,0.0
116,15.0,od,22.0,2,45457.6034,116,168.183461236,853.0,0.0,0.0
117,15.0,link,,2,48631.1786,117,0.0,0.0,0.0,0.0
118,16.0,link,6.0,2,0.0,118,0.0,1642.0,199.163280162,1617.0
119,16.0,ra,66.0,1,12316.8386,119,0.0,0.0,333.37548967800006,1617.0
120,16.0,ra,67.0,0,12575.9467,120,206.49704481400005,1642.0,0.0,0.0
121,16.0,ra,72.0,0,25449.0803,121,211.37685371200004,1642.0,0.0,0.0
