ID,segment_id,pois_type,type_ID,dir,dist_along_segment,ID,demand_0,tc_0,demand_1,tc_1
0,0.0,link,,2,0.0,0,0.0,0.0,0.0,0.0
1,0.0,ra,1.0,2,239.7158,1,0.0,0.0,0.0,0.0
2,0.0,ra,0.0,2,24427.4622,2,0.0,0.0,0.0,0.0
3,0.0,ra,2.0,1,68504.6013,3,0.0,0.0,0.0,0.0
4,0.0,ra,3.0,0,79329.1375,4,0.0,0.0,0.0,0.0
5,0.0,ra,4.0,2,104473.7124,5,0.0,0.0,0.0,0.0
6,0.0,ra,5.0,2,133409.2104,6,0.0,0.0,0.0,0.0
7,0.0,ra,6.0,2,173065.4138,7,0.0,0.0,0.0,0.0
8,0.0,ra,7.0,1,176940.2207,8,0.0,0.0,0.0,0.0
9,0.0,link,0.0,2,194059.9649,9,0.0,0.0,0.0,0.0
10,1.0,link,0.0,2,0.0,10,0.0,0.0,0.0,0.0
11,1.0,ra,8.0,2,8218.2159,11,0.0,0.0,0.0,0.0
12,1.0,ra,9.0,0,16747.064,12,0.0,0.0,0.0,0.0
13,1.0,ra,10.0,2,16911.7408,13,0.0,0.0,0.0,0.0
14,1.0,ra,14.0,2,27721.265,14,0.0,0.0,0.0,0.0
15,1.0,ra,13.0,1,29194.631,15,0.0,0.0,0.0,0.0
16,1.0,ra,12.0,0,29478.4737,16,0.0,0.0,0.0,0.0
17,1.0,ra,15.0,0,33381.7234,17,0.0,0.0,0.0,0.0
18,1.0,ra,16.0,2,34103.2605,18,0.0,0.0,0.0,0.0
19,1.0,link,,2,34449.3465,19,0.0,0.0,0.0,0.0
20,2.0,link,0.0,2,0.0,20,0.0,0.0,0.0,0.0
21,2.0,ra,11.0,1,2598.4116,21,0.0,0.0,0.0,0.0
22,2.0,ra,17.0,0,19826.0309,22,0.0,0.0,0.0,0.0
23,2.0,ra,18.0,1,19924.5545,23,0.0,0.0,0.0,0.0
24,2.0,ra,19.0,0,24376.2839,24,0.0,0.0,0.0,0.0
25,2.0,ra,20.0,0,38424.0481,25,0.0,0.0,0.0,0.0
26,2.0,ra,21.0,1,38987.6806,26,0.0,0.0,0.0,0.0
27,2.0,ra,22.0,2,60686.5332,27,0.0,0.0,0.0,0.0
28,2.0,ra,23.0,2,60687.5223,28,0.0,0.0,0.0,0.0
29,2.0,link,,2,74788.4586,29,0.0,0.0,0.0,0.0
30,3.0,od,0.0,2,0.0,30,0.0,0.0,0.0,0.0
31,3.0,link,,2,0.0,31,0.0,0.0,15.44281396247881,3941.607949999403
32,3.0,ra,24.0,0,291.1391,32,11.514710366947897,3955.054599999758,0.0,0.0
33,3.0,ra,25.0,1,391.7897,33,0.0,0.0,84.11095350541682,3941.607949999403
34,3.0,link,1.0,2,2525.7146,34,88.37868110321759,3955.054599999758,0.0,3941.607949999403
35,4.0,link,1.0,2,0.0,35,0.0,82940.66640000013,22405.63318784026,81707.02305000025
36,4.0,ra,29.0,1,27421.9184,36,0.0,0.0,14586.718019371325,81707.02305000025
37,4.0,ra,28.0,0,27456.2755,37,22772.41786831997,82940.66640000013,0.0,0.0
38,4.0,od,2.0,2,45274.3838,38,14778.457763893739,82940.66640000013,9658.484952386252,76182.71715000026
39,4.0,ra,31.0,2,57952.4364,39,9829.948520430808,77535.16120000015,17.61633914833268,76182.71715000026
40,4.0,ra,30.0,2,57975.5602,40,17.929075605566574,77535.16120000015,15618.138927251266,76182.71715000026
41,4.0,ra,35.0,2,78476.4553,41,15895.402063227933,77535.16120000015,15823.342256319558,76182.71715000026
42,4.0,ra,40.0,0,96645.2667,42,14087.217207114,77535.16120000015,0.0,0.0
43,4.0,ra,41.0,1,99246.7072,43,0.0,0.0,2659.030745531269,76182.71715000026
44,4.0,od,3.0,2,102737.0405,44,4723.266635769382,77535.16120000015,16234.199590515202,74488.81425000026
45,4.0,ra,42.0,2,124531.1847,45,16510.05385999987,75754.54080000016,10195.10016800396,74488.81425000026
46,4.0,od,4.0,2,138217.9379,46,10368.337037089323,75754.54080000016,5768.765465017418,74014.00415000026
47,4.0,od,5.0,2,146012.0919,47,5867.095198566462,75275.58730000016,7025.753355833309,48281.57735000026
48,4.0,ra,45.0,2,160563.7154,48,7239.404955855617,49749.80940000009,3118.4594271196856,48281.57735000026
49,4.0,ra,49.0,2,167022.6167,49,3213.291086084142,49749.80940000009,7263.402328660308,48281.57735000026
50,4.0,link,2.0,2,182066.4548,50,7484.280781194593,49749.80940000009,0.0,48281.57735000026
51,5.0,link,1.0,2,0.0,51,0.0,85662.07764999999,6973.1391928894545,86882.27434999956
52,5.0,od,7.0,2,8025.963,52,6875.206657220268,85662.07764999999,2329.34948576074,89643.42684999848
53,5.0,ra,26.0,1,10624.424,53,0.0,0.0,25681.918106654306,89643.42684999848
54,5.0,ra,27.0,0,12028.5387,54,3539.1282326294513,88421.26914999887,0.0,0.0
55,5.0,ra,32.0,2,39273.3936,55,24090.246480655664,88421.26914999887,7222.544277206598,89643.42684999848
56,5.0,ra,36.0,1,47330.3639,56,0.0,0.0,18256.97663137549,89643.42684999848
57,5.0,ra,39.0,0,54808.4651,57,13736.307383659767,88421.26914999887,0.0,0.0
58,5.0,ra,43.0,1,67696.5829,58,0.0,0.0,13356.229829434664,89643.42684999848
59,5.0,ra,44.0,0,67916.7177,59,11590.483312307719,88421.26914999887,0.0,0.0
60,5.0,od,8.0,2,82595.8681,60,12979.49108411715,88421.26914999887,3221.4173572321715,90622.21934999789
61,5.0,ra,50.0,1,86150.6446,61,0.0,0.0,14467.29947635532,90622.21934999789
62,5.0,ra,51.0,0,86198.2119,62,3220.0508513902464,89387.6606499984,0.0,0.0
63,5.0,link,4.0,2,102115.0511,63,14227.690210301926,89387.6606499984,0.0,90622.21934999789
64,6.0,od,10.0,2,0.0,64,0.0,0.0,0.0,0.0
65,6.0,link,,2,0.0,65,0.0,0.0,319.8043686843382,1674.3650999998183
66,6.0,ra,34.0,0,1229.5619,66,21.568634261153058,1754.1722999999477,0.0,0.0
67,6.0,ra,33.0,0,4398.318,67,55.58544176075865,1754.1722999999477,0.0,0.0
68,6.0,ra,38.0,1,19100.0379,68,0.0,0.0,63.03154786155759,1674.3650999998183
69,6.0,ra,37.0,0,19123.3135,69,258.3017922372388,1754.1722999999477,0.0,0.0
70,6.0,od,11.0,2,22864.5423,70,65.62759928922047,1754.1722999999477,694.2152379080202,3587.786099999058
71,6.0,ra,48.0,2,42213.9466,71,710.4157588511162,3671.512299999417,669.5626016760376,3587.786099999058
72,6.0,link,3.0,2,60876.2242,72,685.1878175440359,3671.512299999417,0.0,3587.786099999058
73,7.0,od,13.0,2,0.0,73,0.0,0.0,0.0,0.0
74,7.0,link,,2,0.0,74,0.0,0.0,334.88145675604795,5022.250999999909
75,7.0,ra,46.0,2,6667.9554,75,307.5744457246501,4612.725000000001,2.6878836239449684,5022.250999999909
76,7.0,ra,47.0,2,6721.4749,76,2.4687073563750164,4612.725000000001,932.7860431381532,5022.250999999909
77,7.0,link,2.0,2,25294.5419,77,856.7245047757502,4612.725000000001,0.0,5022.250999999909
78,8.0,link,2.0,2,0.0,78,0.0,44727.55840000018,3954.5746299801503,43668.85235000026
79,8.0,ra,52.0,2,9055.8245,79,4050.4491918390254,44727.55840000018,0.0,0.0
80,8.0,od,14.0,2,21173.6853,80,5420.02326615073,44727.55840000018,0.0,0.0
81,8.0,link,,2,21173.6853,81,0.0,88396.41075000045,0.0,0.0
82,9.0,link,2.0,2,0.0,82,0.0,0.0,0.0,0.0
83,9.0,ra,55.0,2,15445.3718,83,0.0,0.0,0.0,0.0
84,9.0,od,27.0,2,33157.1268,84,0.0,0.0,0.0,0.0
85,9.0,link,7.0,2,33157.1268,85,0.0,0.0,0.0,0.0
86,10.0,link,3.0,2,0.0,86,0.0,3438.331499999415,493.459340945661,3335.6707999990467
87,10.0,ra,53.0,2,14793.4065,87,508.6463556124609,3438.331499999415,14.48111428732789,3335.6707999990467
88,10.0,link,4.0,2,15227.5355,88,14.926794157632491,3438.331499999415,0.0,3335.6707999990467
89,11.0,link,3.0,2,0.0,89,0.0,233.18080000000208,17.566101004627107,252.11530000001156
90,11.0,ra,54.0,2,6967.4871,90,16.246842159676948,233.18080000000208,17.864640815969118,252.11530000001156
91,11.0,ra,56.0,1,14053.3882,91,0.0,0.0,14.686477361091377,252.11530000001156
92,11.0,link,5.0,2,19878.6901,92,30.10644644502427,233.18080000000208,0.0,252.11530000001156
93,12.0,link,4.0,2,0.0,93,0.0,8304.861799999413,1128.7153327431981,8193.721099999251
94,12.0,ra,58.0,0,13722.6357,94,1139.6459302023823,8304.861799999413,0.0,0.0
95,12.0,ra,57.0,1,13775.3692,95,0.0,0.0,569.4412148164606,8193.721099999251
96,12.0,link,5.0,2,20725.0958,96,581.5446339051007,8304.861799999413,0.0,8193.721099999251
97,13.0,link,4.0,2,0.0,97,0.0,87507.57489999817,17284.495377016126,88750.61359999745
98,13.0,od,17.0,2,19475.3531,98,17042.40920102162,87507.57489999817,15039.89500387599,89339.4950999974
99,13.0,ra,59.0,2,36309.8953,99,14910.215377250079,88569.17639999786,16685.935176999643,89339.4950999974
100,13.0,ra,63.0,1,54986.8927,100,0.0,0.0,12116.481052639461,89339.4950999974
101,13.0,ra,62.0,0,55258.2919,101,16782.438809625197,88569.17639999786,0.0,0.0
102,13.0,od,18.0,2,68549.1823,102,11771.632163506385,88569.17639999786,14623.374437230168,85159.72339999741
103,13.0,ra,70.0,2,85720.8849,103,14439.733672863758,84090.28509999791,5473.345546975186,85159.72339999741
104,13.0,ra,71.0,1,92148.0377,104,0.0,0.0,24803.698192192645,85159.72339999741
105,13.0,ra,75.0,0,106351.1983,105,17348.089355083073,84090.28509999791,0.0,0.0
106,13.0,ra,80.0,2,121274.1283,106,12548.734382273115,84090.28509999791,9659.531936141775,85159.72339999741
107,13.0,link,8.0,2,132616.9692,107,9538.227251249165,84090.28509999791,0.0,85159.72339999741
108,14.0,link,5.0,2,0.0,108,0.0,8538.042599999417,391.35741548857754,8445.836399999263
109,14.0,ra,61.0,0,4629.4826,109,395.2671965475607,8538.042599999417,0.0,0.0
110,14.0,ra,60.0,1,4633.7319,110,0.0,0.0,165.7806622571196,8445.836399999263
111,14.0,link,6.0,2,6596.6004,111,167.95335575617133,8538.042599999417,0.0,8445.836399999263
