,segment_id,dir,start_dist,end_dist,type_of_cell
0,3,0,0.0,0.0,0
1,3,0,0.0,0.0,1
2,3,0,0.0,0.0,2
3,3,0,0.0,0.0,1
4,3,0,0.0,0.0,0
0,3,1,0.0,0.0,0
1,3,1,0.0,0.0,1
2,3,1,0.0,0.0,2
3,3,1,0.0,0.0,1
4,3,1,0.0,0.0,0
0,4,0,0.0,0.0,0
1,4,0,0.0,25000.0,1
2,4,0,25000.0,25000.0,2
3,4,0,25000.0,50000.0,1
4,4,0,50000.0,50000.0,2
5,4,0,50000.0,50000.0,1
6,4,0,50000.0,50000.0,2
7,4,0,50000.0,75000.0,1
8,4,0,75000.0,75000.0,2
9,4,0,75000.0,100000.0,1
10,4,0,100000.0,100000.0,2
11,4,0,100000.0,125000.0,1
12,4,0,125000.0,125000.0,2
13,4,0,125000.0,150000.0,1
14,4,0,150000.0,150000.0,2
15,4,0,150000.0,175000.0,1
16,4,0,175000.0,175000.0,2
17,4,0,175000.0,175000.0,1
18,4,0,175000.0,175000.0,0
0,4,1,0.0,0.0,0
1,4,1,0.0,0.0,1
2,4,1,0.0,0.0,2
3,4,1,0.0,25000.0,1
4,4,1,25000.0,25000.0,2
5,4,1,25000.0,50000.0,1
6,4,1,50000.0,50000.0,2
7,4,1,50000.0,75000.0,1
8,4,1,75000.0,75000.0,2
9,4,1,75000.0,100000.0,1
10,4,1,100000.0,100000.0,2
11,4,1,100000.0,125000.0,1
12,4,1,125000.0,125000.0,2
13,4,1,125000.0,125000.0,1
14,4,1,125000.0,125000.0,2
15,4,1,125000.0,150000.0,1
16,4,1,150000.0,150000.0,2
17,4,1,150000.0,175000.0,1
18,4,1,175000.0,175000.0,0
0,5,0,0.0,0.0,0
1,5,0,0.0,0.0,1
2,5,0,0.0,0.0,2
3,5,0,0.0,25000.0,1
4,5,0,25000.0,25000.0,2
5,5,0,25000.0,50000.0,1
6,5,0,50000.0,50000.0,2
7,5,0,50000.0,50000.0,1
8,5,0,50000.0,50000.0,2
9,5,0,50000.0,75000.0,1
10,5,0,75000.0,75000.0,2
11,5,0,75000.0,100000.0,1
12,5,0,100000.0,100000.0,0
0,5,1,0.0,0.0,0
1,5,1,0.0,0.0,1
2,5,1,0.0,0.0,2
3,5,1,0.0,25000.0,1
4,5,1,25000.0,25000.0,2
5,5,1,25000.0,50000.0,1
6,5,1,50000.0,50000.0,2
7,5,1,50000.0,50000.0,1
8,5,1,50000.0,50000.0,2
9,5,1,50000.0,75000.0,1
10,5,1,75000.0,75000.0,2
