;Unnamed: 0;tau;origin;destination;cell_route;min_driving_range;charging_capacity;battery_capacity;energy_cons;SOC_init;SOC_min;fleet_size;start_timestep;charge_cap;batt_cap;d_spec;route;incoming;arriving;depart_time;fleet_id
24;24;24.0;DE2;AT322;(1, 2);41.25;41.0;55.0;23.6;1.0000000000000002;0.277;3.0;24.0;41.0;55.0;0.23600000000000002;(1, 2);{1: 3.0};{2: 3.0};{1: {24.0: 3.0}};0
28;28;28.0;DE2;AT322;(1, 2);41.25;110.0;60.0;20.9;0.8000000000000003;0.2436874999999999;7.0;28.0;110.0;60.0;0.209;(1, 2);{1: 7.0};{2: 7.0};{1: {28.0: 7.0}};1
32;32;32.0;DE2;AT322;(1, 2);41.25;110.0;60.0;20.9;0.8000000000000003;0.2436874999999999;10.0;32.0;110.0;60.0;0.209;(1, 2);{1: 10.0};{2: 10.0};{1: {32.0: 10.0}};2
36;36;36.0;DE2;AT322;(1, 2);41.25;110.0;60.0;20.9;0.6000000000000001;0.2436874999999999;7.0;36.0;110.0;60.0;0.209;(1, 2);{1: 7.0};{2: 7.0};{1: {36.0: 7.0}};3
40;40;40.0;DE2;AT322;(1, 2);41.25;110.0;60.0;20.9;0.9000000000000001;0.2436874999999999;4.0;40.0;110.0;60.0;0.209;(1, 2);{1: 4.0};{2: 4.0};{1: {40.0: 4.0}};4
44;44;44.0;DE2;AT322;(1, 2);41.25;110.0;60.0;20.9;0.8000000000000003;0.2436874999999999;6.0;44.0;110.0;60.0;0.209;(1, 2);{1: 6.0};{2: 6.0};{1: {44.0: 6.0}};5
48;48;48.0;DE2;AT322;(1, 2);41.25;110.0;60.0;20.9;0.3;0.2436874999999999;2.0;48.0;110.0;60.0;0.209;(1, 2);{1: 2.0};{2: 2.0};{1: {48.0: 2.0}};6
52;52;52.0;DE2;AT322;(1, 2);41.25;110.0;60.0;20.9;0.3;0.2436874999999999;7.0;52.0;110.0;60.0;0.209;(1, 2);{1: 7.0};{2: 7.0};{1: {52.0: 7.0}};7
56;56;56.0;DE2;AT322;(1, 2);41.25;110.0;60.0;20.9;0.5;0.2436874999999999;3.0;56.0;110.0;60.0;0.209;(1, 2);{1: 3.0};{2: 3.0};{1: {56.0: 3.0}};8
60;60;60.0;DE2;AT322;(1, 2);41.25;110.0;60.0;20.9;1.0000000000000002;0.2436874999999999;4.0;60.0;110.0;60.0;0.209;(1, 2);{1: 4.0};{2: 4.0};{1: {60.0: 4.0}};9
64;64;64.0;DE2;AT322;(1, 2);41.25;110.0;60.0;20.9;0.5;0.2436874999999999;4.0;64.0;110.0;60.0;0.209;(1, 2);{1: 4.0};{2: 4.0};{1: {64.0: 4.0}};10
68;68;68.0;DE2;AT322;(1, 2);41.25;41.0;55.0;23.6;0.4;0.277;8.0;68.0;41.0;55.0;0.23600000000000002;(1, 2);{1: 8.0};{2: 8.0};{1: {68.0: 8.0}};11
72;72;72.0;DE2;AT322;(1, 2);41.25;110.0;60.0;20.9;1.0000000000000002;0.2436874999999999;12.0;72.0;110.0;60.0;0.209;(1, 2);{1: 12.0};{2: 12.0};{1: {72.0: 12.0}};12
76;76;76.0;DE2;AT322;(1, 2);41.25;41.0;55.0;23.6;0.5;0.277;1.0;76.0;41.0;55.0;0.23600000000000002;(1, 2);{1: 1.0};{2: 1.0};{1: {76.0: 1.0}};13
80;80;80.0;DE2;AT322;(1, 2);41.25;110.0;60.0;20.9;0.3;0.2436874999999999;3.0;80.0;110.0;60.0;0.209;(1, 2);{1: 3.0};{2: 3.0};{1: {80.0: 3.0}};14
88;88;88.0;DE2;AT322;(1, 2);41.25;41.0;55.0;23.6;1.0000000000000002;0.277;1.0;88.0;41.0;55.0;0.23600000000000002;(1, 2);{1: 1.0};{2: 1.0};{1: {88.0: 1.0}};15
124;124;28.0;DE2;AT321;(1, 2, 3);55.0;110.0;60.0;20.9;0.4;0.2915833333333333;1.0;28.0;110.0;60.0;0.209;(1, 2, 3);{1: 1.0};{3: 1.0};{1: {28.0: 1.0}};16
140;140;44.0;DE2;AT321;(1, 2, 3);55.0;110.0;60.0;20.9;0.6000000000000001;0.2915833333333333;1.0;44.0;110.0;60.0;0.209;(1, 2, 3);{1: 1.0};{3: 1.0};{1: {44.0: 1.0}};17
168;168;72.0;DE2;AT321;(1, 2, 3);55.0;41.0;55.0;23.6;0.5;0.336;1.0;72.0;41.0;55.0;0.23600000000000002;(1, 2, 3);{1: 1.0};{3: 1.0};{1: {72.0: 1.0}};18
248;248;56.0;DE2;AT333;(1, 2, 3, 4);55.0;110.0;60.0;20.9;1.0000000000000002;0.2915833333333333;1.0;56.0;110.0;60.0;0.209;(1, 2, 3, 4);{1: 1.0};{4: 1.0};{1: {56.0: 1.0}};19
