,start_timestep,route,fleet_size,charge_cap,batt_cap,d_spec,SOC_init,fleet_id
0,0,"(1, 2, 3)",65.0,110.0,88.16,0.23,0.9,0
1,1,"(1, 2, 3)",49.0,103.0,108.0,0.23,0.9,1
2,2,"(1, 2, 3)",42.0,110.0,88.16,0.23,0.9,2
3,3,"(1, 2, 3)",40.0,110.0,88.16,0.23,0.9,3
4,4,"(1, 2, 3)",26.0,110.0,88.16,0.23,0.9,4
5,5,"(1, 2, 3)",26.0,108.0,103.095,0.23,0.9,5
6,6,"(1, 2, 3)",24.0,110.0,88.16,0.23,0.9,6
7,7,"(1, 2, 3)",7.0,110.0,88.16,0.23,0.9,7
8,8,"(1, 2, 3)",12.0,108.0,103.095,0.23,0.9,8
9,9,"(1, 2, 3)",8.0,110.0,88.16,0.23,0.9,9
10,10,"(1, 2, 3)",7.0,108.0,103.095,0.23,0.9,10
11,11,"(1, 2, 3)",8.0,110.0,129.92,0.23,1.0,11
