highway,name,osm_id,geometry,asfinag_position,dist_along_highway
A1,Pressbaum,380506,POINT (603216.7180223612 478807.8220643456),23,13826.282935755324
A1,Knoten Steinhäusl,1502867151,POINT (596375.8914090398 475986.0870359807),32,21666.844762060686
A1,Altlengbach,382133,POINT (591871.571774744 475943.8962403241),35,26343.147773282733
A1,Böheimkirchen,59639528,POINT (580308.8355391672 479060.9911261777),48,39137.84577056506
A1,Knoten St. Pölten,519158,POINT (573770.0141312976 478531.6424710155),55,45780.919378366634
A1,St. Pölten Süd,25684987,POINT (569694.2754971802 477805.4644705962),59,50027.41181363544
A1,Loosdorf,383456,POINT (554641.6270450689 478577.488814362),74,65691.33320665808
A1,Melk,703017,POINT (550004.5295722975 481594.8186940323),80,71573.24227852955
A1,Pöchlarn,383566,POINT (541061.0902440371 479369.7812955833),90,81334.26851375346
A1,Ybbs / Wieselburg,291945470,POINT (532706.552927446 474912.8079408202),100,91385.77864782354
A1,Amstetten Ost,291940904,POINT (525553.0501218948 471395.2431414856),108,99466.54814266622
A1,Amstetten-West,383718,POINT (512244.3674011439 472004.2261364451),123,113497.12494252947
A1,Oed,292365713,POINT (504045.756867644 469517.8421075581),131,122545.28223615499
A1,Haag,383835,POINT (494405.4614204021 470886.0638476412),142,133013.0548996999
A1,St. Valentin,383909,POINT (488872.594203751 477573.6783048315),151,142028.90574781114
A1,Enns-Ost,52949869,POINT (484820.1826694734 478767.2548028047),155,146381.92609144276
A1,Enns-West / Steyr,877509691,POINT (482168.0276851217 479291.6117004501),158,149091.9640725776
A1,Asten - St. Florian,296160167,POINT (480128.9266859153 480291.3686167077),160,151366.80215758915
A1,Knoten Linz,26191073,POINT (472357.4204481504 481098.0114300055),169,160104.62247685672
A1,Ansfelden,181291399,POINT (470963.0382216926 480074.1039587541),171,161834.6393842756
A1,Traun,253621636,POINT (468350.6443648791 478290.5825361285),174,164997.96108563602
A1,Knoten Haid,384032,POINT (467272.7328892701 477514.5209065365),175,166327.10248427163
A1,Allhaming,12715647,POINT (461656.5242504584 473624.6584148018),183,173507.81716163477
A1,Sattledt,206879307,POINT (453586.2819327257 464294.0272465393),195,185907.12842549948
A1,Knoten Voralpenkreuz,296181149,POINT (453389.2563742946 464037.6268951158),196,186230.48748939563
A1,Eberstalzell,12716066,POINT (449294.1219465092 460554.7158188003),201,191752.2180126539
A1,Vorchdorf,29201348,POINT (444204.6295484802 456977.4700062785),207,198034.91892836746
A1,Laakirchen Ost,195772985,POINT (438129.5663577043 456297.3774195265),213,204271.96019452153
A1,Laakirchen West,49488163,POINT (435250.9028668014 455838.0542470412),216,207194.5151878342
A1,Regau,2835806,POINT (429999.040984516 450963.6419231822),224,214650.95921623413
A1,Schörfling,2835770,POINT (421197.4373337767 450219.0851064578),233,224073.42509496261
A1,Seewalchen,296222627,POINT (420169.908326612 450429.7452626296),234,225131.4494800255
A1,St. Georgen,13822518,POINT (413414.0053762841 448060.0729739253),242,233546.27146602294
A1,Oberwang,2835694,POINT (408143.5152886165 438991.9194654019),254,246146.91557348275
A1,Mondsee,2835648,POINT (400324.5158667951 440307.1299393405),264,255956.56285972608
A1,Thalgau,1695275072,POINT (391938.1181039527 439330.0024703141),274,265436.8398777576
A1,Wallersee,14874920,POINT (384944.2467574583 439694.0405754949),281,272707.9181305059
A1,Salzburg Nord,309963943,POINT (380319.3265099509 436915.4131459917),288,278783.91037904104
A1,Messezentrum,95066830,POINT (377318.6206332056 436552.553645464),291,281856.4155256876
A1,Salzburg Mitte,221455732,POINT (376399.0361017482 436243.5951310176),292,282826.5365462673
A1,Salzburg Kleßheim,62880356,POINT (375432.6759561756 435527.1755392408),293,284075.6926459352
A1,Salzburg Flughafen,98140605,POINT (374110.668392953 433217.4443967124),296,286740.0621266933
A1,Salzburg West,2835518,POINT (373721.4891074652 432190.0336738731),297,287847.62816545466
A1,Salzburg-West,244413141,POINT (373687.7222463942 431904.8180948209),297,288134.838015058
A1,Knoten Salzburg,18710214,POINT (373610.4048587104 431256.4270397872),298,288787.8296679162
A1,Auhof,1639954,POINT (614554.7330838083 482284.9046785849),9,293307.73396342027
A1,St. Christophen,383311,POINT (586572.8177445095 478033.2609607389),41,324963.22317202616
A1,Asten - St. Florian,158690591,POINT (479455.507818394 480627.3820713529),161,444448.4696639383
A1,Sattledt;Knoten Voralpenkreuz,12716029,POINT (452122.3176817552 462210.4771745953),195,480762.35988255515
A1,Bergheim Ost,95053319,POINT (379444.1347576187 436873.1200451456),288,572009.8730500723
A1,Bergheim West,929584819,POINT (377540.7930268911 436612.8370888602),290,573944.4302525417
A1,Messe,95068618,POINT (376683.873929663 436312.9591625715),291,574852.2389279318
A1,Siezenheim,112354763,POINT (374401.8476057008 433742.0452791386),295,578444.9691761209
A10,Salzburg-Süd,244414742,POINT (378623.8010331442 426922.4477070299),8,5276.724656362202
A10,Puch/Urstein,294218194,POINT (381334.0469026248 425783.720896207),11,8216.807011543106
A10,Hallein,17278378,POINT (383297.1803383207 421222.2423760692),16,13408.780556507656
A10,Kuchl,17279961,POINT (385274.5668873401 416179.1634525474),22,18993.43929664184
