start_timestep;route;fleet_size;charge_cap;batt_cap;d_spec;SOC_init;incoming;arriving;depart_time;len;fleet_id
4.0;(27, 26, 29, 30, 52, 51);3.0;110.0;60.0;0.209;0.8999999999999999;{27: 3.0};{51: 3.0};{27: {4.0: 1.0, 20.0: 2.0}};6;0
8.0;(63, 69, 70, 72, 76);149.0;41.0;55.0;0.236;1.0;{63: 149.0};{76: 149.0};{63: {8.0: 1.0, 32.0: 148.0}};5;1
8.0;(8, 9, 19, 12);2.0;41.0;55.0;0.236;0.8000000000000003;{8: 2.0};{12: 2.0};{8: {8.0: 1.0, 16.0: 1.0}};4;2
8.0;(63, 69, 58, 57, 55);3.0;41.0;55.0;0.236;0.8999999999999999;{63: 3.0};{55: 3.0};{63: {8.0: 2.0, 16.0: 1.0}};5;3
8.0;(9, 21, 25, 26);4.0;41.0;55.0;0.236;0.7999999999999999;{9: 4.0};{26: 4.0};{9: {8.0: 2.0, 16.0: 2.0}};4;4
8.0;(76, 72, 70, 58);18.0;41.0;55.0;0.236;0.6;{76: 18.0};{58: 18.0};{76: {8.0: 2.0, 16.0: 16.0}};4;5
8.0;(26, 25, 21, 9);3.0;110.0;60.0;0.209;0.9000000000000001;{26: 3.0};{9: 3.0};{26: {8.0: 1.0, 16.0: 2.0}};4;6
8.0;(26, 25, 20, 12);191.0;41.0;55.0;0.236;0.7999999999999999;{26: 191.0};{12: 191.0};{26: {8.0: 1.0, 36.0: 190.0}};4;7
8.0;(46, 47, 60, 64);2.0;110.0;60.0;0.209;0.7999999999999999;{46: 2.0};{64: 2.0};{46: {8.0: 1.0, 20.0: 1.0}};4;8
8.0;(47, 60, 62, 63, 73, 86);3.0;110.0;60.0;0.209;1.0;{47: 3.0};{86: 3.0};{47: {8.0: 1.0, 20.0: 2.0}};6;9
8.0;(5, 4, 3, 2, 7, 8, 9, 22, 23, 24, 38, 42, 43, 44, 33);14.0;41.0;55.0;0.236;1.0;{5: 14.0};{33: 14.0};{5: {8.0: 1.0, 20.0: 13.0}};15;10
8.0;(58, 69, 63, 62, 64);4.0;41.0;55.0;0.236;1.0;{58: 4.0};{64: 4.0};{58: {8.0: 1.0, 16.0: 3.0}};5;11
12.0;(12, 20, 25, 26);174.0;41.0;55.0;0.236;0.8999999999999999;{12: 174.0};{26: 174.0};{12: {12.0: 1.0, 36.0: 173.0}};4;12
12.0;(26, 25, 21, 22);19.0;110.0;60.0;0.209;0.4;{26: 19.0};{22: 19.0};{26: {12.0: 1.0, 20.0: 18.0}};4;13
12.0;(12, 20, 25, 29);2.0;110.0;60.0;0.209;1.0;{12: 2.0};{29: 2.0};{12: {12.0: 1.0, 32.0: 1.0}};4;14
12.0;(9, 21, 25, 26);101.0;41.0;55.0;0.236;0.6;{9: 101.0};{26: 101.0};{9: {12.0: 1.0, 28.0: 100.0}};4;15
12.0;(64, 62, 63, 69, 58);15.0;110.0;60.0;0.209;1.0;{64: 15.0};{58: 15.0};{64: {12.0: 1.0, 20.0: 14.0}};5;16
12.0;(51, 52, 53, 57);10.0;41.0;55.0;0.236;0.5;{51: 10.0};{57: 10.0};{51: {12.0: 1.0, 32.0: 9.0}};4;17
12.0;(64, 62, 63, 73, 86);13.0;110.0;60.0;0.209;0.8999999999999999;{64: 13.0};{86: 13.0};{64: {12.0: 1.0, 24.0: 12.0}};5;18
12.0;(63, 69, 70, 72, 76);9.0;110.0;60.0;0.209;0.8999999999999999;{63: 9.0};{76: 9.0};{63: {12.0: 1.0, 20.0: 8.0}};5;19
12.0;(33, 44, 43, 42, 38, 24, 23, 22, 9, 8, 7, 2, 3, 4, 5);15.0;41.0;55.0;0.236;0.5;{33: 15.0};{5: 15.0};{33: {12.0: 1.0, 20.0: 14.0}};15;20
12.0;(29, 25, 21, 22);9.0;41.0;55.0;0.236;0.6;{29: 9.0};{22: 9.0};{29: {12.0: 1.0, 20.0: 8.0}};4;21
12.0;(32, 33, 45, 46, 47, 60, 62, 63, 69, 70, 72, 76);2.0;110.0;60.0;0.209;1.0;{32: 2.0};{76: 2.0};{32: {12.0: 1.0, 36.0: 1.0}};12;22
12.0;(76, 72, 70, 58);694.0;41.0;55.0;0.236;0.7;{76: 694.0};{58: 694.0};{76: {12.0: 3.0, 40.0: 691.0}};4;23
12.0;(58, 70, 72, 76);59.0;41.0;55.0;0.236;0.7;{58: 59.0};{76: 59.0};{58: {12.0: 2.0, 20.0: 57.0}};4;24
12.0;(8, 9, 19, 12);104.0;110.0;60.0;0.209;0.8000000000000003;{8: 104.0};{12: 104.0};{8: {12.0: 2.0, 48.0: 102.0}};4;25
12.0;(26, 25, 21, 9);113.0;41.0;55.0;0.236;0.8999999999999999;{26: 113.0};{9: 113.0};{26: {12.0: 1.0, 28.0: 112.0}};4;26
16.0;(43, 42, 38, 24, 23, 22, 21, 25, 29);2.0;110.0;60.0;0.209;0.7;{43: 2.0};{29: 2.0};{43: {16.0: 1.0, 24.0: 1.0}};9;27
16.0;(58, 70, 72, 76);696.0;41.0;55.0;0.236;0.8999999999999999;{58: 696.0};{76: 696.0};{58: {16.0: 13.0, 36.0: 683.0}};4;28
16.0;(30, 53, 57, 58, 70, 72, 76);10.0;41.0;55.0;0.236;1.0;{30: 10.0};{76: 10.0};{30: {16.0: 1.0, 36.0: 9.0}};7;29
16.0;(51, 52, 53, 55);69.0;41.0;55.0;0.236;1.0000000000000002;{51: 69.0};{55: 69.0};{51: {16.0: 2.0, 44.0: 67.0}};4;30
16.0;(76, 77, 67, 61, 54, 51);36.0;41.0;55.0;0.236;1.0;{76: 36.0};{51: 36.0};{76: {16.0: 1.0, 32.0: 35.0}};6;31
