;Unnamed: 0;tau;origin;destination;cell_route;min_driving_range;charging_capacity;battery_capacity;energy_cons;energy_cons_summer;SOC_init;SOC_min;fleet_size;start_timestep;charge_cap;batt_cap;d_spec;route;incoming;arriving;depart_time;fleet_id
24;24;24.0;DE2;AT322;(1, 2);41.25;110.0;60.0;20.9;16.0;0.4;0.2436874999999999;2.0;24.0;110.0;60.0;0.16;(1, 2);{1: 2.0};{2: 2.0};{1: {24.0: 2.0}};0
28;28;28.0;DE2;AT322;(1, 2);41.25;110.0;60.0;20.9;16.0;0.8000000000000003;0.2436874999999999;4.0;28.0;110.0;60.0;0.16;(1, 2);{1: 4.0};{2: 4.0};{1: {28.0: 4.0}};1
32;32;32.0;DE2;AT322;(1, 2);41.25;110.0;60.0;20.9;16.0;1.0000000000000002;0.2436874999999999;7.0;32.0;110.0;60.0;0.16;(1, 2);{1: 7.0};{2: 7.0};{1: {32.0: 7.0}};2
36;36;36.0;DE2;AT322;(1, 2);41.25;41.0;55.0;23.6;18.2;1.0000000000000002;0.277;8.0;36.0;41.0;55.0;0.182;(1, 2);{1: 8.0};{2: 8.0};{1: {36.0: 8.0}};3
40;40;40.0;DE2;AT322;(1, 2);41.25;110.0;60.0;20.9;16.0;0.9000000000000001;0.2436874999999999;2.0;40.0;110.0;60.0;0.16;(1, 2);{1: 2.0};{2: 2.0};{1: {40.0: 2.0}};4
44;44;44.0;DE2;AT322;(1, 2);41.25;41.0;55.0;23.6;18.2;0.3;0.277;2.0;44.0;41.0;55.0;0.182;(1, 2);{1: 2.0};{2: 2.0};{1: {44.0: 2.0}};5
48;48;48.0;DE2;AT322;(1, 2);41.25;110.0;60.0;20.9;16.0;0.7000000000000002;0.2436874999999999;2.0;48.0;110.0;60.0;0.16;(1, 2);{1: 2.0};{2: 2.0};{1: {48.0: 2.0}};6
52;52;52.0;DE2;AT322;(1, 2);41.25;41.0;55.0;23.6;18.2;0.5;0.277;3.0;52.0;41.0;55.0;0.182;(1, 2);{1: 3.0};{2: 3.0};{1: {52.0: 3.0}};7
56;56;56.0;DE2;AT322;(1, 2);41.25;41.0;55.0;23.6;18.2;0.4;0.277;4.0;56.0;41.0;55.0;0.182;(1, 2);{1: 4.0};{2: 4.0};{1: {56.0: 4.0}};8
60;60;60.0;DE2;AT322;(1, 2);41.25;110.0;60.0;20.9;16.0;0.3;0.2436874999999999;2.0;60.0;110.0;60.0;0.16;(1, 2);{1: 2.0};{2: 2.0};{1: {60.0: 2.0}};9
