start_timestep;route;fleet_size;charge_cap;batt_cap;d_spec;SOC_init;incoming;arriving;depart_time;len;fleet_id
4.0;(51, 54, 61, 67, 77, 72, 70, 69, 63);7.0;110.0;60.0;0.16;0.7;{51: 7.0};{63: 7.0};{51: {4.0: 1.0, 60.0: 6.0}};9;0
4.0;(46, 47, 60, 64);5.0;110.0;60.0;0.16;0.7999999999999999;{46: 5.0};{64: 5.0};{46: {4.0: 1.0, 32.0: 4.0}};4;1
4.0;(8, 9, 19, 12, 11);2.0;41.0;55.0;0.182;0.8000000000000003;{8: 2.0};{11: 2.0};{8: {4.0: 1.0, 20.0: 1.0}};5;2
8.0;(76, 72, 70, 58, 57, 55);77.0;110.0;60.0;0.16;0.8999999999999999;{76: 77.0};{55: 77.0};{76: {8.0: 1.0, 20.0: 76.0}};6;3
8.0;(76, 72, 70, 69, 73, 86);4.0;110.0;60.0;0.16;0.7;{76: 4.0};{86: 4.0};{76: {8.0: 1.0, 20.0: 3.0}};6;4
8.0;(76, 72, 70, 69, 63, 62, 60, 47, 46);4.0;110.0;60.0;0.16;1.0;{76: 4.0};{46: 4.0};{76: {8.0: 1.0, 20.0: 3.0}};9;5
8.0;(76, 72, 70, 58);1.0;41.0;55.0;0.182;0.5;{76: 1.0};{58: 1.0};{76: {8.0: 1.0}};4;6
8.0;(58, 70, 72, 76);836.0;41.0;55.0;0.182;1.0;{58: 836.0};{76: 836.0};{58: {8.0: 1.0, 32.0: 835.0}};4;7
8.0;(51, 52, 53, 55);6.0;41.0;55.0;0.182;1.0000000000000002;{51: 6.0};{55: 6.0};{51: {8.0: 2.0, 20.0: 4.0}};4;8
8.0;(76, 72, 70, 69, 63, 62, 60, 41, 40, 38, 36);6.0;41.0;55.0;0.182;0.7999999999999999;{76: 6.0};{36: 6.0};{76: {8.0: 1.0, 60.0: 5.0}};11;9
8.0;(9, 21, 25, 26);3.0;110.0;60.0;0.16;0.4;{9: 3.0};{26: 3.0};{9: {8.0: 1.0, 16.0: 2.0}};4;10
8.0;(63, 69, 58, 57, 55);2.0;110.0;60.0;0.16;1.1;{63: 2.0};{55: 2.0};{63: {8.0: 1.0, 16.0: 1.0}};5;11
8.0;(29, 25, 21, 22);2.0;110.0;60.0;0.16;0.8999999999999999;{29: 2.0};{22: 2.0};{29: {8.0: 1.0, 16.0: 1.0}};4;12
8.0;(8, 9, 19, 12);4.0;110.0;60.0;0.16;0.6000000000000001;{8: 4.0};{12: 4.0};{8: {8.0: 1.0, 16.0: 3.0}};4;13
12.0;(64, 62, 63, 73, 86);11.0;41.0;55.0;0.182;0.7999999999999999;{64: 11.0};{86: 11.0};{64: {12.0: 1.0, 24.0: 10.0}};5;14
12.0;(29, 25, 21, 22);57.0;41.0;55.0;0.182;1.0;{29: 57.0};{22: 57.0};{29: {12.0: 2.0, 48.0: 55.0}};4;15
12.0;(64, 62, 63, 69, 58);62.0;41.0;55.0;0.182;1.1;{64: 62.0};{58: 62.0};{64: {12.0: 1.0, 56.0: 61.0}};5;16
12.0;(26, 25, 21, 9, 8, 7, 1);5.0;110.0;60.0;0.16;1.0000000000000002;{26: 5.0};{1: 5.0};{26: {12.0: 1.0, 28.0: 4.0}};7;17
12.0;(64, 62, 63, 69, 70, 72, 76);39.0;110.0;60.0;0.16;1.0;{64: 39.0};{76: 39.0};{64: {12.0: 1.0, 24.0: 38.0}};7;18
12.0;(76, 72, 70, 69, 63);92.0;110.0;60.0;0.16;0.7;{76: 92.0};{63: 92.0};{76: {12.0: 2.0, 48.0: 90.0}};5;19
12.0;(26, 25, 20, 12);20.0;110.0;60.0;0.16;0.7999999999999999;{26: 20.0};{12: 20.0};{26: {12.0: 1.0, 20.0: 19.0}};4;20
