start_timestep;route;fleet_size;charge_cap;batt_cap;d_spec;SOC_init;incoming;arriving;depart_time;len;fleet_id
0.0;(12, 19, 24, 25);32.0;250.0;100.0;0.15;0.6000000000000001;{12: 32.0};{25: 32.0};{12: {0.0: 1.0, 12.0: 3.0, 16.0: 4.0, 84.0: 23.0, 92.0: 1.0}};4;0
4.0;(88, 84, 71, 58, 53, 28, 24, 20, 9, 8, 7, 2);23.0;250.0;100.0;0.15;1.0;{88: 23.0};{2: 23.0};{88: {4.0: 1.0, 32.0: 1.0, 36.0: 6.0, 44.0: 4.0, 52.0: 1.0, 56.0: 4.0, 68.0: 6.0}};12;1
4.0;(8, 9, 18, 12, 11);1311.0;250.0;100.0;0.15;1.0;{8: 1311.0};{11: 1311.0};{8: {4.0: 1.0, 20.0: 20.0, 24.0: 60.0, 28.0: 124.0, 32.0: 104.0, 36.0: 116.0, 40.0: 97.0, 44.0: 84.0, 48.0: 64.0, 52.0: 76.0, 56.0: 71.0, 60.0: 75.0, 64.0: 95.0, 68.0: 95.0, 72.0: 77.0, 76.0: 65.0, 80.0: 41.0, 84.0: 25.0, 88.0: 15.0, 92.0: 6.0}};5;2
4.0;(75, 76, 72, 70, 58, 53, 28, 25);20.0;250.0;100.0;0.15;1.0;{75: 20.0};{25: 20.0};{75: {4.0: 1.0, 52.0: 2.0, 56.0: 4.0, 76.0: 3.0, 84.0: 1.0, 92.0: 9.0}};8;3
8.0;(10, 11, 12, 18, 9);1.0;250.0;100.0;0.15;0.8000000000000003;{10: 1.0};{9: 1.0};{10: {8.0: 1.0}};5;4
12.0;(21, 20, 24, 25);91.0;250.0;100.0;0.15;0.9000000000000001;{21: 91.0};{25: 91.0};{21: {12.0: 2.0, 80.0: 57.0, 84.0: 23.0, 88.0: 7.0, 92.0: 2.0}};4;5
12.0;(28, 24, 20, 21, 22);39.0;250.0;100.0;0.15;1.0;{28: 39.0};{22: 39.0};{28: {12.0: 1.0, 24.0: 19.0, 68.0: 1.0, 80.0: 18.0}};5;6
12.0;(65, 80, 69, 58);432.0;250.0;100.0;0.15;1.0;{65: 432.0};{58: 432.0};{65: {12.0: 1.0, 16.0: 2.0, 24.0: 55.0, 36.0: 79.0, 44.0: 66.0, 48.0: 57.0, 52.0: 43.0, 56.0: 46.0, 68.0: 54.0, 84.0: 18.0, 88.0: 8.0, 92.0: 3.0}};4;7
12.0;(25, 24, 20, 9, 8);36.0;250.0;100.0;0.15;0.3;{25: 36.0};{8: 36.0};{25: {12.0: 1.0, 80.0: 35.0}};5;8
12.0;(32, 31, 17, 6);26.0;250.0;100.0;0.15;0.8000000000000003;{32: 26.0};{6: 26.0};{32: {12.0: 2.0, 16.0: 1.0, 20.0: 13.0, 88.0: 7.0, 92.0: 3.0}};4;9
12.0;(54, 61, 67, 77, 76);249.0;250.0;100.0;0.15;1.0;{54: 249.0};{76: 249.0};{54: {12.0: 1.0, 20.0: 3.0, 24.0: 21.0, 28.0: 27.0, 32.0: 21.0, 36.0: 19.0, 40.0: 20.0, 44.0: 13.0, 48.0: 13.0, 52.0: 9.0, 56.0: 14.0, 60.0: 12.0, 64.0: 16.0, 68.0: 18.0, 72.0: 18.0, 76.0: 6.0, 80.0: 9.0, 84.0: 7.0, 88.0: 2.0}};5;10
12.0;(13, 14, 17, 31, 32, 33, 45, 46, 47, 62, 71, 84, 88);505.0;250.0;100.0;0.15;1.0;{13: 505.0};{88: 505.0};{13: {12.0: 1.0, 16.0: 2.0, 20.0: 6.0, 24.0: 24.0, 28.0: 43.0, 32.0: 43.0, 36.0: 30.0, 40.0: 38.0, 44.0: 42.0, 48.0: 30.0, 52.0: 29.0, 56.0: 29.0, 60.0: 37.0, 64.0: 35.0, 68.0: 42.0, 72.0: 29.0, 76.0: 16.0, 80.0: 17.0, 84.0: 5.0, 88.0: 6.0, 92.0: 1.0}};13;11
12.0;(9, 20, 24, 25);407.0;250.0;100.0;0.15;1.0;{9: 407.0};{25: 407.0};{9: {12.0: 1.0, 16.0: 1.0, 24.0: 50.0, 28.0: 82.0, 48.0: 57.0, 52.0: 42.0, 56.0: 56.0, 64.0: 37.0, 76.0: 37.0, 80.0: 23.0, 84.0: 17.0, 88.0: 4.0}};4;12
12.0;(88, 84, 71, 69, 62, 47, 46, 45, 33, 32, 31, 17, 14);636.0;250.0;100.0;0.15;1.0;{88: 636.0};{14: 636.0};{88: {12.0: 1.0, 16.0: 3.0, 20.0: 13.0, 24.0: 24.0, 28.0: 52.0, 32.0: 39.0, 36.0: 83.0, 40.0: 35.0, 44.0: 37.0, 48.0: 34.0, 52.0: 27.0, 56.0: 31.0, 60.0: 58.0, 64.0: 38.0, 68.0: 57.0, 72.0: 33.0, 76.0: 20.0, 80.0: 16.0, 84.0: 24.0, 88.0: 11.0}};13;13
12.0;(56, 57, 58, 70, 72, 76);409.0;250.0;100.0;0.15;1.0;{56: 409.0};{76: 409.0};{56: {12.0: 1.0, 16.0: 3.0, 20.0: 4.0, 24.0: 26.0, 28.0: 21.0, 32.0: 52.0, 36.0: 33.0, 40.0: 32.0, 44.0: 33.0, 48.0: 19.0, 52.0: 24.0, 56.0: 28.0, 60.0: 26.0, 64.0: 16.0, 68.0: 17.0, 72.0: 26.0, 76.0: 25.0, 80.0: 13.0, 84.0: 8.0, 88.0: 2.0}};6;14
12.0;(88, 84, 71, 69, 62, 41, 40, 42, 43);351.0;250.0;100.0;0.15;1.0;{88: 351.0};{43: 351.0};{88: {12.0: 1.0, 16.0: 2.0, 20.0: 6.0, 24.0: 25.0, 28.0: 33.0, 32.0: 33.0, 36.0: 30.0, 40.0: 22.0, 44.0: 18.0, 48.0: 20.0, 52.0: 15.0, 56.0: 22.0, 60.0: 15.0, 64.0: 17.0, 68.0: 23.0, 72.0: 24.0, 76.0: 21.0, 80.0: 19.0, 84.0: 4.0, 88.0: 1.0}};9;15
12.0;(25, 24, 20, 21);50.0;250.0;100.0;0.15;0.9000000000000001;{25: 50.0};{21: 50.0};{25: {12.0: 2.0, 20.0: 16.0, 84.0: 19.0, 88.0: 9.0, 92.0: 4.0}};4;16
12.0;(62, 70, 72, 76);870.0;250.0;100.0;0.15;1.0;{62: 870.0};{76: 870.0};{62: {12.0: 2.0, 16.0: 2.0, 20.0: 3.0, 24.0: 41.0, 28.0: 79.0, 32.0: 75.0, 36.0: 67.0, 40.0: 70.0, 44.0: 64.0, 48.0: 49.0, 52.0: 44.0, 56.0: 57.0, 60.0: 51.0, 64.0: 57.0, 68.0: 49.0, 72.0: 54.0, 76.0: 41.0, 80.0: 35.0, 84.0: 19.0, 88.0: 8.0, 92.0: 3.0}};4;17
12.0;(75, 76, 72, 70, 69, 73, 86);242.0;250.0;100.0;0.15;1.0;{75: 242.0};{86: 242.0};{75: {12.0: 2.0, 16.0: 1.0, 20.0: 7.0, 24.0: 11.0, 28.0: 20.0, 32.0: 21.0, 36.0: 23.0, 40.0: 19.0, 44.0: 16.0, 48.0: 13.0, 52.0: 14.0, 56.0: 6.0, 60.0: 13.0, 64.0: 17.0, 68.0: 16.0, 72.0: 20.0, 76.0: 8.0, 80.0: 5.0, 84.0: 8.0, 92.0: 2.0}};7;18
12.0;(22, 23, 37, 43, 44, 33, 32, 31, 17, 14);2.0;250.0;100.0;0.15;0.7;{22: 2.0};{14: 2.0};{22: {12.0: 1.0, 24.0: 1.0}};10;19
12.0;(12, 18, 21, 22, 23, 37, 43, 44, 33);11.0;250.0;100.0;0.15;1.0;{12: 11.0};{33: 11.0};{12: {12.0: 1.0, 24.0: 1.0, 44.0: 2.0, 52.0: 1.0, 60.0: 1.0, 64.0: 4.0, 72.0: 1.0}};9;20
12.0;(8, 9, 20, 24, 25);58.0;250.0;100.0;0.15;1.0;{8: 58.0};{25: 58.0};{8: {12.0: 1.0, 32.0: 4.0, 36.0: 5.0, 40.0: 5.0, 44.0: 5.0, 48.0: 6.0, 52.0: 5.0, 56.0: 7.0, 60.0: 3.0, 72.0: 4.0, 76.0: 5.0, 80.0: 4.0, 84.0: 2.0, 88.0: 1.0, 92.0: 1.0}};5;21
12.0;(75, 76, 72, 70, 58);5.0;250.0;100.0;0.15;0.9000000000000001;{75: 5.0};{58: 5.0};{75: {12.0: 5.0}};5;22
12.0;(58, 70, 72, 76);5176.0;250.0;100.0;0.15;1.0;{58: 5176.0};{76: 5176.0};{58: {12.0: 1.0, 16.0: 14.0, 20.0: 75.0, 24.0: 276.0, 28.0: 464.0, 32.0: 514.0, 36.0: 414.0, 40.0: 413.0, 44.0: 382.0, 48.0: 300.0, 52.0: 242.0, 56.0: 254.0, 60.0: 283.0, 64.0: 318.0, 68.0: 332.0, 72.0: 339.0, 76.0: 260.0, 80.0: 163.0, 84.0: 78.0, 88.0: 46.0, 92.0: 8.0}};4;23
16.0;(28, 25, 26);117.0;250.0;100.0;0.15;1.0;{28: 117.0};{26: 117.0};{28: {16.0: 2.0, 20.0: 3.0, 24.0: 3.0, 28.0: 12.0, 32.0: 9.0, 36.0: 8.0, 40.0: 5.0, 44.0: 9.0, 48.0: 8.0, 52.0: 7.0, 56.0: 8.0, 60.0: 7.0, 64.0: 9.0, 68.0: 8.0, 72.0: 6.0, 76.0: 9.0, 84.0: 2.0, 88.0: 1.0, 92.0: 1.0}};3;24
16.0;(36, 37, 43, 44, 33);2.0;250.0;100.0;0.15;0.8000000000000003;{36: 2.0};{33: 2.0};{36: {16.0: 1.0, 84.0: 1.0}};5;25
