start_timestep;route;fleet_size;charge_cap;batt_cap;d_spec;SOC_init;incoming;arriving;depart_time;len;fleet_id
0.0;(13, 19, 10, 9, 8, 1);1704.0;250.0;100.0;0.15;1.0;{13: 1704.0};{1: 1704.0};{13: {0.0: 1.0, 8.0: 4.0, 12.0: 3.0, 16.0: 17.0, 20.0: 19.0, 24.0: 64.0, 28.0: 161.0, 32.0: 162.0, 36.0: 116.0, 40.0: 109.0, 44.0: 119.0, 48.0: 88.0, 52.0: 85.0, 56.0: 89.0, 60.0: 103.0, 64.0: 106.0, 68.0: 102.0, 72.0: 100.0, 76.0: 85.0, 80.0: 64.0, 84.0: 27.0, 88.0: 61.0, 92.0: 19.0}};6;0
0.0;(76, 77, 73, 71, 59);11.0;250.0;100.0;0.15;0.4;{76: 11.0};{59: 11.0};{76: {0.0: 1.0, 4.0: 3.0, 8.0: 7.0}};5;1
0.0;(16, 18, 32, 33, 34, 45);44.0;250.0;100.0;0.15;0.7000000000000002;{16: 44.0};{45: 44.0};{16: {0.0: 1.0, 80.0: 40.0, 92.0: 3.0}};6;2
0.0;(89, 85, 72, 70, 74, 81, 66);871.0;250.0;100.0;0.15;1.0;{89: 871.0};{66: 871.0};{89: {0.0: 1.0, 16.0: 8.0, 20.0: 11.0, 24.0: 41.0, 28.0: 77.0, 32.0: 89.0, 36.0: 61.0, 40.0: 78.0, 44.0: 62.0, 48.0: 48.0, 52.0: 36.0, 56.0: 42.0, 60.0: 41.0, 64.0: 60.0, 68.0: 60.0, 72.0: 60.0, 76.0: 50.0, 80.0: 22.0, 84.0: 19.0, 88.0: 5.0}};7;3
0.0;(76, 77, 73, 71, 70, 64, 63, 61, 42);1.0;250.0;100.0;0.15;0.6;{76: 1.0};{42: 1.0};{76: {0.0: 1.0}};9;4
0.0;(66, 81, 74, 70, 59);29.0;250.0;100.0;0.15;0.7000000000000002;{66: 29.0};{59: 29.0};{66: {0.0: 1.0, 4.0: 1.0, 8.0: 1.0, 12.0: 4.0, 16.0: 22.0}};5;5
4.0;(13, 20, 25, 26);6.0;250.0;100.0;0.15;0.8000000000000003;{13: 6.0};{26: 6.0};{13: {4.0: 1.0, 12.0: 5.0}};4;6
4.0;(51, 52, 55, 62, 68, 78, 77);1663.0;250.0;100.0;0.15;1.0;{51: 1663.0};{77: 1663.0};{51: {4.0: 1.0, 16.0: 6.0, 20.0: 22.0, 24.0: 85.0, 28.0: 141.0, 32.0: 162.0, 36.0: 123.0, 40.0: 126.0, 44.0: 133.0, 48.0: 85.0, 52.0: 82.0, 56.0: 96.0, 60.0: 89.0, 64.0: 106.0, 68.0: 131.0, 72.0: 96.0, 76.0: 92.0, 80.0: 51.0, 84.0: 21.0, 88.0: 11.0, 92.0: 4.0}};7;7
4.0;(29, 25, 21, 22);41.0;250.0;100.0;0.15;1.0;{29: 41.0};{22: 41.0};{29: {4.0: 1.0, 8.0: 1.0, 12.0: 2.0, 88.0: 37.0}};4;8
4.0;(22, 21, 25, 26);39.0;250.0;100.0;0.15;0.8000000000000003;{22: 39.0};{26: 39.0};{22: {4.0: 2.0, 12.0: 6.0, 16.0: 31.0}};4;9
4.0;(59, 71, 73, 77);34539.0;250.0;100.0;0.15;1.0;{59: 34539.0};{77: 34539.0};{59: {4.0: 2.0, 8.0: 5.0, 12.0: 24.0, 16.0: 92.0, 20.0: 479.0, 24.0: 1614.0, 28.0: 3158.0, 32.0: 3106.0, 36.0: 2708.0, 40.0: 2759.0, 44.0: 2427.0, 48.0: 2050.0, 52.0: 1731.0, 56.0: 1784.0, 60.0: 2158.0, 64.0: 2299.0, 68.0: 2390.0, 72.0: 2199.0, 76.0: 1656.0, 80.0: 1043.0, 84.0: 550.0, 88.0: 213.0, 92.0: 92.0}};4;10
4.0;(22, 21, 25, 29);9.0;250.0;100.0;0.15;0.9000000000000001;{22: 9.0};{29: 9.0};{22: {4.0: 1.0, 8.0: 1.0, 92.0: 7.0}};4;11
4.0;(11, 12, 13, 19, 10, 9);21.0;250.0;100.0;0.15;0.7000000000000002;{11: 21.0};{9: 21.0};{11: {4.0: 1.0, 8.0: 3.0, 12.0: 5.0, 92.0: 12.0}};6;12
4.0;(26, 25, 20, 13);59.0;250.0;100.0;0.15;0.5000000000000001;{26: 59.0};{13: 59.0};{26: {4.0: 1.0, 8.0: 1.0, 88.0: 57.0}};4;13
4.0;(33, 32, 18, 7);3.0;250.0;100.0;0.15;0.5;{33: 3.0};{7: 3.0};{33: {4.0: 1.0, 8.0: 2.0}};4;14
4.0;(7, 18, 32, 33);3.0;250.0;100.0;0.15;0.9000000000000001;{7: 3.0};{33: 3.0};{7: {4.0: 1.0, 12.0: 2.0}};4;15
4.0;(1, 8, 9, 10, 19, 13);1677.0;250.0;100.0;0.15;1.0;{1: 1677.0};{13: 1677.0};{1: {4.0: 1.0, 12.0: 1.0, 16.0: 6.0, 20.0: 22.0, 24.0: 80.0, 28.0: 156.0, 32.0: 148.0, 36.0: 130.0, 40.0: 127.0, 44.0: 127.0, 48.0: 93.0, 52.0: 90.0, 56.0: 94.0, 60.0: 97.0, 64.0: 121.0, 68.0: 119.0, 72.0: 108.0, 76.0: 79.0, 80.0: 48.0, 84.0: 23.0, 88.0: 4.0, 92.0: 3.0}};6;16
4.0;(26, 25, 21, 22);26.0;250.0;100.0;0.15;1.0;{26: 26.0};{22: 26.0};{26: {4.0: 2.0, 8.0: 2.0, 12.0: 6.0, 16.0: 16.0}};4;17
8.0;(89, 85, 72, 59);7.0;250.0;100.0;0.15;0.6000000000000001;{89: 7.0};{59: 7.0};{89: {8.0: 1.0, 12.0: 1.0, 16.0: 5.0}};4;18
8.0;(83, 67, 62, 55, 53, 30, 29, 25, 21, 10);1.0;250.0;100.0;0.15;0.3;{83: 1.0};{10: 1.0};{83: {8.0: 1.0}};10;19
8.0;(56, 58, 59, 70, 64, 63, 61, 42);3.0;250.0;100.0;0.15;0.9000000000000001;{56: 3.0};{42: 2.0, 64: 1.0};{56: {8.0: 2.0, 84.0: 1.0}};8;20
8.0;(59, 70, 74, 81, 66);6713.0;250.0;100.0;0.15;1.0;{59: 6713.0};{66: 6713.0};{59: {8.0: 1.0, 12.0: 4.0, 16.0: 23.0, 20.0: 91.0, 24.0: 300.0, 28.0: 590.0, 32.0: 601.0, 36.0: 483.0, 40.0: 542.0, 44.0: 490.0, 48.0: 420.0, 52.0: 359.0, 56.0: 351.0, 60.0: 391.0, 64.0: 455.0, 68.0: 471.0, 72.0: 422.0, 76.0: 336.0, 80.0: 222.0, 84.0: 100.0, 88.0: 45.0, 92.0: 16.0}};5;21
8.0;(3, 4, 5, 6, 7, 18, 32, 33);6.0;250.0;100.0;0.15;1.0;{3: 6.0};{33: 6.0};{3: {8.0: 1.0, 12.0: 1.0, 88.0: 4.0}};8;22
