start_timestep;route;fleet_size;charge_cap;batt_cap;d_spec;SOC_init;incoming;arriving;depart_time;len;fleet_id
0.0;(75, 76, 72, 70, 58);13.0;250.0;100.0;0.15;0.9000000000000001;{75: 13.0};{58: 13.0};{75: {0.0: 1.0, 4.0: 1.0, 8.0: 11.0}};5;0
0.0;(88, 84, 71, 58);1.0;250.0;100.0;0.15;0.4;{88: 1.0};{58: 1.0};{88: {0.0: 1.0}};4;1
0.0;(58, 70, 72, 76);34523.0;250.0;100.0;0.15;1.0;{58: 34523.0};{76: 34523.0};{58: {0.0: 1.0, 4.0: 2.0, 8.0: 2.0, 12.0: 34.0, 16.0: 101.0, 20.0: 494.0, 24.0: 1706.0, 28.0: 3296.0, 32.0: 3259.0, 36.0: 2617.0, 40.0: 2754.0, 44.0: 2392.0, 48.0: 1991.0, 52.0: 1666.0, 56.0: 1825.0, 60.0: 2008.0, 64.0: 2209.0, 68.0: 2350.0, 72.0: 2225.0, 76.0: 1742.0, 80.0: 1043.0, 84.0: 515.0, 88.0: 204.0, 92.0: 87.0}};4;2
0.0;(21, 20, 24, 28);22.0;250.0;100.0;0.15;0.2;{21: 22.0};{28: 22.0};{21: {0.0: 1.0, 16.0: 12.0, 92.0: 9.0}};4;3
4.0;(12, 18, 9, 8);5.0;250.0;100.0;0.15;0.5000000000000001;{12: 5.0};{8: 5.0};{12: {4.0: 1.0, 8.0: 4.0}};4;4
4.0;(41, 62, 58, 56);76.0;250.0;100.0;0.15;1.0;{41: 76.0};{56: 76.0};{41: {4.0: 1.0, 16.0: 2.0, 24.0: 4.0, 28.0: 7.0, 32.0: 10.0, 36.0: 9.0, 40.0: 7.0, 44.0: 1.0, 48.0: 1.0, 52.0: 1.0, 56.0: 3.0, 68.0: 8.0, 72.0: 7.0, 76.0: 9.0, 80.0: 6.0}};4;5
4.0;(88, 84, 71, 69, 62, 47, 46);1.0;250.0;100.0;0.15;1.0;{88: 1.0};{46: 1.0};{88: {4.0: 1.0}};7;6
4.0;(86, 80, 65, 41, 40, 38, 23, 22, 21, 9, 8);36.0;250.0;100.0;0.15;0.8999999999999999;{86: 36.0};{8: 36.0};{86: {4.0: 1.0, 40.0: 13.0, 80.0: 12.0, 84.0: 7.0, 88.0: 3.0}};11;7
4.0;(62, 70, 72, 76);5818.0;250.0;100.0;0.15;1.0;{62: 5818.0};{76: 5818.0};{62: {4.0: 2.0, 12.0: 5.0, 16.0: 16.0, 20.0: 86.0, 24.0: 285.0, 28.0: 537.0, 32.0: 544.0, 36.0: 456.0, 40.0: 467.0, 44.0: 418.0, 48.0: 329.0, 52.0: 270.0, 56.0: 291.0, 60.0: 336.0, 64.0: 401.0, 68.0: 388.0, 72.0: 368.0, 76.0: 278.0, 80.0: 192.0, 84.0: 75.0, 88.0: 53.0, 92.0: 21.0}};4;8
4.0;(58, 73, 80, 65);6714.0;250.0;100.0;0.15;1.0;{58: 6714.0};{65: 6714.0};{58: {4.0: 1.0, 12.0: 2.0, 16.0: 18.0, 20.0: 103.0, 24.0: 300.0, 28.0: 612.0, 32.0: 631.0, 36.0: 562.0, 40.0: 509.0, 44.0: 455.0, 48.0: 374.0, 52.0: 362.0, 56.0: 344.0, 60.0: 423.0, 64.0: 434.0, 68.0: 491.0, 72.0: 430.0, 76.0: 300.0, 80.0: 208.0, 84.0: 95.0, 88.0: 43.0, 92.0: 17.0}};4;9
