start_timestep;route;fleet_size;charge_cap;batt_cap;d_spec;SOC_init;incoming;arriving;depart_time;len;fleet_id
4.0;(33, 32, 18, 7);23.0;250.0;100.0;0.2;0.6000000000000001;{33: 23.0};{7: 23.0};{33: {4.0: 1.0, 12.0: 2.0, 20.0: 14.0, 88.0: 4.0, 92.0: 2.0}};4;0
4.0;(59, 70, 74, 81, 66);1008.0;250.0;100.0;0.2;1.0;{59: 1008.0};{66: 1008.0};{59: {4.0: 1.0, 12.0: 1.0, 16.0: 5.0, 20.0: 13.0, 24.0: 44.0, 28.0: 89.0, 32.0: 100.0, 36.0: 91.0, 40.0: 61.0, 44.0: 68.0, 48.0: 68.0, 52.0: 54.0, 56.0: 50.0, 60.0: 60.0, 64.0: 74.0, 68.0: 71.0, 72.0: 59.0, 76.0: 54.0, 80.0: 26.0, 84.0: 10.0, 88.0: 6.0, 92.0: 3.0}};5;1
4.0;(22, 21, 25, 26);16.0;250.0;100.0;0.2;0.9000000000000001;{22: 16.0};{26: 16.0};{22: {4.0: 1.0, 8.0: 1.0, 16.0: 4.0, 88.0: 8.0, 92.0: 2.0}};4;2
4.0;(10, 21, 25, 26);317.0;250.0;100.0;0.2;0.7000000000000002;{10: 317.0};{26: 317.0};{10: {4.0: 1.0, 16.0: 3.0, 20.0: 17.0, 24.0: 40.0, 44.0: 59.0, 48.0: 48.0, 56.0: 52.0, 64.0: 64.0, 80.0: 25.0, 84.0: 7.0, 92.0: 1.0}};4;3
8.0;(7, 18, 32, 33);67.0;250.0;100.0;0.2;1.0;{7: 67.0};{33: 67.0};{7: {8.0: 1.0, 48.0: 52.0, 84.0: 8.0, 88.0: 4.0, 92.0: 2.0}};4;4
8.0;(44, 43, 41, 42, 61, 65, 66, 81, 87);52.0;250.0;100.0;0.2;1.0;{44: 52.0};{87: 52.0};{44: {8.0: 1.0, 24.0: 4.0, 28.0: 2.0, 32.0: 9.0, 36.0: 6.0, 40.0: 4.0, 44.0: 2.0, 48.0: 2.0, 52.0: 1.0, 56.0: 2.0, 60.0: 6.0, 64.0: 4.0, 68.0: 3.0, 72.0: 1.0, 76.0: 5.0}};9;5
8.0;(22, 21, 25, 29);6.0;250.0;100.0;0.2;1.0;{22: 6.0};{29: 6.0};{22: {8.0: 1.0, 12.0: 1.0, 88.0: 2.0, 92.0: 2.0}};4;6
8.0;(13, 19, 10, 9);14.0;250.0;100.0;0.2;0.9000000000000001;{13: 14.0};{9: 14.0};{13: {8.0: 1.0, 12.0: 2.0, 16.0: 1.0, 88.0: 8.0, 92.0: 2.0}};4;7
8.0;(26, 25, 21, 10);9.0;250.0;100.0;0.2;0.7000000000000002;{26: 9.0};{10: 9.0};{26: {8.0: 1.0, 16.0: 3.0, 88.0: 5.0}};4;8
8.0;(76, 77, 78, 68, 62, 55, 52);233.0;250.0;100.0;0.2;1.0;{76: 233.0};{52: 233.0};{76: {8.0: 1.0, 16.0: 1.0, 20.0: 3.0, 24.0: 8.0, 28.0: 24.0, 32.0: 26.0, 36.0: 20.0, 40.0: 18.0, 44.0: 11.0, 48.0: 13.0, 52.0: 14.0, 56.0: 13.0, 60.0: 13.0, 64.0: 17.0, 68.0: 12.0, 72.0: 12.0, 76.0: 15.0, 80.0: 11.0, 84.0: 1.0}};7;9
