start_timestep;route;fleet_size;charge_cap;batt_cap;d_spec;SOC_init;incoming;arriving;depart_time;route_dist;dist_km;len;fleet_id
0.0;(76, 77, 73, 71, 70, 74, 81, 66);2906.0;250.0;100.0;0.2;1.0;{76: 2906.0};{66: 2906.0};{76: {0.0: 1.0, 4.0: 2.0, 12.0: 5.0, 16.0: 12.0, 20.0: 49.0, 24.0: 134.0, 28.0: 274.0, 32.0: 264.0, 36.0: 241.0, 40.0: 226.0, 44.0: 190.0, 48.0: 163.0, 52.0: 142.0, 56.0: 141.0, 60.0: 152.0, 64.0: 197.0, 68.0: 213.0, 72.0: 199.0, 76.0: 147.0, 80.0: 94.0, 84.0: 34.0, 88.0: 20.0, 92.0: 6.0}};639320.0;639320.0;8;0
0.0;(76, 77, 73, 71, 59, 58, 56);1815.0;250.0;100.0;0.2;1.0;{76: 1815.0};{56: 1788.0, 59: 27.0};{76: {0.0: 1.0, 8.0: 4.0, 12.0: 25.0, 16.0: 4.0, 20.0: 32.0, 24.0: 86.0, 28.0: 173.0, 32.0: 151.0, 36.0: 135.0, 40.0: 137.0, 44.0: 129.0, 48.0: 93.0, 52.0: 79.0, 56.0: 92.0, 60.0: 112.0, 64.0: 118.0, 68.0: 139.0, 72.0: 99.0, 76.0: 95.0, 80.0: 60.0, 84.0: 32.0, 88.0: 12.0, 92.0: 7.0}};347902.5;347902.5;7;1
0.0;(76, 77, 73, 71, 70, 64);3.0;250.0;100.0;0.2;1.0;{76: 3.0};{64: 3.0};{76: {0.0: 2.0, 12.0: 1.0}};495.0;495.0;6;2
4.0;(7, 18, 32, 33);52.0;250.0;100.0;0.2;1.0;{7: 52.0};{33: 52.0};{7: {4.0: 1.0, 12.0: 3.0, 16.0: 9.0, 88.0: 29.0, 92.0: 10.0}};5720.0;5720.0;4;3
4.0;(22, 21, 25, 26);23.0;250.0;100.0;0.2;1.0;{22: 23.0};{26: 23.0};{22: {4.0: 1.0, 8.0: 1.0, 12.0: 4.0, 16.0: 17.0}};2530.0;2530.0;4;4
4.0;(26, 25, 21, 22);19.0;250.0;100.0;0.2;0.8000000000000003;{26: 19.0};{22: 19.0};{26: {4.0: 1.0, 8.0: 4.0, 12.0: 1.0, 16.0: 13.0}};2090.0;2090.0;4;5
4.0;(13, 19, 10, 9);1.0;250.0;100.0;0.2;0.6000000000000001;{13: 1.0};{9: 1.0};{13: {4.0: 1.0}};110.0;110.0;4;6
4.0;(10, 21, 25, 26);122.0;250.0;100.0;0.2;0.8000000000000003;{10: 122.0};{26: 122.0};{10: {4.0: 1.0, 12.0: 2.0, 16.0: 9.0, 84.0: 78.0, 88.0: 24.0, 92.0: 8.0}};13420.0;13420.0;4;7
4.0;(76, 77, 73, 71, 59, 58, 54, 30, 29, 26, 27);491.0;250.0;100.0;0.2;1.0;{76: 491.0};{27: 111.0, 30: 3.0, 59: 122.0, 26: 255.0};{76: {4.0: 1.0, 16.0: 70.0, 20.0: 5.0, 24.0: 17.0, 28.0: 33.0, 32.0: 34.0, 36.0: 35.0, 40.0: 33.0, 44.0: 23.0, 48.0: 20.0, 52.0: 18.0, 56.0: 22.0, 60.0: 33.0, 64.0: 25.0, 68.0: 19.0, 72.0: 26.0, 80.0: 10.0, 84.0: 7.0, 88.0: 3.0, 92.0: 57.0}};121137.5;121137.5;11;8
4.0;(76, 77, 79, 85, 89);870.0;250.0;100.0;0.2;1.0;{76: 870.0};{89: 870.0};{76: {4.0: 1.0, 16.0: 2.0, 20.0: 14.0, 24.0: 36.0, 28.0: 77.0, 32.0: 82.0, 36.0: 57.0, 40.0: 73.0, 44.0: 71.0, 48.0: 45.0, 52.0: 49.0, 56.0: 50.0, 60.0: 53.0, 64.0: 63.0, 68.0: 55.0, 72.0: 59.0, 76.0: 38.0, 80.0: 22.0, 84.0: 13.0, 88.0: 7.0, 92.0: 3.0}};119625.0;119625.0;5;9
