start_timestep;route;fleet_size;charge_cap;batt_cap;d_spec;SOC_init;incoming;arriving;depart_time;len;fleet_id
0.0;(62, 70, 72, 76);871.0;250.0;100.0;0.2;1.0;{62: 871.0};{76: 871.0};{62: {0.0: 1.0, 16.0: 2.0, 20.0: 6.0, 24.0: 45.0, 28.0: 86.0, 32.0: 85.0, 36.0: 65.0, 40.0: 64.0, 44.0: 64.0, 48.0: 67.0, 52.0: 45.0, 56.0: 45.0, 60.0: 51.0, 64.0: 50.0, 68.0: 67.0, 72.0: 48.0, 76.0: 36.0, 80.0: 25.0, 84.0: 10.0, 88.0: 8.0, 92.0: 1.0}};4;0
4.0;(9, 20, 24, 25);302.0;250.0;100.0;0.2;1.0;{9: 302.0};{25: 302.0};{9: {4.0: 1.0, 12.0: 1.0, 16.0: 2.0, 20.0: 9.0, 24.0: 60.0, 44.0: 67.0, 64.0: 58.0, 72.0: 56.0, 80.0: 31.0, 84.0: 14.0, 92.0: 3.0}};4;1
4.0;(75, 76, 72, 70, 69, 62);9.0;250.0;100.0;0.2;0.6000000000000001;{75: 9.0};{62: 9.0};{75: {4.0: 1.0, 12.0: 3.0, 16.0: 5.0}};6;2
4.0;(2, 7);2.0;250.0;100.0;0.2;0.7000000000000002;{2: 2.0};{7: 2.0};{2: {4.0: 1.0, 16.0: 1.0}};2;3
4.0;(25, 24, 19, 12);540.0;250.0;100.0;0.2;1.0;{25: 540.0};{12: 540.0};{25: {4.0: 1.0, 12.0: 2.0, 16.0: 3.0, 24.0: 68.0, 48.0: 69.0, 60.0: 77.0, 64.0: 97.0, 68.0: 98.0, 76.0: 65.0, 80.0: 35.0, 84.0: 15.0, 88.0: 8.0, 92.0: 2.0}};4;4
4.0;(58, 73, 80, 65);1007.0;250.0;100.0;0.2;1.0;{58: 1007.0};{65: 1007.0};{58: {4.0: 1.0, 8.0: 1.0, 16.0: 3.0, 20.0: 15.0, 24.0: 48.0, 28.0: 105.0, 32.0: 88.0, 36.0: 71.0, 40.0: 69.0, 44.0: 71.0, 48.0: 55.0, 52.0: 49.0, 56.0: 46.0, 60.0: 73.0, 64.0: 75.0, 68.0: 72.0, 72.0: 62.0, 76.0: 51.0, 80.0: 27.0, 84.0: 15.0, 88.0: 6.0, 92.0: 4.0}};4;5
8.0;(12, 18, 9, 8);38.0;250.0;100.0;0.2;1.0;{12: 38.0};{8: 38.0};{12: {8.0: 1.0, 16.0: 6.0, 20.0: 23.0, 88.0: 5.0, 92.0: 3.0}};4;6
8.0;(75, 76, 72, 70, 69, 62, 47, 46);55.0;250.0;100.0;0.2;1.0;{75: 55.0};{46: 55.0};{75: {8.0: 1.0, 20.0: 22.0, 60.0: 18.0, 72.0: 8.0, 88.0: 4.0, 92.0: 2.0}};8;7
8.0;(5,);202.0;250.0;100.0;0.2;1.0;{5: 202.0};{5: 202.0};{5: {8.0: 1.0, 16.0: 1.0, 20.0: 4.0, 24.0: 12.0, 28.0: 22.0, 32.0: 10.0, 36.0: 14.0, 40.0: 15.0, 44.0: 13.0, 48.0: 15.0, 52.0: 15.0, 56.0: 12.0, 60.0: 16.0, 64.0: 7.0, 68.0: 8.0, 72.0: 17.0, 76.0: 9.0, 80.0: 8.0, 84.0: 2.0, 88.0: 1.0}};1;8
8.0;(26,);2084.0;250.0;100.0;0.2;1.0;{26: 2084.0};{26: 2084.0};{26: {8.0: 1.0, 12.0: 3.0, 16.0: 8.0, 20.0: 31.0, 24.0: 112.0, 28.0: 199.0, 32.0: 197.0, 36.0: 142.0, 40.0: 165.0, 44.0: 129.0, 48.0: 121.0, 52.0: 97.0, 56.0: 111.0, 60.0: 116.0, 64.0: 120.0, 68.0: 165.0, 72.0: 149.0, 76.0: 117.0, 80.0: 63.0, 84.0: 29.0, 88.0: 4.0, 92.0: 5.0}};1;9
