start_timestep;route;fleet_size;charge_cap;batt_cap;d_spec;SOC_init;incoming;arriving;depart_time;route_dist;dist_km;len;fleet_id
0.0;(23, 22, 10, 9);2.0;250.0;100.0;0.2;1.0;{23: 2.0};{9: 2.0};{23: {0.0: 1.0, 12.0: 1.0}};220.0;220.0;4;0
0.0;(89, 85, 79, 78, 68, 62, 55, 52);72.0;250.0;100.0;0.2;1.0;{89: 72.0};{52: 72.0};{89: {0.0: 1.0, 24.0: 5.0, 28.0: 8.0, 32.0: 11.0, 36.0: 6.0, 44.0: 3.0, 48.0: 6.0, 52.0: 5.0, 56.0: 2.0, 60.0: 5.0, 64.0: 3.0, 68.0: 2.0, 72.0: 1.0, 76.0: 8.0, 80.0: 4.0, 84.0: 1.0, 88.0: 1.0}};15840.0;15840.0;8;1
0.0;(76, 77, 73, 71, 59);4.0;250.0;100.0;0.2;0.5;{76: 4.0};{59: 4.0};{76: {0.0: 1.0, 4.0: 3.0}};550.0;550.0;5;2
0.0;(9, 10, 19, 13);3.0;250.0;100.0;0.2;1.0;{9: 3.0};{13: 3.0};{9: {0.0: 1.0, 4.0: 2.0}};330.0;330.0;4;3
0.0;(51, 52, 55, 62, 68, 78, 77);1664.0;250.0;100.0;0.2;1.0;{51: 1664.0};{77: 1664.0};{51: {0.0: 1.0, 16.0: 2.0, 20.0: 28.0, 24.0: 91.0, 28.0: 159.0, 32.0: 146.0, 36.0: 132.0, 40.0: 96.0, 44.0: 117.0, 48.0: 97.0, 52.0: 87.0, 56.0: 99.0, 60.0: 86.0, 64.0: 108.0, 68.0: 122.0, 72.0: 113.0, 76.0: 93.0, 80.0: 50.0, 84.0: 24.0, 88.0: 9.0, 92.0: 4.0}};320320.0;320320.0;7;4
0.0;(89, 85, 72, 59);2.0;250.0;100.0;0.2;0.9000000000000001;{89: 2.0};{59: 2.0};{89: {0.0: 1.0, 12.0: 1.0}};220.0;220.0;4;5
0.0;(56, 58, 59, 70, 64);104.0;250.0;100.0;0.2;0.9000000000000001;{56: 104.0};{64: 104.0};{56: {0.0: 1.0, 8.0: 1.0, 20.0: 39.0, 84.0: 41.0, 88.0: 15.0, 92.0: 7.0}};14300.0;14300.0;5;6
0.0;(87, 74, 70, 59, 58, 54, 30);2.0;250.0;100.0;0.2;0.9000000000000001;{87: 2.0};{30: 2.0};{87: {0.0: 1.0, 88.0: 1.0}};385.0;385.0;7;7
4.0;(26, 29, 30, 54, 58, 59, 71, 73, 77);404.0;250.0;100.0;0.2;1.0;{26: 404.0};{77: 403.0, 58: 1.0};{26: {4.0: 1.0, 20.0: 9.0, 24.0: 21.0, 28.0: 31.0, 32.0: 46.0, 36.0: 26.0, 40.0: 34.0, 44.0: 32.0, 48.0: 14.0, 52.0: 23.0, 56.0: 13.0, 60.0: 20.0, 64.0: 24.0, 68.0: 30.0, 72.0: 22.0, 76.0: 34.0, 80.0: 13.0, 84.0: 6.0, 88.0: 2.0, 92.0: 3.0}};99880.0;99880.0;9;8
4.0;(64, 70, 71, 73, 77);5820.0;250.0;100.0;0.2;1.0;{64: 5820.0};{77: 5820.0};{64: {4.0: 2.0, 12.0: 4.0, 16.0: 14.0, 20.0: 73.0, 24.0: 292.0, 28.0: 577.0, 32.0: 541.0, 36.0: 452.0, 40.0: 450.0, 44.0: 399.0, 48.0: 314.0, 52.0: 287.0, 56.0: 310.0, 60.0: 351.0, 64.0: 372.0, 68.0: 405.0, 72.0: 349.0, 76.0: 313.0, 80.0: 180.0, 84.0: 92.0, 88.0: 34.0, 92.0: 9.0}};800250.0;800250.0;5;9
