start_timestep;route;fleet_size;charge_cap;batt_cap;d_spec;SOC_init;incoming;arriving;depart_time;len;fleet_id
0.0;(12, 20, 25, 26);3.0;41.0;55.0;0.236;1.1;{12: 3.0};{26: 3.0};{12: {0.0: 1.0, 16.0: 2.0}};4;0
4.0;(58, 70, 72, 76);3.0;41.0;55.0;0.236;0.4;{58: 3.0};{76: 3.0};{58: {4.0: 1.0, 12.0: 2.0}};4;1
4.0;(26, 25, 21, 22, 23, 24, 38, 42, 43, 44, 33, 32);3.0;110.0;60.0;0.209;0.8999999999999999;{26: 3.0};{32: 3.0};{26: {4.0: 1.0, 36.0: 2.0}};12;2
4.0;(8, 9, 19, 12, 11);21.0;41.0;55.0;0.236;0.6000000000000001;{8: 21.0};{11: 21.0};{8: {4.0: 1.0, 48.0: 20.0}};5;3
8.0;(12, 19, 9, 8, 7, 1);4.0;110.0;60.0;0.209;0.5;{12: 4.0};{1: 4.0};{12: {8.0: 1.0, 16.0: 3.0}};6;4
8.0;(22, 21, 25, 26);167.0;41.0;55.0;0.236;0.7999999999999999;{22: 167.0};{26: 167.0};{22: {8.0: 1.0, 36.0: 166.0}};4;5
8.0;(86, 73, 69, 58);2.0;110.0;60.0;0.209;0.7999999999999999;{86: 2.0};{58: 2.0};{86: {8.0: 1.0, 16.0: 1.0}};4;6
8.0;(76, 72, 70, 69, 63);5.0;41.0;55.0;0.236;0.8999999999999999;{76: 5.0};{63: 5.0};{76: {8.0: 1.0, 92.0: 4.0}};5;7
8.0;(8, 9, 19, 12);3.0;41.0;55.0;0.236;0.8000000000000003;{8: 3.0};{12: 3.0};{8: {8.0: 1.0, 16.0: 2.0}};4;8
8.0;(33, 44, 43, 42, 38, 24, 23, 22, 9, 8, 7, 2, 3, 4, 5);5.0;110.0;60.0;0.209;0.8999999999999999;{33: 5.0};{5: 5.0};{33: {8.0: 1.0, 16.0: 4.0}};15;9
8.0;(58, 70, 72, 76);17.0;41.0;55.0;0.236;0.8999999999999999;{58: 17.0};{76: 17.0};{58: {8.0: 2.0, 16.0: 15.0}};4;10
8.0;(76, 72, 70, 58);14.0;41.0;55.0;0.236;0.6;{76: 14.0};{58: 14.0};{76: {8.0: 2.0, 16.0: 12.0}};4;11
12.0;(26, 29, 30, 52, 51);5.0;110.0;60.0;0.209;0.8999999999999999;{26: 5.0};{51: 5.0};{26: {12.0: 1.0, 28.0: 4.0}};5;12
12.0;(76, 72, 70, 58);670.0;41.0;55.0;0.236;0.7;{76: 670.0};{58: 670.0};{76: {12.0: 1.0, 40.0: 669.0}};4;13
12.0;(36, 38, 42, 43, 44, 33);2.0;110.0;60.0;0.209;1.0;{36: 2.0};{33: 2.0};{36: {12.0: 1.0, 24.0: 1.0}};6;14
12.0;(8, 9, 19, 12);93.0;110.0;60.0;0.209;0.8000000000000003;{8: 93.0};{12: 93.0};{8: {12.0: 1.0, 48.0: 92.0}};4;15
12.0;(63, 69, 70, 72, 76);13.0;110.0;60.0;0.209;0.8999999999999999;{63: 13.0};{76: 13.0};{63: {12.0: 1.0, 20.0: 12.0}};5;16
12.0;(12, 19, 9, 8, 7, 2, 3, 4, 5, 6, 14);2.0;110.0;60.0;0.209;0.6;{12: 2.0};{14: 2.0};{12: {12.0: 1.0, 24.0: 1.0}};11;17
12.0;(55, 53, 30, 29, 26, 27);2.0;110.0;60.0;0.209;0.8999999999999999;{55: 2.0};{27: 2.0};{55: {12.0: 1.0, 20.0: 1.0}};6;18
12.0;(55, 57, 58, 70, 72, 76);6.0;110.0;60.0;0.209;0.7;{55: 6.0};{76: 6.0};{55: {12.0: 1.0, 20.0: 5.0}};6;19
12.0;(26, 25, 21, 22);33.0;110.0;60.0;0.209;1.0000000000000002;{26: 33.0};{22: 33.0};{26: {12.0: 2.0, 84.0: 31.0}};4;20
12.0;(7, 2, 3, 4, 5, 6, 14);2.0;110.0;60.0;0.209;0.5;{7: 2.0};{14: 2.0};{7: {12.0: 1.0, 28.0: 1.0}};7;21
12.0;(62, 60, 47, 46);5.0;110.0;60.0;0.209;0.6;{62: 5.0};{46: 5.0};{62: {12.0: 1.0, 20.0: 4.0}};4;22
12.0;(5, 4, 3, 2, 7, 8, 9, 22, 23, 24, 38, 42, 43, 44, 33);111.0;110.0;60.0;0.209;0.7999999999999999;{5: 111.0};{33: 111.0};{5: {12.0: 2.0, 44.0: 109.0}};15;23
12.0;(76, 72, 70, 58, 57, 55);4.0;110.0;60.0;0.209;0.7;{76: 4.0};{55: 4.0};{76: {12.0: 1.0, 20.0: 3.0}};6;24
16.0;(29, 25, 21, 22);83.0;110.0;60.0;0.209;0.7999999999999999;{29: 83.0};{22: 83.0};{29: {16.0: 1.0, 28.0: 82.0}};4;25
16.0;(64, 62, 63, 73, 86);48.0;41.0;55.0;0.236;0.5;{64: 48.0};{86: 48.0};{64: {16.0: 1.0, 32.0: 47.0}};5;26
16.0;(64, 62, 63, 69, 70, 72, 76);36.0;110.0;60.0;0.209;0.8999999999999999;{64: 36.0};{76: 36.0};{64: {16.0: 1.0, 24.0: 35.0}};7;27
16.0;(1, 7, 8, 9, 21, 25, 26, 27);11.0;110.0;60.0;0.209;1.0000000000000002;{1: 11.0};{27: 11.0};{1: {16.0: 1.0, 36.0: 10.0}};8;28
16.0;(55, 53, 52, 51);30.0;110.0;60.0;0.209;0.6000000000000001;{55: 30.0};{51: 30.0};{55: {16.0: 1.0, 24.0: 29.0}};4;29
16.0;(86, 73, 63, 62, 64);41.0;110.0;60.0;0.209;0.5;{86: 41.0};{64: 41.0};{86: {16.0: 2.0, 32.0: 39.0}};5;30
16.0;(14, 6, 5, 4, 3, 2, 7, 8, 9, 21, 25, 26);2.0;41.0;55.0;0.236;0.8999999999999999;{14: 2.0};{26: 2.0};{14: {16.0: 1.0, 36.0: 1.0}};12;31
16.0;(86, 73, 63, 62, 60, 47, 46);19.0;110.0;60.0;0.209;0.7;{86: 19.0};{46: 19.0};{86: {16.0: 1.0, 32.0: 18.0}};7;32
16.0;(1, 7, 8, 9, 19, 12);72.0;110.0;60.0;0.209;0.5;{1: 72.0};{12: 72.0};{1: {16.0: 1.0, 32.0: 71.0}};6;33
