start_timestep;route;fleet_size;charge_cap;batt_cap;d_spec;SOC_init;incoming;arriving;depart_time;len;fleet_id
0.0;(64, 63);5856.0;250.0;100.0;0.2;1.0;{64: 5856.0};{63: 5856.0};{64: {0.0: 1.0, 8.0: 2.0, 12.0: 6.0, 16.0: 12.0, 20.0: 94.0, 24.0: 278.0, 28.0: 536.0, 32.0: 554.0, 36.0: 419.0, 40.0: 443.0, 44.0: 439.0, 48.0: 340.0, 52.0: 291.0, 56.0: 324.0, 60.0: 338.0, 64.0: 416.0, 68.0: 421.0, 72.0: 354.0, 76.0: 270.0, 80.0: 174.0, 84.0: 88.0, 88.0: 34.0, 92.0: 22.0}};2;0
0.0;(40, 38, 23, 22);3.0;250.0;100.0;0.2;0.9000000000000001;{40: 3.0};{22: 3.0};{40: {0.0: 1.0, 92.0: 2.0}};4;1
0.0;(43, 42, 40);3.0;250.0;100.0;0.2;0.8000000000000003;{43: 3.0};{40: 3.0};{43: {0.0: 1.0, 4.0: 2.0}};3;2
0.0;(75, 76, 72, 70, 69, 62);7.0;250.0;100.0;0.2;0.5;{75: 7.0};{62: 7.0};{75: {0.0: 1.0, 12.0: 6.0}};6;3
0.0;(88, 84, 71, 69, 62, 47, 46, 45, 33);16.0;250.0;100.0;0.2;0.8999999999999999;{88: 16.0};{33: 16.0};{88: {0.0: 1.0, 8.0: 1.0, 16.0: 11.0, 92.0: 3.0}};9;4
0.0;(8, 9, 18, 12, 11);8748.0;250.0;100.0;0.2;1.0;{8: 8748.0};{11: 8748.0};{8: {0.0: 1.0, 12.0: 7.0, 16.0: 27.0, 20.0: 120.0, 24.0: 420.0, 28.0: 844.0, 32.0: 866.0, 36.0: 640.0, 40.0: 687.0, 44.0: 576.0, 48.0: 493.0, 52.0: 434.0, 56.0: 445.0, 60.0: 537.0, 64.0: 583.0, 68.0: 584.0, 72.0: 533.0, 76.0: 405.0, 80.0: 321.0, 84.0: 133.0, 88.0: 68.0, 92.0: 24.0}};5;5
0.0;(28, 55);4452.0;250.0;100.0;0.2;1.0;{28: 4452.0};{55: 4452.0};{28: {0.0: 1.0, 12.0: 3.0, 16.0: 11.0, 20.0: 53.0, 24.0: 219.0, 28.0: 422.0, 32.0: 405.0, 36.0: 373.0, 40.0: 312.0, 44.0: 297.0, 48.0: 269.0, 52.0: 227.0, 56.0: 245.0, 60.0: 264.0, 64.0: 291.0, 68.0: 314.0, 72.0: 267.0, 76.0: 234.0, 80.0: 136.0, 84.0: 62.0, 88.0: 37.0, 92.0: 10.0}};2;6
0.0;(55, 28);17.0;250.0;100.0;0.2;0.9000000000000001;{55: 17.0};{28: 17.0};{55: {0.0: 1.0, 12.0: 3.0, 92.0: 13.0}};2;7
0.0;(46, 47, 62);1.0;250.0;100.0;0.2;0.4000000000000001;{46: 1.0};{62: 1.0};{46: {0.0: 1.0}};3;8
4.0;(62, 58);2.0;250.0;100.0;0.2;0.9000000000000001;{62: 2.0};{58: 2.0};{62: {4.0: 1.0, 8.0: 1.0}};2;9
4.0;(12, 19, 24, 25);10.0;250.0;100.0;0.2;0.7000000000000002;{12: 10.0};{25: 10.0};{12: {4.0: 2.0, 12.0: 8.0}};4;10
4.0;(75, 76, 72, 70, 58);2.0;250.0;100.0;0.2;0.6000000000000001;{75: 2.0};{58: 2.0};{75: {4.0: 2.0}};5;11
4.0;(9, 18, 12);38.0;250.0;100.0;0.2;0.9000000000000001;{9: 38.0};{12: 38.0};{9: {4.0: 1.0, 8.0: 1.0, 16.0: 7.0, 88.0: 19.0, 92.0: 10.0}};3;12
4.0;(25, 24, 19, 12);28.0;250.0;100.0;0.2;0.9000000000000001;{25: 28.0};{12: 28.0};{25: {4.0: 1.0, 8.0: 3.0, 12.0: 7.0, 16.0: 17.0}};4;13
4.0;(26,);14035.0;250.0;100.0;0.2;1.0;{26: 14035.0};{26: 14035.0};{26: {4.0: 1.0, 8.0: 2.0, 12.0: 11.0, 16.0: 39.0, 20.0: 184.0, 24.0: 666.0, 28.0: 1293.0, 32.0: 1311.0, 36.0: 1119.0, 40.0: 1094.0, 44.0: 971.0, 48.0: 767.0, 52.0: 682.0, 56.0: 737.0, 60.0: 840.0, 64.0: 909.0, 68.0: 1007.0, 72.0: 924.0, 76.0: 733.0, 80.0: 424.0, 84.0: 194.0, 88.0: 83.0, 92.0: 44.0}};1;14
4.0;(25, 28, 55);102.0;250.0;100.0;0.2;1.0;{25: 102.0};{55: 102.0};{25: {4.0: 1.0, 16.0: 2.0, 20.0: 1.0, 24.0: 4.0, 28.0: 5.0, 32.0: 4.0, 36.0: 4.0, 40.0: 8.0, 44.0: 10.0, 48.0: 10.0, 52.0: 3.0, 56.0: 6.0, 60.0: 6.0, 64.0: 10.0, 68.0: 4.0, 72.0: 5.0, 76.0: 13.0, 80.0: 3.0, 84.0: 3.0}};3;15
4.0;(58, 70, 72, 76);34532.0;250.0;100.0;0.2;1.0;{58: 34532.0};{76: 34532.0};{58: {4.0: 1.0, 8.0: 6.0, 12.0: 24.0, 16.0: 94.0, 20.0: 483.0, 24.0: 1670.0, 28.0: 3294.0, 32.0: 3245.0, 36.0: 2674.0, 40.0: 2729.0, 44.0: 2371.0, 48.0: 1945.0, 52.0: 1707.0, 56.0: 1840.0, 60.0: 2021.0, 64.0: 2265.0, 68.0: 2338.0, 72.0: 2152.0, 76.0: 1763.0, 80.0: 1106.0, 84.0: 508.0, 88.0: 215.0, 92.0: 81.0}};4;16
4.0;(62, 70, 72, 76);5821.0;250.0;100.0;0.2;1.0;{62: 5821.0};{76: 5821.0};{62: {4.0: 1.0, 8.0: 2.0, 12.0: 5.0, 16.0: 17.0, 20.0: 83.0, 24.0: 287.0, 28.0: 493.0, 32.0: 531.0, 36.0: 485.0, 40.0: 451.0, 44.0: 414.0, 48.0: 346.0, 52.0: 289.0, 56.0: 298.0, 60.0: 366.0, 64.0: 382.0, 68.0: 361.0, 72.0: 391.0, 76.0: 313.0, 80.0: 168.0, 84.0: 83.0, 88.0: 41.0, 92.0: 14.0}};4;17
