segment_id,dir,type_ID,POI_ID,traffic_flow,traffic_flow_0,traffic_flow_1,energy_demand,energy_demand_0,energy_demand_1,dist_along_segment,pois_type,pYi_dir,pYi_dir_0,pYi_dir_1,pE_charged,pE_charged_0,pE_charged_1,pE_input,pE_input_0,pE_input_1,pE_output,pE_output_0,pE_output_1,pXi
3.0,2.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,link,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.0,0.0,24.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,291.1391,ra,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.0,1.0,25.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,391.7897,ra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.0,2.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,2525.7146,link,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4.0,2.0,1.0,34.0,51358.0,25679.0,25679.0,7041.674425935999,0.0,7041.674425935999,0.0,link,0.0,0.0,0.0,0.0,0.0,0.0,4915.931140000001,4753.881,162.05013999999983,7653.7341400000005,4753.881,2899.8531399999997,0
4.0,1.0,29.0,35.0,25679.0,0.0,25679.0,4584.3345900660015,0.0,4584.3345900660015,27421.9184,ra,33.0,0.0,33.0,2561.0178600000004,0.0,2561.0178600000004,940.6790000000001,0.0,940.6790000000001,162.05013999999983,0.0,162.05013999999983,1
4.0,0.0,28.0,36.0,25679.0,25679.0,0.0,7050.496985645001,7050.496985645001,0.0,27456.2755,ra,0.0,0.0,0.0,0.0,0.0,0.0,4753.881,4753.881,0.0,7495.1140000000005,7495.1140000000005,0.0,0
4.0,2.0,2.0,37.0,25679.0,25679.0,0.0,4575.512030357001,4575.512030357001,0.0,45274.3838,od,0.0,0.0,0.0,0.0,0.0,0.0,8435.793000000001,7495.1140000000005,940.6790000000001,10214.751999999999,9274.072999999999,940.6790000000001,0
4.0,2.0,31.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,57952.4364,ra,0.0,0.0,0.0,0.0,0.0,0.0,10214.751999999999,9274.072999999999,940.6790000000001,10214.751999999999,9274.072999999999,940.6790000000001,0
4.0,2.0,30.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,57975.5602,ra,53.0,0.0,53.0,4240.0,3963.085,276.915,10491.666999999998,9274.072999999999,1217.594,6251.667,5310.988,940.6790000000001,1
4.0,2.0,35.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,78476.4553,ra,0.0,0.0,0.0,0.0,0.0,0.0,6528.582,5310.988,1217.594,6528.582,5310.988,1217.594,0
4.0,0.0,40.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,96645.2667,ra,0.0,0.0,0.0,0.0,0.0,0.0,5310.988,5310.988,0.0,5310.988,5310.988,0.0,0
4.0,1.0,41.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,99246.7072,ra,0.0,0.0,0.0,0.0,0.0,0.0,1217.594,0.0,1217.594,1217.594,0.0,1217.594,0
