,Zählt,Pendeltyp,Wohnort - NUTS Gliederung (Ebene +1),Arbeits- bzw. Schulort - NUTS Gliederung (Ebene +1),Jahr,Anzahl,Anmerkungen,Unnamed: 7
0,Personen,Erwerbspendler,Mittelburgenland <AT111>,Salzburg und Umgebung <AT323>,2019.0,25,,
9,Personen,Erwerbspendler,Mittelburgenland <AT111>,Pinzgau-Pongau <AT322>,2019.0,5,SW,
18,Personen,Erwerbspendler,Mittelburgenland <AT111>,Lungau <AT321>,2019.0,-,,
27,Personen,Erwerbspendler,Mittelburgenland <AT111>,Steyr-Kirchdorf <AT314>,2019.0,3,SW,
36,Personen,Erwerbspendler,Mittelburgenland <AT111>,Traunviertel <AT315>,2019.0,4,SW,
45,Personen,Erwerbspendler,Mittelburgenland <AT111>,Mühlviertel <AT313>,2019.0,5,SW,
54,Personen,Erwerbspendler,Mittelburgenland <AT111>,Linz-Wels <AT312>,2019.0,55,,
63,Personen,Erwerbspendler,Mittelburgenland <AT111>,Innviertel <AT311>,2019.0,3,SW,
72,Personen,Erwerbspendler,Mittelburgenland <AT111>,West- und Südsteiermark <AT225>,2019.0,11,,
81,Personen,Erwerbspendler,Mittelburgenland <AT111>,Oststeiermark <AT224>,2019.0,42,,
90,Personen,Erwerbspendler,Mittelburgenland <AT111>,Westliche Obersteiermark <AT226>,2019.0,7,,
99,Personen,Erwerbspendler,Mittelburgenland <AT111>,Östliche Obersteiermark <AT223>,2019.0,10,,
108,Personen,Erwerbspendler,Mittelburgenland <AT111>,Liezen <AT222>,2019.0,4,SW,
117,Personen,Erwerbspendler,Mittelburgenland <AT111>,Graz <AT221>,2019.0,66,,
126,Personen,Erwerbspendler,Mittelburgenland <AT111>,Unterkärnten <AT213>,2019.0,6,,
135,Personen,Erwerbspendler,Mittelburgenland <AT111>,Oberkärnten <AT212>,2019.0,4,SW,
144,Personen,Erwerbspendler,Mittelburgenland <AT111>,Klagenfurt-Villach <AT211>,2019.0,12,,
153,Personen,Erwerbspendler,Mittelburgenland <AT111>,Wiener Umland-Südteil <AT127>,2019.0,636,,
162,Personen,Erwerbspendler,Mittelburgenland <AT111>,Wien <AT130>,2019.0,3042,,
171,Personen,Erwerbspendler,Mittelburgenland <AT111>,Wiener Umland-Nordteil <AT126>,2019.0,50,,
180,Personen,Erwerbspendler,Mittelburgenland <AT111>,Weinviertel <AT125>,2019.0,4,SW,
189,Personen,Erwerbspendler,Mittelburgenland <AT111>,Waldviertel <AT124>,2019.0,7,,
198,Personen,Erwerbspendler,Mittelburgenland <AT111>,Sankt Pölten <AT123>,2019.0,33,,
207,Personen,Erwerbspendler,Mittelburgenland <AT111>,Niederösterreich-Süd <AT122>,2019.0,952,,
216,Personen,Erwerbspendler,Mittelburgenland <AT111>,Mostviertel-Eisenwurzen <AT121>,2019.0,18,,
225,Personen,Erwerbspendler,Mittelburgenland <AT111>,Nordburgenland <AT112>,2019.0,2257,,
234,Personen,Erwerbspendler,Mittelburgenland <AT111>,Südburgenland <AT113>,2019.0,502,,
243,Personen,Erwerbspendler,Mittelburgenland <AT111>,Mittelburgenland <AT111>,2019.0,9326,,
252,Personen,Erwerbspendler,Nordburgenland <AT112>,Salzburg und Umgebung <AT323>,2019.0,144,,
261,Personen,Erwerbspendler,Nordburgenland <AT112>,Pinzgau-Pongau <AT322>,2019.0,20,,
270,Personen,Erwerbspendler,Nordburgenland <AT112>,Lungau <AT321>,2019.0,2,SW,
279,Personen,Erwerbspendler,Nordburgenland <AT112>,Steyr-Kirchdorf <AT314>,2019.0,31,,
288,Personen,Erwerbspendler,Nordburgenland <AT112>,Traunviertel <AT315>,2019.0,47,,
297,Personen,Erwerbspendler,Nordburgenland <AT112>,Mühlviertel <AT313>,2019.0,26,,
306,Personen,Erwerbspendler,Nordburgenland <AT112>,Linz-Wels <AT312>,2019.0,305,,
315,Personen,Erwerbspendler,Nordburgenland <AT112>,Innviertel <AT311>,2019.0,41,,
324,Personen,Erwerbspendler,Nordburgenland <AT112>,West- und Südsteiermark <AT225>,2019.0,33,,
333,Personen,Erwerbspendler,Nordburgenland <AT112>,Oststeiermark <AT224>,2019.0,57,,
342,Personen,Erwerbspendler,Nordburgenland <AT112>,Westliche Obersteiermark <AT226>,2019.0,9,,
351,Personen,Erwerbspendler,Nordburgenland <AT112>,Östliche Obersteiermark <AT223>,2019.0,55,,
360,Personen,Erwerbspendler,Nordburgenland <AT112>,Liezen <AT222>,2019.0,14,,
369,Personen,Erwerbspendler,Nordburgenland <AT112>,Graz <AT221>,2019.0,193,,
378,Personen,Erwerbspendler,Nordburgenland <AT112>,Unterkärnten <AT213>,2019.0,25,,
387,Personen,Erwerbspendler,Nordburgenland <AT112>,Oberkärnten <AT212>,2019.0,12,,
396,Personen,Erwerbspendler,Nordburgenland <AT112>,Klagenfurt-Villach <AT211>,2019.0,30,,
405,Personen,Erwerbspendler,Nordburgenland <AT112>,Wiener Umland-Südteil <AT127>,2019.0,8453,,
414,Personen,Erwerbspendler,Nordburgenland <AT112>,Wien <AT130>,2019.0,16650,,
423,Personen,Erwerbspendler,Nordburgenland <AT112>,Wiener Umland-Nordteil <AT126>,2019.0,394,,
432,Personen,Erwerbspendler,Nordburgenland <AT112>,Weinviertel <AT125>,2019.0,38,,
441,Personen,Erwerbspendler,Nordburgenland <AT112>,Waldviertel <AT124>,2019.0,64,,
450,Personen,Erwerbspendler,Nordburgenland <AT112>,Sankt Pölten <AT123>,2019.0,236,,
459,Personen,Erwerbspendler,Nordburgenland <AT112>,Niederösterreich-Süd <AT122>,2019.0,4660,,
468,Personen,Erwerbspendler,Nordburgenland <AT112>,Mostviertel-Eisenwurzen <AT121>,2019.0,59,,
477,Personen,Erwerbspendler,Nordburgenland <AT112>,Nordburgenland <AT112>,2019.0,43738,,
486,Personen,Erwerbspendler,Nordburgenland <AT112>,Südburgenland <AT113>,2019.0,690,,
495,Personen,Erwerbspendler,Nordburgenland <AT112>,Mittelburgenland <AT111>,2019.0,638,,
