start_timestep,route,fleet_size,charge_cap,batt_cap,d_spec,SOC_init,fleet_id
12,"(37, 36, 35, 39, 40, 41, 42, 43, 81, 86, 87, 88, 100, 94)",2.0,103.0,108.0,0.27,0.9,0
16,"(37, 36, 35, 39, 40, 41, 42, 43, 81, 86, 87, 88, 100, 94)",6.0,114.0,82.08,0.29,0.9,1
20,"(37, 36, 35, 39, 40, 41, 42, 43, 81, 86, 87, 88, 100, 94)",23.0,41.0,68.2,0.22,0.9,2
24,"(37, 36, 35, 39, 40, 41, 42, 43, 81, 86, 87, 88, 100, 94)",114.0,41.0,68.2,0.22,0.9,3
28,"(37, 36, 35, 39, 40, 41, 42, 43, 81, 86, 87, 88, 100, 94)",223.0,77.0,88.8,0.24,0.9,4
32,"(37, 36, 35, 39, 40, 41, 42, 43, 81, 86, 87, 88, 100, 94)",190.0,64.0,110.6,0.28,0.9,5
36,"(37, 36, 35, 39, 40, 41, 42, 43, 81, 86, 87, 88, 100, 94)",157.0,110.0,88.16,0.23,0.9,6
40,"(37, 36, 35, 39, 40, 41, 42, 43, 81, 86, 87, 88, 100, 94)",165.0,103.0,107.94,0.26,0.9,7
44,"(37, 36, 35, 39, 40, 41, 42, 43, 81, 86, 87, 88, 100, 94)",154.0,78.0,64.12,0.23,0.9,8
48,"(37, 36, 35, 39, 40, 41, 42, 43, 81, 86, 87, 88, 100, 94)",97.0,114.0,82.08,0.29,0.9,9
52,"(37, 36, 35, 39, 40, 41, 42, 43, 81, 86, 87, 88, 100, 94)",113.0,85.0,81.2,0.23,0.9,10
56,"(37, 36, 35, 39, 40, 41, 42, 43, 81, 86, 87, 88, 100, 94)",115.0,41.0,68.2,0.22,0.9,11
60,"(37, 36, 35, 39, 40, 41, 42, 43, 81, 86, 87, 88, 100, 94)",150.0,110.0,88.16,0.23,0.9,12
64,"(37, 36, 35, 39, 40, 41, 42, 43, 81, 86, 87, 88, 100, 94)",130.0,41.0,68.2,0.22,0.9,13
68,"(37, 36, 35, 39, 40, 41, 42, 43, 81, 86, 87, 88, 100, 94)",131.0,64.0,110.6,0.28,0.9,14
72,"(37, 36, 35, 39, 40, 41, 42, 43, 81, 86, 87, 88, 100, 94)",122.0,77.0,88.8,0.24,0.9,15
76,"(37, 36, 35, 39, 40, 41, 42, 43, 81, 86, 87, 88, 100, 94)",80.0,77.0,88.8,0.24,0.9,16
80,"(37, 36, 35, 39, 40, 41, 42, 43, 81, 86, 87, 88, 100, 94)",43.0,114.0,82.08,0.29,0.9,17
84,"(37, 36, 35, 39, 40, 41, 42, 43, 81, 86, 87, 88, 100, 94)",27.0,77.0,88.8,0.24,0.9,18
88,"(37, 36, 35, 39, 40, 41, 42, 43, 81, 86, 87, 88, 100, 94)",9.0,110.0,88.16,0.23,0.9,19
92,"(37, 36, 35, 39, 40, 41, 42, 43, 81, 86, 87, 88, 100, 94)",3.0,114.0,82.08,0.29,0.9,20
16,"(36, 37, 35, 34, 27, 28, 30, 29, 31, 32, 33, 57, 58, 64, 65, 66, 67, 51, 50, 49, 48, 47, 46, 45)",9.0,47.0,54.05,0.23,0.9,21
20,"(36, 37, 35, 34, 27, 28, 30, 29, 31, 32, 33, 57, 58, 64, 65, 66, 67, 51, 50, 49, 48, 47, 46, 45)",50.0,110.0,88.16,0.23,1.0,22
24,"(36, 37, 35, 34, 27, 28, 30, 29, 31, 32, 33, 57, 58, 64, 65, 66, 67, 51, 50, 49, 48, 47, 46, 45)",195.0,110.0,88.16,0.23,1.0,23
28,"(36, 37, 35, 34, 27, 28, 30, 29, 31, 32, 33, 57, 58, 64, 65, 66, 67, 51, 50, 49, 48, 47, 46, 45)",351.0,77.0,88.8,0.24,1.0,24
32,"(36, 37, 35, 34, 27, 28, 30, 29, 31, 32, 33, 57, 58, 64, 65, 66, 67, 51, 50, 49, 48, 47, 46, 45)",369.0,41.0,68.2,0.22,1.0,25
36,"(36, 37, 35, 34, 27, 28, 30, 29, 31, 32, 33, 57, 58, 64, 65, 66, 67, 51, 50, 49, 48, 47, 46, 45)",303.0,41.0,68.2,0.22,1.0,26
40,"(36, 37, 35, 34, 27, 28, 30, 29, 31, 32, 33, 57, 58, 64, 65, 66, 67, 51, 50, 49, 48, 47, 46, 45)",319.0,41.0,68.2,0.22,1.0,27
44,"(36, 37, 35, 34, 27, 28, 30, 29, 31, 32, 33, 57, 58, 64, 65, 66, 67, 51, 50, 49, 48, 47, 46, 45)",269.0,41.0,68.2,0.22,1.0,28
48,"(36, 37, 35, 34, 27, 28, 30, 29, 31, 32, 33, 57, 58, 64, 65, 66, 67, 51, 50, 49, 48, 47, 46, 45)",217.0,41.0,68.2,0.22,1.0,29
52,"(36, 37, 35, 34, 27, 28, 30, 29, 31, 32, 33, 57, 58, 64, 65, 66, 67, 51, 50, 49, 48, 47, 46, 45)",191.0,110.0,88.16,0.23,1.0,30
56,"(36, 37, 35, 34, 27, 28, 30, 29, 31, 32, 33, 57, 58, 64, 65, 66, 67, 51, 50, 49, 48, 47, 46, 45)",212.0,41.0,68.2,0.22,1.0,31
60,"(36, 37, 35, 34, 27, 28, 30, 29, 31, 32, 33, 57, 58, 64, 65, 66, 67, 51, 50, 49, 48, 47, 46, 45)",218.0,103.0,108.0,0.27,1.0,32
64,"(36, 37, 35, 34, 27, 28, 30, 29, 31, 32, 33, 57, 58, 64, 65, 66, 67, 51, 50, 49, 48, 47, 46, 45)",255.0,47.0,54.05,0.23,0.9,33
68,"(36, 37, 35, 34, 27, 28, 30, 29, 31, 32, 33, 57, 58, 64, 65, 66, 67, 51, 50, 49, 48, 47, 46, 45)",249.0,67.0,53.11,0.23,0.9,34
72,"(36, 37, 35, 34, 27, 28, 30, 29, 31, 32, 33, 57, 58, 64, 65, 66, 67, 51, 50, 49, 48, 47, 46, 45)",207.0,110.0,88.16,0.23,1.0,35
76,"(36, 37, 35, 34, 27, 28, 30, 29, 31, 32, 33, 57, 58, 64, 65, 66, 67, 51, 50, 49, 48, 47, 46, 45)",142.0,103.0,107.94,0.26,1.0,36
80,"(36, 37, 35, 34, 27, 28, 30, 29, 31, 32, 33, 57, 58, 64, 65, 66, 67, 51, 50, 49, 48, 47, 46, 45)",92.0,41.0,68.2,0.22,1.0,37
84,"(36, 37, 35, 34, 27, 28, 30, 29, 31, 32, 33, 57, 58, 64, 65, 66, 67, 51, 50, 49, 48, 47, 46, 45)",42.0,103.0,107.94,0.26,1.0,38
88,"(36, 37, 35, 34, 27, 28, 30, 29, 31, 32, 33, 57, 58, 64, 65, 66, 67, 51, 50, 49, 48, 47, 46, 45)",20.0,110.0,88.16,0.23,1.0,39
92,"(36, 37, 35, 34, 27, 28, 30, 29, 31, 32, 33, 57, 58, 64, 65, 66, 67, 51, 50, 49, 48, 47, 46, 45)",6.0,34.0,42.5,0.25,0.9,40
8,"(36, 37, 35, 34, 27, 28, 30, 29, 31, 32, 33, 57, 58, 64, 65, 66)",1.0,110.0,88.16,0.23,1.0,41
12,"(36, 37, 35, 34, 27, 28, 30, 29, 31, 32, 33, 57, 58, 64, 65, 66)",2.0,41.0,68.2,0.22,1.0,42
16,"(36, 37, 35, 34, 27, 28, 30, 29, 31, 32, 33, 57, 58, 64, 65, 66)",11.0,85.0,81.2,0.23,1.0,43
20,"(36, 37, 35, 34, 27, 28, 30, 29, 31, 32, 33, 57, 58, 64, 65, 66)",44.0,41.0,68.2,0.22,1.0,44
24,"(36, 37, 35, 34, 27, 28, 30, 29, 31, 32, 33, 57, 58, 64, 65, 66)",180.0,41.0,68.2,0.22,1.0,45
