,0,1,gemeinde_code,NUTS-3 region
0,2077,IMK Terminal Villach Süd,,
1,3017,IMK Hafen Krems,,
2,4017,IMK Linz-Stadthafen CCT,,
3,4037,IMK Terminal Wels,,
4,4107,IMK CTE Containerterminal Enns,,
5,5017,IMK Salzburg ROLA,,
6,5037,IMK CTS Containerterminal Salzburg,,
7,6067,IMK CCG Cargo Center Graz,,
8,6117,IMK Terminal St. Michael,,
9,6217,IMK Montan Terminal Kapfenberg,,
10,7037,IMK Terminal Hall in Tirol,,
11,7038,IMK Brennersee ROLA,,
12,7057,IMK Wörgl ROLA,,
13,8017,IMK Terminal Bludenz,,
14,8027,IMK Terminal Wolfurt,,
15,9027,IMK Terminal Wien Freudenau,,
16,9107,IMK Terminal  Wien Süd,,
17,9117,IMK Albernhafen,,
18,127670,IMK Duisburg,,
19,127671,IMK Köln,,
20,127672,IMK Leipzig,,
21,127673,IMK Ludwigshafen,,
22,127674,IMK Lübeck,,
23,127675,IMK Neuss,,
24,127676,IMK Schkopau,,
25,127677,IMK Herne,,
26,127678,IMK München,,
27,127679,IMK Nürnberg,,
28,127680,IMK Weil am Rhein,,
29,127681,IMK Freiburg ROLA,,
30,127682,IMK Regensburg,,
31,127690,SH Bremerhaven,,
32,127691,SH Hamburg,,
33,220370,IMK Praha,,
34,220371,IMK Ceska Trebova,,
35,370370,IMK Bratislava,,
36,370371,IMK Kosice,,
37,370372,IMK Dunajska Streda,,
38,434870,IMK Budapest,,
39,434871,IMK Sopron,,
40,570570,IMK Ljubiljana,,
41,570571,IMK Maribor ROLA,,
42,570590,SH Koper,,
43,638070,IMK Bari,,
44,638071,IMK Catania,,
45,638072,IMK Gallarate,,
46,638073,IMK Neapel,,
47,638074,IMK Novara,,
48,638075,IMK Piadena,,
49,638076,IMK Rom,,
50,638077,IMK Verona,,
51,638078,IMK Milano,,
52,638079,IMK Trento,,
53,638080,IMK Triest Fernetti ROLA,,
54,638090,SH Trieste,,
55,875670,IMK Dietikon,,
56,905690,SH Antwerpen,,
57,910070,IMK Burgas,,
58,910071,IMK Stara Zagora,,
59,919190,SH Rijeka,,
60,930090,SH Piräus,,
61,944270,IMK Bettembourg,,
62,952890,SH Rotterdam,,
63,961670,IMK Posen,,
64,964270,IMK Ploiesti,,
65,964271,IMK Curtici,,
66,964290,SH Konstanza,,
67,964390,Einfüllpunkt China/Bahn Nord,,
68,964391,Einfüllpunkt China/Bahn Mitte,,
69,964392,Einfüllpunkt China/Bahn Süd,,
70,968870,IMK Novi Sad,,
71,979270,IMK Istanbul_Halkali,,
72,10101001,Eisenstadt_10101002,10101,AT112
73,10101002,Eisenstadt_10101003A,10101,AT112
74,10101003,Eisenstadt_10101003B,10101,AT112
75,10101004,Eisenstadt_10101003C,10101,AT112
76,10101005,Eisenstadt_10101005,10101,AT112
77,10101006,Eisenstadt_10101006,10101,AT112
78,10101007,Eisenstadt_10101007,10101,AT112
79,10101008,Eisenstadt_10101009,10101,AT112
80,10101009,Eisenstadt_10101010,10101,AT112
81,10101010,Eisenstadt_10101020,10101,AT112
82,10101011,Eisenstadt_10101AA,10101,AT112
83,10101012,Eisenstadt_10101AB,10101,AT112
84,10101901,P+R Eisenstadt Bahnhof,10101,AT112
85,10201001,Rust_10201,10201,AT112
86,10301001,Breitenbrunn am Neusiedler See_10301,10301,AT112
87,10302001,Donnerskirchen_10302,10302,AT112
88,10303001,Großhöflein_10303,10303,AT112
89,10304001,Hornstein_10304AA,10304,AT112
90,10304002,Hornstein_10304AB,10304,AT112
91,10305001,Klingenbach_10305,10305,AT112
92,10306001,Leithaprodersdorf_10306,10306,AT112
93,10307001,Mörbisch am See_10307,10307,AT112
94,10308001,Müllendorf_10308,10308,AT112
95,10308901,P+R Müllendorf Bahnhof,10308,AT112
96,10309001,Neufeld an der Leitha_10309AA,10309,AT112
97,10309002,Neufeld an der Leitha_10309AB,10309,AT112
98,10310001,Oggau am Neusiedler See_10310,10310,AT112
99,10311001,Oslip_10311,10311,AT112
100,10312001,Purbach am Neusiedler See_10312AA,10312,AT112
101,10312002,Purbach am Neusiedler See_10312AB,10312,AT112
102,10313001,Sankt Margarethen im Burgenland_10313,10313,AT112
103,10314001,Schützen am Gebirge_10314000A,10314,AT112
104,10314002,Schützen am Gebirge_10314000B,10314,AT112
105,10315001,Siegendorf_10315AA,10315,AT112
106,10315002,Siegendorf_10315AB,10315,AT112
107,10316001,Steinbrunn_10316,10316,AT112
108,10317001,Trausdorf an der Wulka_10317,10317,AT112
109,10318001,Wimpassing an der Leitha_10318,10318,AT112
110,10319001,Wulkaprodersdorf_10319,10319,AT112
111,10319901,P+R Wulkaprodersdorf Bahnhof,10319,AT112
112,10320001,Loretto_10320,10320,AT112
113,10321001,Stotzing_10321,10321,AT112
114,10322001,Zillingtal_10322,10322,AT112
115,10323001,Zagersdorf_10323,10323,AT112
116,10401001,Bocksdorf_10401,10401,AT113
117,10402001,Burgauberg-Neudauberg_10402,10402,AT113
118,10403001,Eberau_10403,10403,AT113
119,10404001,Gerersdorf-Sulz_10404,10404,AT113
120,10405001,Güssing_10405AA,10405,AT113
121,10405002,Güssing_10405AB,10405,AT113
122,10406001,Güttenbach_10406,10406,AT113
123,10407001,Heiligenbrunn_10407,10407,AT113
124,10408001,Kukmirn_10408,10408,AT113
125,10409001,Neuberg im Burgenland_10409,10409,AT113
126,10410001,Neustift bei Güssing_10410,10410,AT113
127,10411001,Olbendorf_10411,10411,AT113
128,10412001,Ollersdorf im Burgenland_10412,10412,AT113
129,10413001,Sankt Michael im Burgenland_10413,10413,AT113
130,10414001,Stegersbach_10414AA,10414,AT113
131,10414002,Stegersbach_10414AB,10414,AT113
132,10415001,Stinatz_10415,10415,AT113
133,10416001,Strem_10416,10416,AT113
134,10417001,Tobaj_10417,10417,AT113
135,10418001,Hackerberg_10418,10418,AT113
136,10419001,Wörterberg_10419,10419,AT113
137,10420001,Großmürbisch_10420,10420,AT113
138,10421001,Inzenhof_10421,10421,AT113
139,10422001,Kleinmürbisch_10422,10422,AT113
140,10423001,Tschanigraben_10423,10423,AT113
141,10424001,Heugraben_10424,10424,AT113
142,10425001,Rohr im Burgenland_10425,10425,AT113
143,10426001,Bildein_10426,10426,AT113
