,ID,segment_id,pois_type,type_ID,dir,dist_along_segment,ID.1,demand_0,tc_0,demand_1,tc_1,projected_points
0,0,0.0,link,,2,0.0,0,0.0,0.0,0.0,0.0,
1,1,0.0,ra,1.0,2,239.7158,1,0.0,0.0,0.0,0.0,
2,2,0.0,ra,0.0,2,24427.4622,2,0.0,0.0,0.0,0.0,
3,3,0.0,ra,2.0,1,68504.6013,3,0.0,0.0,0.0,0.0,
4,4,0.0,ra,3.0,0,79329.1375,4,0.0,0.0,0.0,0.0,
5,5,0.0,ra,4.0,2,104473.7124,5,0.0,0.0,0.0,0.0,
6,6,0.0,ra,5.0,2,133409.2104,6,0.0,0.0,0.0,0.0,
7,7,0.0,ra,6.0,2,173065.4138,7,0.0,0.0,0.0,0.0,
8,8,0.0,ra,7.0,1,176940.2207,8,0.0,0.0,0.0,0.0,
9,9,0.0,link,0.0,2,194059.9649,9,0.0,0.0,0.0,0.0,
10,10,1.0,link,0.0,2,0.0,10,0.0,0.0,0.0,0.0,
11,11,1.0,ra,8.0,2,8218.2159,11,0.0,0.0,0.0,0.0,
12,12,1.0,ra,9.0,0,16747.064,12,0.0,0.0,0.0,0.0,
13,13,1.0,ra,10.0,2,16911.7408,13,0.0,0.0,0.0,0.0,
14,14,1.0,ra,14.0,2,27721.265,14,0.0,0.0,0.0,0.0,
15,15,1.0,ra,13.0,1,29194.631,15,0.0,0.0,0.0,0.0,
16,16,1.0,ra,12.0,0,29478.4737,16,0.0,0.0,0.0,0.0,
17,17,1.0,ra,15.0,0,33381.7234,17,0.0,0.0,0.0,0.0,
18,18,1.0,ra,16.0,2,34103.2605,18,0.0,0.0,0.0,0.0,
19,19,1.0,link,,2,34449.3465,19,0.0,0.0,0.0,0.0,
20,20,2.0,link,0.0,2,0.0,20,0.0,0.0,0.0,0.0,
21,21,2.0,ra,11.0,1,2598.4116,21,0.0,0.0,0.0,0.0,
22,22,2.0,ra,17.0,0,19826.0309,22,0.0,0.0,0.0,0.0,
23,23,2.0,ra,18.0,1,19924.5545,23,0.0,0.0,0.0,0.0,
24,24,2.0,ra,19.0,0,24376.2839,24,0.0,0.0,0.0,0.0,
25,25,2.0,ra,20.0,0,38424.0481,25,0.0,0.0,0.0,0.0,
26,26,2.0,ra,21.0,1,38987.6806,26,0.0,0.0,0.0,0.0,
27,27,2.0,ra,22.0,2,60686.5332,27,0.0,0.0,0.0,0.0,
28,28,2.0,ra,23.0,2,60687.5223,28,0.0,0.0,0.0,0.0,
29,29,2.0,link,,2,74788.4586,29,0.0,0.0,0.0,0.0,
30,30,3.0,link,,2,0.0,30,0.0,1792.0,0.0,3407.0,POINT (370825.2216 429968.8574)
31,31,3.0,od,0.0,2,0.0,31,0.0,1792.0,13.348275079,3407.0,POINT (370825.2216 429968.8574)
32,32,3.0,ra,24.0,0,291.1391,32,5.2172126720000005,1792.0,0.0,0.0,POINT (371116.16053535754 429979.3559376325)
33,33,3.0,ra,25.0,1,391.7897,33,0.0,0.0,72.70282134300001,3407.0,POINT (371216.76755942893 429982.30554910994)
34,34,3.0,link,1.0,2,2525.7146,34,40.043592960000005,1792.0,0.0,3407.0,POINT (373265.76707094477 430342.4914701595)
35,35,4.0,link,1.0,2,0.0,35,0.0,314.0,104.751728288,382.0,POINT (373265.7671 430342.4915)
36,36,4.0,ra,29.0,1,27421.9184,36,0.0,0.0,68.19641782800002,382.0,POINT (386766.8523661307 409433.2682788165)
37,37,4.0,ra,28.0,0,27456.2755,37,86.21270507,314.0,0.0,0.0,POINT (386781.0617192726 409401.98815432756)
38,38,4.0,od,2.0,2,45274.3838,38,55.94886006200001,314.0,40.18942674199999,317.0,POINT (391939.4723886975 393255.38790568657)
39,39,4.0,ra,31.0,2,57952.4364,39,26.497129933999997,209.0,0.0733024460000038,317.0,POINT (403744.11458122125 391279.7387402485)
40,40,4.0,ra,30.0,2,57975.5602,40,0.0483287420000025,209.0,64.98783746700002,317.0,POINT (403764.930439027 391269.6684775782)
41,41,4.0,ra,35.0,2,78476.4553,41,42.84687075900001,209.0,65.84169852300002,317.0,POINT (407082.9236611305 372083.8980431826)
42,42,4.0,ra,40.0,0,96645.2667,42,37.97281582599998,209.0,0.0,0.0,POINT (416464.3969102968 359075.7417356957)
43,43,4.0,ra,41.0,1,99246.7072,43,0.0,0.0,11.064356560999997,317.0,POINT (418562.4328136651 357565.0343573405)
44,44,4.0,od,3.0,2,102737.0405,44,12.731807242000022,209.0,110.49631109399998,507.0,POINT (420945.97566042066 355088.35267316253)
45,45,4.0,ra,42.0,2,124531.1847,45,85.215103822,391.0,69.39183872399997,507.0,POINT (418755.31809881405 335713.64902848133)
46,46,4.0,od,4.0,2,138217.9379,46,53.51520501199997,391.0,38.26929614000005,491.0,POINT (411596.34990066336 325272.724261363)
47,47,4.0,od,5.0,2,146012.0919,47,28.91631134000004,371.0,88.32835464499992,607.0,POINT (416247.8067568104 319949.2272002828)
48,48,4.0,ra,45.0,2,160563.7154,48,59.66165634999994,410.0,39.205530891000166,607.0,POINT (425776.82644223684 309340.2538954314)
