;Unnamed: 0;Unnamed: 0.1;tau;origin;destination;cell_route;min_driving_range;charging_capacity;battery_capacity;energy_cons;energy_cons_summer;SOC_init;SOC_min;fleet_size;start_timestep;charge_cap;batt_cap;d_spec;route;incoming;arriving;depart_time;fleet_id
0;16;16;16.0;DE2;AT322;(1, 2);41.25;250.0;100.0;15.0;15.0;0.6000000000000001;0.1825;2.0;16.0;250.0;100.0;0.2;(1, 2);{1: 2.0};{2: 2.0};{1: {16.0: 2.0}};0
1;20;20;20.0;DE2;AT322;(1, 2);41.25;250.0;100.0;15.0;15.0;0.3;0.1825;1.0;20.0;250.0;100.0;0.2;(1, 2);{1: 1.0};{2: 1.0};{1: {20.0: 1.0}};1
2;24;24;24.0;DE2;AT322;(1, 2);41.25;250.0;100.0;15.0;15.0;1.0;0.1825;7.0;24.0;250.0;100.0;0.2;(1, 2);{1: 7.0};{2: 7.0};{1: {24.0: 7.0}};2
3;28;28;28.0;DE2;AT322;(1, 2);41.25;250.0;100.0;15.0;15.0;0.6000000000000001;0.1825;21.0;28.0;250.0;100.0;0.2;(1, 2);{1: 21.0};{2: 21.0};{1: {28.0: 21.0}};3
4;32;32;32.0;DE2;AT322;(1, 2);41.25;250.0;100.0;15.0;15.0;0.5000000000000001;0.1825;8.0;32.0;250.0;100.0;0.2;(1, 2);{1: 8.0};{2: 8.0};{1: {32.0: 8.0}};4
5;36;36;36.0;DE2;AT322;(1, 2);41.25;250.0;100.0;15.0;15.0;0.4000000000000001;0.1825;12.0;36.0;250.0;100.0;0.2;(1, 2);{1: 12.0};{2: 12.0};{1: {36.0: 12.0}};5
6;40;40;40.0;DE2;AT322;(1, 2);41.25;250.0;100.0;15.0;15.0;0.8000000000000003;0.1825;9.0;40.0;250.0;100.0;0.2;(1, 2);{1: 9.0};{2: 9.0};{1: {40.0: 9.0}};6
7;44;44;44.0;DE2;AT322;(1, 2);41.25;250.0;100.0;15.0;15.0;0.2;0.1825;11.0;44.0;250.0;100.0;0.2;(1, 2);{1: 11.0};{2: 11.0};{1: {44.0: 11.0}};7
8;48;48;48.0;DE2;AT322;(1, 2);41.25;250.0;100.0;15.0;15.0;0.2;0.1825;11.0;48.0;250.0;100.0;0.2;(1, 2);{1: 11.0};{2: 11.0};{1: {48.0: 11.0}};8
9;52;52;52.0;DE2;AT322;(1, 2);41.25;250.0;100.0;15.0;15.0;0.7000000000000002;0.1825;5.0;52.0;250.0;100.0;0.2;(1, 2);{1: 5.0};{2: 5.0};{1: {52.0: 5.0}};9
10;56;56;56.0;DE2;AT322;(1, 2);41.25;250.0;100.0;15.0;15.0;0.2;0.1825;5.0;56.0;250.0;100.0;0.2;(1, 2);{1: 5.0};{2: 5.0};{1: {56.0: 5.0}};10
11;60;60;60.0;DE2;AT322;(1, 2);41.25;250.0;100.0;15.0;15.0;0.5000000000000001;0.1825;9.0;60.0;250.0;100.0;0.2;(1, 2);{1: 9.0};{2: 9.0};{1: {60.0: 9.0}};11
12;64;64;64.0;DE2;AT322;(1, 2);41.25;250.0;100.0;15.0;15.0;0.4000000000000001;0.1825;12.0;64.0;250.0;100.0;0.2;(1, 2);{1: 12.0};{2: 12.0};{1: {64.0: 12.0}};12
13;68;68;68.0;DE2;AT322;(1, 2);41.25;250.0;100.0;15.0;15.0;0.6000000000000001;0.1825;9.0;68.0;250.0;100.0;0.2;(1, 2);{1: 9.0};{2: 9.0};{1: {68.0: 9.0}};13
14;72;72;72.0;DE2;AT322;(1, 2);41.25;250.0;100.0;15.0;15.0;0.5000000000000001;0.1825;6.0;72.0;250.0;100.0;0.2;(1, 2);{1: 6.0};{2: 6.0};{1: {72.0: 6.0}};14
15;76;76;76.0;DE2;AT322;(1, 2);41.25;250.0;100.0;15.0;15.0;0.9000000000000001;0.1825;4.0;76.0;250.0;100.0;0.2;(1, 2);{1: 4.0};{2: 4.0};{1: {76.0: 4.0}};15
16;80;80;80.0;DE2;AT322;(1, 2);41.25;250.0;100.0;15.0;15.0;0.3;0.1825;5.0;80.0;250.0;100.0;0.2;(1, 2);{1: 5.0};{2: 5.0};{1: {80.0: 5.0}};16
17;84;84;84.0;DE2;AT322;(1, 2);41.25;250.0;100.0;15.0;15.0;0.7000000000000002;0.1825;3.0;84.0;250.0;100.0;0.2;(1, 2);{1: 3.0};{2: 3.0};{1: {84.0: 3.0}};17
18;88;88;88.0;DE2;AT322;(1, 2);41.25;250.0;100.0;15.0;15.0;0.9000000000000001;0.1825;1.0;88.0;250.0;100.0;0.2;(1, 2);{1: 1.0};{2: 1.0};{1: {88.0: 1.0}};18
19;92;92;92.0;DE2;AT322;(1, 2);41.25;250.0;100.0;15.0;15.0;0.2;0.1825;1.0;92.0;250.0;100.0;0.2;(1, 2);{1: 1.0};{2: 1.0};{1: {92.0: 1.0}};19
20;124;124;28.0;DE2;AT321;(1, 2, 3, 4);41.25;250.0;100.0;15.0;15.0;0.5000000000000001;0.1825;1.0;28.0;250.0;100.0;0.2;(1, 2, 3, 4);{1: 1.0};{4: 1.0};{1: {28.0: 1.0}};20
21;136;136;40.0;DE2;AT321;(1, 2, 3, 4);41.25;250.0;100.0;15.0;15.0;0.2;0.1825;1.0;40.0;250.0;100.0;0.2;(1, 2, 3, 4);{1: 1.0};{4: 1.0};{1: {40.0: 1.0}};21
