start_timestep;route;fleet_size;charge_cap;batt_cap;d_spec;SOC_init;incoming;arriving;depart_time;route_dist;dist_km;len;fleet_id
0.0;(59, 72, 85, 89);1153.0;250.0;100.0;0.2;1.0;{59: 1153.0};{89: 1153.0};{59: {0.0: 1.0, 12.0: 3.0, 16.0: 5.0, 20.0: 23.0, 24.0: 67.0, 28.0: 120.0, 32.0: 100.0, 36.0: 72.0, 40.0: 102.0, 44.0: 87.0, 48.0: 71.0, 52.0: 61.0, 56.0: 65.0, 60.0: 68.0, 64.0: 73.0, 68.0: 76.0, 72.0: 59.0, 76.0: 42.0, 80.0: 33.0, 84.0: 18.0, 88.0: 5.0, 92.0: 2.0}};126830.0;126830.0;4;0
0.0;(10, 21, 25, 26);42.0;250.0;100.0;0.2;1.0;{10: 42.0};{26: 42.0};{10: {0.0: 1.0, 8.0: 1.0, 12.0: 1.0, 16.0: 9.0, 88.0: 23.0, 92.0: 7.0}};4620.0;4620.0;4;1
0.0;(76, 77, 73, 71, 59);10.0;250.0;100.0;0.2;0.7;{76: 10.0};{59: 10.0};{76: {0.0: 1.0, 4.0: 2.0, 8.0: 7.0}};1375.0;1375.0;5;2
0.0;(14, 15, 18, 32, 33, 34, 45, 44, 38, 24, 23);217.0;250.0;100.0;0.2;1.0;{14: 217.0};{23: 23.0, 45: 170.0, 24: 24.0};{14: {0.0: 1.0, 24.0: 7.0, 28.0: 21.0, 32.0: 28.0, 36.0: 31.0, 40.0: 27.0, 44.0: 13.0, 52.0: 9.0, 56.0: 15.0, 60.0: 16.0, 64.0: 20.0, 68.0: 22.0, 80.0: 7.0}};46282.5;46282.5;11;3
0.0;(64, 70, 71, 73, 77);4072.0;250.0;100.0;0.2;1.0;{64: 4072.0};{77: 4072.0};{64: {0.0: 1.0, 8.0: 1.0, 12.0: 1.0, 16.0: 12.0, 20.0: 62.0, 24.0: 208.0, 28.0: 382.0, 32.0: 373.0, 36.0: 323.0, 40.0: 336.0, 44.0: 277.0, 48.0: 209.0, 52.0: 197.0, 56.0: 214.0, 60.0: 258.0, 64.0: 275.0, 68.0: 273.0, 72.0: 255.0, 76.0: 201.0, 80.0: 113.0, 84.0: 61.0, 88.0: 29.0, 92.0: 11.0}};559900.0;559900.0;5;4
4.0;(51, 52, 53, 30);1.0;250.0;100.0;0.2;0.6000000000000001;{51: 1.0};{30: 1.0};{51: {4.0: 1.0}};110.0;110.0;4;5
4.0;(56, 54, 53, 52);2726.0;250.0;100.0;0.2;1.0;{56: 2726.0};{52: 2726.0};{56: {4.0: 1.0, 16.0: 20.0, 20.0: 45.0, 24.0: 135.0, 28.0: 233.0, 32.0: 242.0, 36.0: 211.0, 40.0: 214.0, 44.0: 184.0, 48.0: 149.0, 52.0: 150.0, 56.0: 131.0, 60.0: 163.0, 64.0: 203.0, 68.0: 202.0, 72.0: 174.0, 76.0: 131.0, 80.0: 76.0, 84.0: 48.0, 88.0: 10.0, 92.0: 4.0}};299860.0;299860.0;4;6
4.0;(45, 34, 33, 32, 18, 16);658.0;250.0;100.0;0.2;1.0;{45: 658.0};{16: 658.0};{45: {4.0: 1.0, 12.0: 1.0, 16.0: 3.0, 20.0: 9.0, 24.0: 31.0, 28.0: 68.0, 32.0: 62.0, 36.0: 44.0, 40.0: 49.0, 44.0: 41.0, 48.0: 46.0, 52.0: 29.0, 56.0: 31.0, 60.0: 40.0, 64.0: 35.0, 68.0: 53.0, 72.0: 45.0, 76.0: 37.0, 80.0: 20.0, 84.0: 10.0, 88.0: 3.0}};108570.0;108570.0;6;7
4.0;(29, 25, 21, 22);15.0;250.0;100.0;0.2;0.5000000000000001;{29: 15.0};{22: 15.0};{29: {4.0: 1.0, 12.0: 1.0, 16.0: 13.0}};1650.0;1650.0;4;8
4.0;(59, 70, 74, 81, 66);4702.0;250.0;100.0;0.2;1.0;{59: 4702.0};{66: 4702.0};{59: {4.0: 1.0, 8.0: 2.0, 12.0: 6.0, 16.0: 12.0, 20.0: 59.0, 24.0: 252.0, 28.0: 443.0, 32.0: 459.0, 36.0: 375.0, 40.0: 348.0, 44.0: 329.0, 48.0: 242.0, 52.0: 228.0, 56.0: 253.0, 60.0: 298.0, 64.0: 301.0, 68.0: 324.0, 72.0: 280.0, 76.0: 222.0, 80.0: 147.0, 84.0: 78.0, 88.0: 29.0, 92.0: 14.0}};646525.0;646525.0;5;9
4.0;(26, 25, 20, 13);87.0;250.0;100.0;0.2;1.0;{26: 87.0};{13: 87.0};{26: {4.0: 1.0, 8.0: 1.0, 12.0: 1.0, 16.0: 22.0, 88.0: 46.0, 92.0: 16.0}};9570.0;9570.0;4;10
4.0;(48, 61, 63, 64, 70, 71, 73, 77);247.0;250.0;100.0;0.2;1.0;{48: 247.0};{77: 247.0};{48: {4.0: 1.0, 16.0: 1.0, 20.0: 5.0, 24.0: 11.0, 28.0: 30.0, 32.0: 21.0, 36.0: 27.0, 40.0: 17.0, 44.0: 21.0, 48.0: 16.0, 52.0: 3.0, 56.0: 15.0, 60.0: 12.0, 64.0: 17.0, 68.0: 12.0, 72.0: 16.0, 76.0: 11.0, 80.0: 7.0, 84.0: 2.0, 88.0: 2.0}};54340.0;54340.0;8;11
4.0;(26, 29, 30, 54, 56);71.0;250.0;100.0;0.2;1.0;{26: 71.0};{56: 71.0};{26: {4.0: 1.0, 12.0: 1.0, 20.0: 1.0, 24.0: 5.0, 28.0: 9.0, 32.0: 6.0, 36.0: 6.0, 40.0: 4.0, 44.0: 5.0, 48.0: 2.0, 52.0: 3.0, 56.0: 6.0, 60.0: 6.0, 64.0: 4.0, 72.0: 7.0, 76.0: 2.0, 80.0: 2.0, 84.0: 1.0}};9762.5;9762.5;5;12
4.0;(33, 32, 18, 16);231.0;250.0;100.0;0.2;1.0;{33: 231.0};{16: 231.0};{33: {4.0: 1.0, 24.0: 13.0, 28.0: 17.0, 32.0: 27.0, 36.0: 12.0, 40.0: 17.0, 44.0: 16.0, 48.0: 11.0, 52.0: 12.0, 56.0: 11.0, 60.0: 14.0, 64.0: 13.0, 68.0: 22.0, 72.0: 14.0, 76.0: 14.0, 80.0: 11.0, 84.0: 1.0, 88.0: 4.0, 92.0: 1.0}};25410.0;25410.0;4;13
