;Unnamed: 0;tau;origin;destination;cell_route;min_driving_range;charging_capacity;battery_capacity;energy_cons;energy_cons_summer;SOC_init;SOC_min;fleet_size;start_timestep;charge_cap;batt_cap;d_spec;route;incoming;arriving;depart_time;fleet_id
16;16;16.0;DE2;AT322;(1, 2);41.25;250.0;100.0;20.0;15.0;0.9000000000000001;0.1825;1.0;16.0;250.0;100.0;0.2;(1, 2);{1: 1.0};{2: 1.0};{1: {16.0: 1.0}};0
20;20;20.0;DE2;AT322;(1, 2);41.25;250.0;100.0;20.0;15.0;0.4000000000000001;0.1825;3.0;20.0;250.0;100.0;0.2;(1, 2);{1: 3.0};{2: 3.0};{1: {20.0: 3.0}};1
24;24;24.0;DE2;AT322;(1, 2);41.25;250.0;100.0;20.0;15.0;1.0;0.1825;7.0;24.0;250.0;100.0;0.2;(1, 2);{1: 7.0};{2: 7.0};{1: {24.0: 7.0}};2
28;28;28.0;DE2;AT322;(1, 2);41.25;250.0;100.0;20.0;15.0;0.2;0.1825;12.0;28.0;250.0;100.0;0.2;(1, 2);{1: 12.0};{2: 12.0};{1: {28.0: 12.0}};3
32;32;32.0;DE2;AT322;(1, 2);41.25;250.0;100.0;20.0;15.0;0.3;0.1825;12.0;32.0;250.0;100.0;0.2;(1, 2);{1: 12.0};{2: 12.0};{1: {32.0: 12.0}};4
36;36;36.0;DE2;AT322;(1, 2);41.25;250.0;100.0;20.0;15.0;0.9000000000000001;0.1825;13.0;36.0;250.0;100.0;0.2;(1, 2);{1: 13.0};{2: 13.0};{1: {36.0: 13.0}};5
40;40;40.0;DE2;AT322;(1, 2);41.25;250.0;100.0;20.0;15.0;0.4000000000000001;0.1825;7.0;40.0;250.0;100.0;0.2;(1, 2);{1: 7.0};{2: 7.0};{1: {40.0: 7.0}};6
44;44;44.0;DE2;AT322;(1, 2);41.25;250.0;100.0;20.0;15.0;0.4000000000000001;0.1825;3.0;44.0;250.0;100.0;0.2;(1, 2);{1: 3.0};{2: 3.0};{1: {44.0: 3.0}};7
48;48;48.0;DE2;AT322;(1, 2);41.25;250.0;100.0;20.0;15.0;0.4000000000000001;0.1825;9.0;48.0;250.0;100.0;0.2;(1, 2);{1: 9.0};{2: 9.0};{1: {48.0: 9.0}};8
52;52;52.0;DE2;AT322;(1, 2);41.25;250.0;100.0;20.0;15.0;0.7000000000000002;0.1825;11.0;52.0;250.0;100.0;0.2;(1, 2);{1: 11.0};{2: 11.0};{1: {52.0: 11.0}};9
56;56;56.0;DE2;AT322;(1, 2);41.25;250.0;100.0;20.0;15.0;0.8000000000000003;0.1825;10.0;56.0;250.0;100.0;0.2;(1, 2);{1: 10.0};{2: 10.0};{1: {56.0: 10.0}};10
60;60;60.0;DE2;AT322;(1, 2);41.25;250.0;100.0;20.0;15.0;0.6000000000000001;0.1825;11.0;60.0;250.0;100.0;0.2;(1, 2);{1: 11.0};{2: 11.0};{1: {60.0: 11.0}};11
64;64;64.0;DE2;AT322;(1, 2);41.25;250.0;100.0;20.0;15.0;1.0;0.1825;4.0;64.0;250.0;100.0;0.2;(1, 2);{1: 4.0};{2: 4.0};{1: {64.0: 4.0}};12
68;68;68.0;DE2;AT322;(1, 2);41.25;250.0;100.0;20.0;15.0;0.5000000000000001;0.1825;10.0;68.0;250.0;100.0;0.2;(1, 2);{1: 10.0};{2: 10.0};{1: {68.0: 10.0}};13
72;72;72.0;DE2;AT322;(1, 2);41.25;250.0;100.0;20.0;15.0;1.0;0.1825;11.0;72.0;250.0;100.0;0.2;(1, 2);{1: 11.0};{2: 11.0};{1: {72.0: 11.0}};14
76;76;76.0;DE2;AT322;(1, 2);41.25;250.0;100.0;20.0;15.0;1.0;0.1825;12.0;76.0;250.0;100.0;0.2;(1, 2);{1: 12.0};{2: 12.0};{1: {76.0: 12.0}};15
80;80;80.0;DE2;AT322;(1, 2);41.25;250.0;100.0;20.0;15.0;0.9000000000000001;0.1825;1.0;80.0;250.0;100.0;0.2;(1, 2);{1: 1.0};{2: 1.0};{1: {80.0: 1.0}};16
84;84;84.0;DE2;AT322;(1, 2);41.25;250.0;100.0;20.0;15.0;0.5000000000000001;0.1825;3.0;84.0;250.0;100.0;0.2;(1, 2);{1: 3.0};{2: 3.0};{1: {84.0: 3.0}};17
92;92;92.0;DE2;AT322;(1, 2);41.25;250.0;100.0;20.0;15.0;0.4000000000000001;0.1825;1.0;92.0;250.0;100.0;0.2;(1, 2);{1: 1.0};{2: 1.0};{1: {92.0: 1.0}};18
128;128;32.0;DE2;AT321;(1, 2, 3, 4);41.25;250.0;100.0;20.0;15.0;0.4000000000000001;0.1825;1.0;32.0;250.0;100.0;0.2;(1, 2, 3, 4);{1: 1.0};{4: 1.0};{1: {32.0: 1.0}};19
160;160;64.0;DE2;AT321;(1, 2, 3, 4);41.25;250.0;100.0;20.0;15.0;0.4000000000000001;0.1825;1.0;64.0;250.0;100.0;0.2;(1, 2, 3, 4);{1: 1.0};{4: 1.0};{1: {64.0: 1.0}};20
164;164;68.0;DE2;AT321;(1, 2, 3, 4);41.25;250.0;100.0;20.0;15.0;0.2;0.1825;1.0;68.0;250.0;100.0;0.2;(1, 2, 3, 4);{1: 1.0};{4: 1.0};{1: {68.0: 1.0}};21
180;180;84.0;DE2;AT321;(1, 2, 3, 4);41.25;250.0;100.0;20.0;15.0;0.4000000000000001;0.1825;1.0;84.0;250.0;100.0;0.2;(1, 2, 3, 4);{1: 1.0};{4: 1.0};{1: {84.0: 1.0}};22
212;212;20.0;DE2;AT333;(1, 2, 3, 4, 5);41.25;250.0;100.0;20.0;15.0;0.5000000000000001;0.1825;1.0;20.0;250.0;100.0;0.2;(1, 2, 3, 4, 5);{1: 1.0};{5: 1.0};{1: {20.0: 1.0}};23
224;224;32.0;DE2;AT333;(1, 2, 3, 4, 5);41.25;250.0;100.0;20.0;15.0;0.2;0.1825;1.0;32.0;250.0;100.0;0.2;(1, 2, 3, 4, 5);{1: 1.0};{5: 1.0};{1: {32.0: 1.0}};24
232;232;40.0;DE2;AT333;(1, 2, 3, 4, 5);41.25;250.0;100.0;20.0;15.0;0.5000000000000001;0.1825;1.0;40.0;250.0;100.0;0.2;(1, 2, 3, 4, 5);{1: 1.0};{5: 1.0};{1: {40.0: 1.0}};25
240;240;48.0;DE2;AT333;(1, 2, 3, 4, 5);41.25;250.0;100.0;20.0;15.0;0.8000000000000003;0.1825;1.0;48.0;250.0;100.0;0.2;(1, 2, 3, 4, 5);{1: 1.0};{5: 1.0};{1: {48.0: 1.0}};26
248;248;56.0;DE2;AT333;(1, 2, 3, 4, 5);41.25;250.0;100.0;20.0;15.0;0.7000000000000002;0.1825;2.0;56.0;250.0;100.0;0.2;(1, 2, 3, 4, 5);{1: 2.0};{5: 2.0};{1: {56.0: 2.0}};27
256;256;64.0;DE2;AT333;(1, 2, 3, 4, 5);41.25;250.0;100.0;20.0;15.0;0.7000000000000002;0.1825;1.0;64.0;250.0;100.0;0.2;(1, 2, 3, 4, 5);{1: 1.0};{5: 1.0};{1: {64.0: 1.0}};28
268;268;76.0;DE2;AT333;(1, 2, 3, 4, 5);41.25;250.0;100.0;20.0;15.0;0.9000000000000001;0.1825;1.0;76.0;250.0;100.0;0.2;(1, 2, 3, 4, 5);{1: 1.0};{5: 1.0};{1: {76.0: 1.0}};29
304;304;16.0;DE2;AT212;(1, 2, 3, 4, 5, 6);41.25;250.0;100.0;20.0;15.0;0.2;0.1825;1.0;16.0;250.0;100.0;0.2;(1, 2, 3, 4, 5, 6);{1: 1.0};{6: 1.0};{1: {16.0: 1.0}};30
