segment_id,dir,type_ID,POI_ID,traffic_flow,traffic_flow_0,traffic_flow_1,energy_demand,energy_demand_0,energy_demand_1,dist_along_segment,pois_type,pYi_dir,pYi_dir_0,pYi_dir_1,pE_charged,pE_charged_0,pE_charged_1,pE_input,pE_input_0,pE_input_1,pE_output,pE_output_0,pE_output_1,pXi
3.0,2.0,0.0,30.0,2000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,od,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.0,2.0,0.0,31.0,4519.155499999762,1000.0,3519.1554999997616,13.787688775982566,0.0,13.787688775982566,0.0,link,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.273,0.0,8.273,0
3.0,0.0,24.0,32.0,2212.0824999999377,2212.0824999999377,0.0,6.440237081757319,6.440237081757319,0.0,291.1391,ra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.864,3.864,0.0,0
3.0,1.0,25.0,33.0,3519.1554999997616,0.0,3519.1554999997616,75.09613548421443,0.0,75.09613548421443,391.7897,ra,0.1802319999999895,0.0,0.1802319999999895,45.058,0.0,45.058,0.0,0.0,0.0,0.0,0.0,0.0,1
3.0,2.0,1.0,34.0,5731.237999999699,2212.0824999999377,3519.1554999997616,49.43065358478611,49.43065358478611,0.0,2525.7146,link,0.0,0.0,0.0,0.0,0.0,0.0,3.864,3.864,0.0,33.522,33.522,0.0,0
4.0,2.0,1.0,35.0,74440.40699999983,35921.92850000008,38518.47849999974,10562.505743191474,0.0,10562.505743191474,0.0,link,0.0,0.0,0.0,0.0,0.0,0.0,16.761,16.761,0.0,6354.264,16.761,6337.503,0
4.0,1.0,29.0,36.0,38518.47849999974,0.0,38518.47849999974,6876.498046818896,0.0,6876.498046818896,27421.9184,ra,16.503595999999995,0.0,16.503595999999995,4125.899,0.0,4125.899,6337.503,0.0,6337.503,6337.503,0.0,6337.503,1
4.0,0.0,28.0,37.0,35921.92850000008,35921.92850000008,0.0,9862.82365387304,9862.82365387304,0.0,27456.2755,ra,0.0,0.0,0.0,0.0,0.0,0.0,16.761,16.761,0.0,5934.455000000001,5934.455000000001,0.0,0
4.0,2.0,2.0,38.0,73155.80699999974,35921.92850000008,37233.87849999966,11121.138824828628,6400.608123578582,4720.530701250046,45274.3838,od,0.0,0.0,0.0,0.0,0.0,0.0,5934.455000000001,5934.455000000001,0.0,12607.137999999999,9774.82,2832.318,0
4.0,2.0,31.0,39.0,71587.3379999996,34353.45949999994,37233.87849999966,4363.9595529262715,4355.349665329688,8.609887596583372,57952.4364,ra,25.89428,0.0,25.89428,6473.570000000001,6468.404,5.166,9774.82,9774.82,0.0,5919.626,5919.626,0.0,1
4.0,2.0,30.0,40.0,71587.3379999996,34353.45949999994,37233.87849999966,7641.222198214245,7.943825267861403,7633.278372946384,57975.5602,ra,18.319868,0.0,18.319868,4579.967,0.0,4579.967,5919.626,5919.626,0.0,5924.392,5924.392,0.0,1
4.0,2.0,35.0,41.0,71587.3379999996,34353.45949999994,37233.87849999966,14776.337051905844,7042.766695315973,7733.570356589872,78476.4553,ra,35.463207999999995,35.463207999999995,0.0,8865.802,4225.66,4640.142,5924.392,5924.392,0.0,5924.392,5924.392,0.0,1
