,fleet_id,charge_cap,batt_cap,d_spec,incoming,all_arrived,arrival_SOC
0,0,250.0,100.0,0.2,2.0,True,0.39836034978765994
1,1,250.0,100.0,0.2,72.0,True,0.37691118146534364
2,2,250.0,100.0,0.2,4.0,True,0.09
3,3,250.0,100.0,0.2,3.0,True,0.39940868244908156
4,4,250.0,100.0,0.2,1664.0,True,0.29971774446206406
5,5,250.0,100.0,0.2,2.0,True,0.3503827797822133
6,6,250.0,100.0,0.2,104.0,True,0.2719259719039091
7,7,250.0,100.0,0.2,2.0,True,0.39939418287806927
8,8,250.0,100.0,0.2,404.0,True,0.29069194208618976
9,9,250.0,100.0,0.2,5820.0,True,0.29024473375285503
10,10,250.0,100.0,0.2,3298.0,True,0.23553816038401967
11,11,250.0,100.0,0.2,3899.0,True,0.31607306996951773
12,12,250.0,100.0,0.2,1.0,True,0.3590155597753237
13,13,250.0,100.0,0.2,3438.0,True,0.2946972303813361
14,14,250.0,100.0,0.2,30.0,True,0.30831462393740877
15,15,250.0,100.0,0.2,34524.0,True,0.312
16,16,250.0,100.0,0.2,1.0,True,0.39887802230048364
17,17,250.0,100.0,0.2,43.0,True,0.3826046344383525
18,18,250.0,100.0,0.2,4355.0,True,0.25049771827728834
19,19,250.0,100.0,0.2,6712.0,True,0.2929244089885261
20,20,250.0,100.0,0.2,1647.0,True,0.32599543294838385
21,21,250.0,100.0,0.2,2.0,True,0.3979233258068081
22,22,250.0,100.0,0.2,1.0,True,0.39844470040806584
23,23,250.0,100.0,0.2,2.0,True,0.39758190319140974
24,24,250.0,100.0,0.2,17.0,True,0.393939349848714
25,25,250.0,100.0,0.2,872.0,True,0.31924564120791415
26,26,250.0,100.0,0.2,8.0,True,0.329707164851592
27,27,250.0,100.0,0.2,103.0,True,0.389779745630907
28,28,250.0,100.0,0.2,44.0,True,0.39003782854035973
29,29,250.0,100.0,0.2,8743.0,True,0.3265825980101202
30,30,250.0,100.0,0.2,166.0,True,0.3270374163970295
31,31,250.0,100.0,0.2,1616.0,True,0.2583347102621997
32,32,250.0,100.0,0.2,50.0,True,0.3986940064829566
33,33,250.0,100.0,0.2,1624.0,True,0.35320234317151644
34,34,250.0,100.0,0.2,12.0,True,0.37222447646136775
35,35,250.0,100.0,0.2,4151.0,True,0.23025143884131566
36,36,250.0,100.0,0.2,1.0,True,0.3724283292543944
37,37,250.0,100.0,0.2,2554.0,True,0.24687277574912606
38,38,250.0,100.0,0.2,267.0,True,0.2891500307456685
39,39,250.0,100.0,0.2,430.0,True,0.37938606273249953
40,40,250.0,100.0,0.2,9453.0,True,0.31078003783671565
41,41,250.0,100.0,0.2,836.0,True,0.2935716308573417
42,42,250.0,100.0,0.2,31.0,True,0.3903384540330596
43,43,250.0,100.0,0.2,196.0,True,0.3527569815758584
44,44,250.0,100.0,0.2,40.0,True,0.3527591861558366
45,45,250.0,100.0,0.2,772.0,True,0.3575017900189635
46,46,250.0,100.0,0.2,1.0,True,0.3891413195066493
47,47,250.0,100.0,0.2,6.0,True,0.33904510416236644
48,48,250.0,100.0,0.2,167.0,True,0.2973597780002172
49,49,250.0,100.0,0.2,2.0,True,0.3993806002333506
50,50,250.0,100.0,0.2,708.0,True,0.2981954025584762
51,51,250.0,100.0,0.2,2.0,True,0.39875974674249565
52,52,250.0,100.0,0.2,1.0,True,0.3966488011078304
53,53,250.0,100.0,0.2,26.0,True,0.39890602324426594
54,54,250.0,100.0,0.2,300.0,True,0.24910795754057025
55,55,250.0,100.0,0.2,711.0,True,0.3712833283376109
56,56,250.0,100.0,0.2,2.0,True,0.39854431730106754
