,fleet_id,charge_cap,batt_cap,d_spec,incoming,all_arrived,arrival_SOC
0,0,250.0,100.0,0.15,1153.0,True,0.3581909894125216
1,1,250.0,100.0,0.15,42.0,True,0.3664303406727639
2,2,250.0,100.0,0.15,10.0,True,0.1975
3,3,250.0,100.0,0.15,217.0,True,0.39880660908383775
4,4,250.0,100.0,0.15,4072.0,True,0.3178586478045121
5,5,250.0,100.0,0.15,1.0,True,0.3915467978564603
6,6,250.0,100.0,0.15,2726.0,True,0.3423676624520204
7,7,250.0,100.0,0.15,658.0,True,0.39793749871773293
8,8,250.0,100.0,0.15,15.0,True,0.3753420741145211
9,9,250.0,100.0,0.15,4702.0,True,0.32161493430281307
10,10,250.0,100.0,0.15,87.0,True,0.39209151405700987
11,11,250.0,100.0,0.15,247.0,True,0.31454589486178125
12,12,250.0,100.0,0.15,71.0,True,0.3829530283616047
13,13,250.0,100.0,0.15,231.0,True,0.3988562478312235
14,14,250.0,100.0,0.15,45.0,True,0.3506949765473001
15,15,250.0,100.0,0.15,58.0,True,0.30868425410075345
16,16,250.0,100.0,0.15,1.0,True,0.39839501532871235
17,17,250.0,100.0,0.15,50.0,True,0.3992816078334639
18,18,250.0,100.0,0.15,63.0,True,0.3970961817607455
19,19,250.0,100.0,0.15,1.0,True,0.3992838762954732
20,20,250.0,100.0,0.15,35.0,True,0.34685259532103263
21,21,250.0,100.0,0.15,24158.0,True,0.334
22,22,250.0,100.0,0.15,52.0,True,0.398787765788494
23,23,250.0,100.0,0.15,3048.0,True,0.29113404027415096
24,24,250.0,100.0,0.15,2.0,True,0.33531850635379745
25,25,250.0,100.0,0.15,1.0,True,0.39841600629432605
26,26,250.0,100.0,0.15,121.0,True,0.34947212547059014
27,27,250.0,100.0,0.15,2779.0,True,0.32003980062701604
28,28,250.0,100.0,0.15,1911.0,True,0.3022058068170881
29,29,250.0,100.0,0.15,24.0,True,0.398161116162586
30,30,250.0,100.0,0.15,14.0,True,0.27263622653629305
31,31,250.0,100.0,0.15,3.0,True,0.36055095137735566
32,32,250.0,100.0,0.15,27.0,True,0.3605478838078961
33,33,250.0,100.0,0.15,6.0,True,0.3979225560038251
34,34,250.0,100.0,0.15,540.0,True,0.37176735309278164
35,35,250.0,100.0,0.15,735.0,True,0.34221229782353135
36,36,250.0,100.0,0.15,49.0,True,0.3643329508931333
37,37,250.0,100.0,0.15,24.0,True,0.3977586313225539
38,38,250.0,100.0,0.15,1.0,True,0.38056898149376345
39,39,250.0,100.0,0.15,191.0,True,0.3990886178292466
40,40,250.0,100.0,0.15,1807.0,True,0.2865562536291247
41,41,250.0,100.0,0.15,1.0,True,0.3988310533317012
42,42,250.0,100.0,0.15,1017.0,True,0.3464463758785792
43,43,250.0,100.0,0.15,2906.0,True,0.27798579225563147
44,44,250.0,100.0,0.15,253.0,True,0.3987999867087371
45,45,250.0,100.0,0.15,46.0,True,0.3968211569298703
46,46,250.0,100.0,0.15,4.0,True,0.3817253743224285
47,47,250.0,100.0,0.15,6120.0,True,0.37116878262516817
48,48,250.0,100.0,0.15,6.0,True,0.3984629492812753
49,49,250.0,100.0,0.15,2307.0,True,0.2736986762892667
50,50,250.0,100.0,0.15,2407.0,True,0.3288120164101153
51,51,250.0,100.0,0.15,1.0,True,0.3723000501070216
52,52,250.0,100.0,0.15,63.0,True,0.39943403064256827
53,53,250.0,100.0,0.15,21.0,True,0.3981262272229194
54,54,250.0,100.0,0.15,1183.0,True,0.36599274723843717
55,55,250.0,100.0,0.15,87.0,True,0.399117029045566
56,56,250.0,100.0,0.15,1.0,True,0.3813149562201023
57,57,250.0,100.0,0.15,1781.0,True,0.28177415228736735
58,58,250.0,100.0,0.15,173.0,True,0.3818239327009852
59,59,250.0,100.0,0.15,81.0,True,0.3988796078536377
60,60,250.0,100.0,0.15,1094.0,True,0.373128207500667
61,61,250.0,100.0,0.15,27.0,True,0.331549231487036
62,62,250.0,100.0,0.15,1164.0,True,0.3476610574617179
63,63,250.0,100.0,0.15,407.0,True,0.3100748987065808
64,64,250.0,100.0,0.15,838.0,True,0.39904232921827737
65,65,250.0,100.0,0.15,727.0,True,0.39908458941424707
66,66,250.0,100.0,0.15,280.0,True,0.36947278276292966
67,67,250.0,100.0,0.15,16.0,True,0.39947398890006364
68,68,250.0,100.0,0.15,36.0,True,0.3667516084319693
69,69,250.0,100.0,0.15,1.0,True,0.3567406045873228
70,70,250.0,100.0,0.15,468.0,True,0.31860683263569917
71,71,250.0,100.0,0.15,1175.0,True,0.399340733006497
72,72,250.0,100.0,0.15,2932.0,True,0.270388929814364
73,73,250.0,100.0,0.15,12.0,True,0.38299870805513064
74,74,250.0,100.0,0.15,1131.0,True,0.30396818313186946
75,75,250.0,100.0,0.15,261.0,True,0.38758720111468425
76,76,250.0,100.0,0.15,47.0,True,0.3084548994217344
77,77,250.0,100.0,0.15,1.0,True,0.3985363771308911
78,78,250.0,100.0,0.15,19.0,True,0.31473658885944084
79,79,250.0,100.0,0.15,242.0,True,0.3321970263285439
80,80,250.0,100.0,0.15,6.0,True,0.3828484895354899
81,81,250.0,100.0,0.15,2.0,True,0.3988771641785775
82,82,250.0,100.0,0.15,1187.0,True,0.31029568112533673
83,83,250.0,100.0,0.15,3.0,True,0.3991330930030189
84,84,250.0,100.0,0.15,189.0,True,0.31923297679866597
85,85,250.0,100.0,0.15,493.0,True,0.3575111417736142
86,86,250.0,100.0,0.15,269.0,True,0.3591934045146949
87,87,250.0,100.0,0.15,50.0,True,0.3828500990755897
88,88,250.0,100.0,0.15,546.0,True,0.38570356348453005
89,89,250.0,100.0,0.15,88.0,True,0.32519845998497904
90,90,250.0,100.0,0.15,554.0,True,0.30925890226746117
91,91,250.0,100.0,0.15,478.0,True,0.31864253123876346
92,92,250.0,100.0,0.15,250.0,True,0.3756526509639449
93,93,250.0,100.0,0.15,8.0,True,0.36667884003810053
94,94,250.0,100.0,0.15,11.0,True,0.380435120561295
95,95,250.0,100.0,0.15,505.0,True,0.36796207245808593
96,96,250.0,100.0,0.15,861.0,True,0.3760305044583356
97,97,250.0,100.0,0.15,5.0,True,0.3996753714970775
98,98,250.0,100.0,0.15,38.0,True,0.39868351146590186
99,99,250.0,100.0,0.15,871.0,True,0.36863845243217275
100,100,250.0,100.0,0.15,142.0,True,0.32390216108436587
101,101,250.0,100.0,0.15,26.0,True,0.3996484067394758
102,102,250.0,100.0,0.15,516.0,True,0.3214391592811291
103,103,250.0,100.0,0.15,64.0,True,0.33167202030567244
104,104,250.0,100.0,0.15,10.0,True,0.37348689250844724
105,105,250.0,100.0,0.15,299.0,True,0.3990792222970415
106,106,250.0,100.0,0.15,496.0,True,0.3331570487956958
107,107,250.0,100.0,0.15,17.0,True,0.3831462381655003
108,108,250.0,100.0,0.15,278.0,True,0.398893823101363
109,109,250.0,100.0,0.15,1.0,True,0.3987151758379964
110,110,250.0,100.0,0.15,4.0,True,0.36294409747678114
111,111,250.0,100.0,0.15,54.0,True,0.33608570827329665
112,112,250.0,100.0,0.15,585.0,True,0.3559401149254849
113,113,250.0,100.0,0.15,48.0,True,0.39912720005104646
114,114,250.0,100.0,0.15,3.0,True,0.382953299406999
115,115,250.0,100.0,0.15,562.0,True,0.3558475225660774
116,116,250.0,100.0,0.15,174.0,True,0.3579061836846133
117,117,250.0,100.0,0.15,200.0,True,0.38387399216438683
