,fleet_id,charge_cap,batt_cap,d_spec,incoming,all_arrived,arrival_SOC
0,0,250.0,100.0,0.2,1153.0,True,0.39736204235541944
1,1,250.0,100.0,0.2,42.0,True,0.3771316870958884
2,2,250.0,100.0,0.2,10.0,True,0.17
3,3,250.0,100.0,0.2,217.0,True,0.39794921516633674
4,4,250.0,100.0,0.2,4072.0,True,0.2943088872136793
5,5,250.0,100.0,0.2,1.0,True,0.3877213490698192
6,6,250.0,100.0,0.2,2726.0,True,0.3632972607579325
7,7,250.0,100.0,0.2,658.0,True,0.39866921849197884
8,8,250.0,100.0,0.2,15.0,True,0.37375419466780174
9,9,250.0,100.0,0.2,4702.0,True,0.3321572824760859
