,fleet_id,charge_cap,batt_cap,d_spec,incoming,all_arrived,arrival_SOC
0,0,250.0,100.0,0.2,1153.0,True,0.3383961146399563
1,1,250.0,100.0,0.2,42.0,True,0.3515102237937846
2,2,250.0,100.0,0.2,10.0,True,0.17
3,3,250.0,100.0,0.2,217.0,True,0.39778551428284487
4,4,250.0,100.0,0.2,4072.0,True,0.29034709841621575
5,5,250.0,100.0,0.2,1.0,True,0.3911740270475462
6,6,250.0,100.0,0.2,2726.0,True,0.32274767240576213
7,7,250.0,100.0,0.2,658.0,True,0.3962939228623717
8,8,250.0,100.0,0.2,15.0,True,0.3669128476120421
9,9,250.0,100.0,0.2,4702.0,True,0.2946752707667501
10,10,250.0,100.0,0.2,87.0,True,0.3876806515945133
11,11,250.0,100.0,0.2,247.0,True,0.28257950864388276
12,12,250.0,100.0,0.2,71.0,True,0.37732616141806696
13,13,250.0,100.0,0.2,231.0,True,0.39822672343480847
14,14,250.0,100.0,0.2,45.0,True,0.34540281654906585
15,15,250.0,100.0,0.2,58.0,True,0.287444759720585
16,16,250.0,100.0,0.2,1.0,True,0.3981316934434887
17,17,250.0,100.0,0.2,50.0,True,0.3988433157051278
18,18,250.0,100.0,0.2,63.0,True,0.3962983075428966
19,19,250.0,100.0,0.2,1.0,True,0.3991521195899041
20,20,250.0,100.0,0.2,35.0,True,0.32047824028517596
21,21,250.0,100.0,0.2,24158.0,True,0.312
22,22,250.0,100.0,0.2,52.0,True,0.3980299110956955
23,23,250.0,100.0,0.2,3048.0,True,0.253509603439283
24,24,250.0,100.0,0.2,2.0,True,0.32431688172083617
25,25,250.0,100.0,0.2,1.0,True,0.3980335365184351
26,26,250.0,100.0,0.2,121.0,True,0.3800505553984406
27,27,250.0,100.0,0.2,2779.0,True,0.395563870585161
28,28,250.0,100.0,0.2,1911.0,True,0.26912467036224086
29,29,250.0,100.0,0.2,24.0,True,0.39626146653165445
30,30,250.0,100.0,0.2,14.0,True,0.2440163085794389
31,31,250.0,100.0,0.2,3.0,True,0.3487793423448217
32,32,250.0,100.0,0.2,27.0,True,0.34629743758010667
33,33,250.0,100.0,0.2,6.0,True,0.3970869228723246
34,34,250.0,100.0,0.2,540.0,True,0.361142645571789
35,35,250.0,100.0,0.2,735.0,True,0.3456230661543439
36,36,250.0,100.0,0.2,49.0,True,0.3440093116414237
37,37,250.0,100.0,0.2,24.0,True,0.39666353932933607
38,38,250.0,100.0,0.2,1.0,True,0.3742688011731996
39,39,250.0,100.0,0.2,191.0,True,0.399096692572245
40,40,250.0,100.0,0.2,1807.0,True,0.24841606595334123
41,41,250.0,100.0,0.2,1.0,True,0.3986112502862188
42,42,250.0,100.0,0.2,1017.0,True,0.3287551271456473
43,43,250.0,100.0,0.2,2906.0,True,0.23373605288691837
44,44,250.0,100.0,0.2,253.0,True,0.3984408486348338
45,45,250.0,100.0,0.2,46.0,True,0.37009518963023397
46,46,250.0,100.0,0.2,4.0,True,0.3739356316267869
47,47,250.0,100.0,0.2,6120.0,True,0.3622023991386727
48,48,250.0,100.0,0.2,6.0,True,0.39781352965214595
